見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
それとも,それとも,それとも,接続詞,*,代表表記:それとも/それとも,,死骸盗賊,,0,7
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,7
ガレージ,がれーじ,ガレージ,名詞,普通名詞,代表表記:ガレージ/がれーじ ドメイン:交通 カテゴリ:場所-施設,,死骸盗賊,,0,7
の,の,の,助詞,接続助詞,NIL,,死骸盗賊,,0,7
所在,しょざい,所在,名詞,普通名詞,代表表記:所在/しょざい カテゴリ:場所-その他,,死骸盗賊,,0,7
を,を,を,助詞,格助詞,NIL,,死骸盗賊,,0,7
忘れ,わすれ,忘れる,動詞,*,代表表記:忘れる/わすれる 反義:動詞:覚える/おぼえる 付属動詞候補（基本）,,死骸盗賊,,0,7
でも,でも,でも,助詞,副助詞,NIL,,死骸盗賊,,0,7
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,死骸盗賊,,0,7
の,の,のだ,助動詞,*,NIL,,死骸盗賊,,0,7
か,か,か,助詞,終助詞,NIL,,死骸盗賊,,0,7
。,。,。,特殊,句点,NIL,,死骸盗賊,,0,7
実に,じつに,実に,副詞,*,代表表記:実に/じつに 用言弱修飾,,死骸盗賊,,0,8
異様な,いような,異様だ,形容詞,*,代表表記:異様だ/いようだ,,死骸盗賊,,0,8
葬儀,そうぎ,葬儀,名詞,普通名詞,代表表記:葬儀/そうぎ ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,,死骸盗賊,,0,8
車,くるま,車,名詞,普通名詞,代表表記:車/くるま ドメイン:交通 カテゴリ:人工物-乗り物 漢字読み:訓,,死骸盗賊,,0,8
だ,だ,だ,判定詞,*,NIL,,死骸盗賊,,0,8
が,が,が,助詞,接続助詞,NIL,,死骸盗賊,,0,8
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,8
誰一人,だれひとり,誰一人,副詞,*,代表表記:誰一人/だれひとり,,死骸盗賊,,0,8
その,その,その,指示詞,連体詞形態指示詞,NIL,,死骸盗賊,,0,8
あと,あと,あと,名詞,副詞的名詞,代表表記:後/あと,,死骸盗賊,,0,8
を,を,を,助詞,格助詞,NIL,,死骸盗賊,,0,8
つけ,つけ,つける,動詞,*,代表表記:付ける/つける 可能動詞:付く/つく 補文ト 付属動詞候補（基本）,,死骸盗賊,,0,8
廻して,まわして,廻す,動詞,*,代表表記:回す/まわす 自他動詞:自:回る/まわる 付属動詞候補（基本）,,死骸盗賊,,0,8
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,死骸盗賊,,0,8
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,,死骸盗賊,,0,8
で,で,だ,判定詞,*,NIL,,死骸盗賊,,0,8
は,は,は,助詞,副助詞,NIL,,死骸盗賊,,0,8
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,死骸盗賊,,0,8
から,から,から,助詞,接続助詞,NIL,,死骸盗賊,,0,8
、,、,、,特殊,読点,NIL,,死骸盗賊,,0,8
別に,べつに,別だ,形容詞,*,代表表記:別だ/べつだ,,死骸盗賊,,0,8
