見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
部屋,へや,部屋,名詞,普通名詞,代表表記:部屋/へや ドメイン:家庭・暮らし カテゴリ:場所-施設,,,,0,72
一杯の,いっぱいの,一杯だ,形容詞,*,代表表記:一杯だ/いっぱいだ,,,,0,72
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,,,,0,72
の,の,の,助詞,接続助詞,NIL,,,,0,72
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,,,,0,72
、,、,、,特殊,読点,NIL,,,,0,72
それ,それ,それ,指示詞,名詞形態指示詞,NIL,,,,0,72
が,が,が,助詞,格助詞,NIL,,,,0,72
生きて,いきて,生きる,動詞,*,代表表記:生きる/いきる ドメイン:健康・医学 自他動詞:他:生かす/いかす,,,,0,72
うごめいて,うごめいて,うごめく,動詞,*,代表表記:蠢く/うごめく,,,,0,72
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,,,0,72
のです,のです,のだ,助動詞,*,NIL,,,,0,72
。,。,。,特殊,句点,NIL,,,,0,72
映画,えいが,映画,名詞,普通名詞,代表表記:映画/えいが ドメイン:文化・芸術 カテゴリ:抽象物,,,,0,73
なぞ,なぞ,なぞ,名詞,普通名詞,代表表記:謎/なぞ カテゴリ:抽象物,,,,0,73
で,で,だ,判定詞,*,NIL,,,,0,73
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,,,0,73
こと,こと,こと,名詞,形式名詞,NIL,,,,0,73
は,は,は,助詞,副助詞,NIL,,,,0,73
、,、,、,特殊,読点,NIL,,,,0,73
その,その,その,指示詞,連体詞形態指示詞,NIL,,,,0,73
動き,うごき,動き,名詞,普通名詞,代表表記:動き/うごきv 反義:動詞:止まる/とまる 自他動詞:他:動かす/うごかす 連用形名詞化:動く/うごく,,,,0,73
の,の,の,助詞,格助詞,NIL,,,,0,73
静かな,しずかな,静かだ,形容詞,*,代表表記:静かだ/しずかだ,,,,0,73
の,の,の,名詞,形式名詞,NIL,,,,0,73
と,と,と,助詞,格助詞,NIL,,,,0,73
、,、,、,特殊,読点,NIL,,,,0,73
生物,せいぶつ,生物,名詞,普通名詞,代表表記:生物/せいぶつ カテゴリ:動物;植物,,,,0,73
そのまま,そのまま,そのまま,副詞,*,代表表記:そのまま/そのまま 〜を〜に構成語 修飾（ニ格） 修飾（デ格） 数量修飾,,,,0,73
の,の,の,助詞,接続助詞,NIL,,,,0,73
色艶,いろつや,色艶,名詞,普通名詞,代表表記:色艶/いろつや カテゴリ:抽象物,,,,0,73
と,と,と,助詞,格助詞,NIL,,,,0,73
で,で,で,助詞,格助詞,NIL,,,,0,73
明瞭です,めいりょうです,明瞭だ,形容詞,*,代表表記:明瞭だ/めいりょうだ,,,,0,73
。,。,。,特殊,句点,NIL,,,,0,73
無気味,ぶきみ,無気味だ,形容詞,*,代表表記:不気味だ/ぶきみだ,,,,0,74
さ,さ,さ,接尾辞,名詞性述語接尾辞,代表表記:さ/さ カテゴリ:抽象物;数量 準内容語,,,,0,74
より,より,より,助詞,格助詞,NIL,,,,0,74
も,も,も,助詞,副助詞,NIL,,,,0,74
、,、,、,特殊,読点,NIL,,,,0,74
恐ろし,おそろし,恐ろしい,形容詞,*,代表表記:恐ろしい/おそろしい,,,,0,74
さ,さ,さ,接尾辞,名詞性述語接尾辞,代表表記:さ/さ カテゴリ:抽象物;数量 準内容語,,,,0,74
より,より,より,助詞,格助詞,NIL,,,,0,74
も,も,も,助詞,副助詞,NIL,,,,0,74
、,、,、,特殊,読点,NIL,,,,0,74
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,74
は,は,は,助詞,副助詞,NIL,,,,0,74
自分,じぶん,自分,名詞,普通名詞,代表表記:自分/じぶん カテゴリ:人 修飾（デ格）,,,,0,74
が,が,が,助詞,格助詞,NIL,,,,0,74
気,き,気,名詞,普通名詞,代表表記:気/き カテゴリ:抽象物 漢字読み:音,,,,0,74
でも,でも,でも,助詞,副助詞,NIL,,,,0,74
違った,ちがった,違う,動詞,*,代表表記:違う/ちがう 反義:形容詞:同じだ/おなじだ 自他動詞:他:違える/ちがえる 付属動詞候補（基本）,,,,0,74
ので,ので,のだ,助動詞,*,NIL,,,,0,74
は,は,は,助詞,副助詞,NIL,,,,0,74
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,,,,0,74
まい,まい,まい,助動詞,*,NIL,,,,0,74
か,か,か,助詞,終助詞,NIL,,,,0,74
と,と,と,助詞,格助詞,NIL,,,,0,74
、,、,、,特殊,読点,NIL,,,,0,74
思わず,おもわず,思わず,副詞,*,代表表記:思わず/おもわず,,,,0,74
驚き,おどろき,驚き,名詞,普通名詞,代表表記:驚き/おどろきv 連用形名詞化:驚く/おどろく,,,,0,74
の,の,の,助詞,格助詞,NIL,,,,0,74
叫び声,さけびごえ,叫び声,名詞,普通名詞,代表表記:叫び声/さけびごえ カテゴリ:抽象物,,,,0,74
を,を,を,助詞,格助詞,NIL,,,,0,74
上げた,あげた,上げる,動詞,*,代表表記:上げる/あげる 反義:動詞:下ろす/おろす;動詞:降ろす/おろす 自他動詞:自:上がる/あがる 付属動詞候補（基本） 付属動詞候補（タ系）,,,,0,74
ほど,ほど,ほど,名詞,副詞的名詞,代表表記:程/ほど,,,,0,74
です,です,だ,判定詞,*,NIL,,,,0,74
。,。,。,特殊,句点,NIL,,,,0,74
すると,すると,すると,接続詞,*,代表表記:すると/すると,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
「,「,「,特殊,括弧始,NIL,,,,0,75
驚いた,おどろいた,驚く,動詞,*,代表表記:驚く/おどろく,,,,0,75
かい,かい,かい,助詞,終助詞,NIL,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,,,,0,75
だ,だ,だ,判定詞,*,NIL,,,,0,75
よ,よ,よ,助詞,終助詞,NIL,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
僕,ぼく,僕,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,,,,0,75
だ,だ,だ,判定詞,*,NIL,,,,0,75
よ,よ,よ,助詞,終助詞,NIL,,,,0,75
」,」,」,特殊,括弧終,NIL,,,,0,75
と,と,と,助詞,格助詞,NIL,,,,0,75
別の,べつの,別だ,形容詞,*,代表表記:別だ/べつだ,,,,0,75
方角,ほうがく,方角,名詞,普通名詞,代表表記:方角/ほうがく カテゴリ:場所-機能,,,,0,75
から,から,から,助詞,格助詞,NIL,,,,0,75
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,,,,0,75
の,の,の,助詞,接続助詞,NIL,,,,0,75
声,こえ,声,名詞,普通名詞,代表表記:声/こえ カテゴリ:抽象物 漢字読み:訓,,,,0,75
が,が,が,助詞,格助詞,NIL,,,,0,75
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
ハッと,はっと,ハッと,副詞,*,代表表記:ハッと/はっと スル接続可能,,,,0,75
私,わたし,私,名詞,普通名詞,代表表記:私/わたし カテゴリ:人 漢字読み:訓,,,,0,75
を,を,を,助詞,格助詞,NIL,,,,0,75
飛び上がら,とびあがら,飛び上がる,動詞,*,代表表記:飛び上がる/とびあがる,,,,0,75
せた,せた,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,,,,0,75
こと,こと,こと,名詞,形式名詞,NIL,,,,0,75
に,に,に,助詞,格助詞,NIL,,,,0,75
は,は,は,助詞,副助詞,NIL,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
その,その,その,指示詞,連体詞形態指示詞,NIL,,,,0,75
声,こえ,声,名詞,普通名詞,代表表記:声/こえ カテゴリ:抽象物 漢字読み:訓,,,,0,75
の,の,の,助詞,接続助詞,NIL,,,,0,75
通り,とおり,通り,名詞,副詞的名詞,代表表記:通り/とおり,,,,0,75
に,に,に,助詞,格助詞,NIL,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
壁,かべ,壁,名詞,普通名詞,代表表記:壁/かべ カテゴリ:場所-施設部位 漢字読み:訓,,,,0,75
の,の,の,助詞,接続助詞,NIL,,,,0,75
怪物,かいぶつ,怪物,名詞,普通名詞,代表表記:怪物/かいぶつ カテゴリ:動物,,,,0,75
の,の,の,助詞,接続助詞,NIL,,,,0,75
唇,くちびる,唇,名詞,普通名詞,代表表記:唇/くちびる カテゴリ:動物-部位 漢字読み:訓,,,,0,75
と,と,と,助詞,格助詞,NIL,,,,0,75
舌,した,舌,名詞,普通名詞,代表表記:舌/した カテゴリ:動物-部位 漢字読み:訓,,,,0,75
が,が,が,助詞,格助詞,NIL,,,,0,75
動いて,うごいて,動く,動詞,*,代表表記:動く/うごく 反義:動詞:止まる/とまる 自他動詞:他:動かす/うごかす,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
盥,たらい,盥,名詞,普通名詞,代表表記:盥/たらい ドメイン:家庭・暮らし カテゴリ:人工物-その他,,,,0,75
の,の,だ,判定詞,*,NIL,,,,0,75
ような,ような,ようだ,助動詞,*,NIL,,,,0,75
眼,がん,眼,名詞,普通名詞,代表表記:眼/がん カテゴリ:動物-部位 漢字読み:音,,,,0,75
が,が,が,助詞,格助詞,NIL,,,,0,75
、,、,、,特殊,読点,NIL,,,,0,75
ニヤリ,ニヤリ,ニヤリ,名詞,普通名詞,自動獲得:テキスト,,,,0,75
と,と,と,助詞,格助詞,NIL,,,,0,75
笑った,わらった,笑う,動詞,*,代表表記:笑う/わらう 反義:動詞:泣く/なく,,,,0,75
のです,のです,のだ,助動詞,*,NIL,,,,0,75
。,。,。,特殊,句点,NIL,,,,0,75
「,「,「,特殊,括弧始,NIL,,,,0,76
ハハハハハ,ハハハハハ,ハハハハハ,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,,,,0,76
……,……,……,特殊,記号,NIL,,,,0,76
どう,どう,どう,指示詞,副詞形態指示詞,NIL,,,,0,76
だいこ,だいこ,だいこ,名詞,普通名詞,代表表記:太古/たいこ 濁音化D カテゴリ:時間,,,,0,76
の,の,の,助詞,接続助詞,NIL,,,,0,76
趣向,しゅこう,趣向,名詞,普通名詞,代表表記:趣向/しゅこう カテゴリ:抽象物,,,,0,76
は,は,は,助詞,副助詞,NIL,,,,0,76
」,」,」,特殊,括弧終,NIL,,,,0,76
突然,とつぜん,突然だ,形容詞,*,代表表記:突然だ/とつぜんだ,,,,0,76
部屋,へや,部屋,名詞,普通名詞,代表表記:部屋/へや ドメイン:家庭・暮らし カテゴリ:場所-施設,,,,0,76
が,が,が,助詞,格助詞,NIL,,,,0,76
明,めい,明,名詞,普通名詞,代表表記:明/めい カテゴリ:抽象物;色 漢字読み:音,,,,0,76
かるく,かるく,かるい,形容詞,*,代表表記:軽い/かるい 反義:形容詞:重い/おもい,,,,0,76
なって,なって,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,,,,0,76
、,、,、,特殊,読点,NIL,,,,0,76
一方,いっぽう,一方,名詞,普通名詞,代表表記:一方/いっぽう カテゴリ:場所-機能 修飾（デ格）,,,,0,76
の,の,の,助詞,接続助詞,NIL,,,,0,76
暗室,あんしつ,暗室,名詞,普通名詞,代表表記:暗室/あんしつ ドメイン:文化・芸術;科学・技術 カテゴリ:場所-施設,,,,0,76
から,から,から,助詞,格助詞,NIL,,,,0,76
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,,,,0,76
の,の,の,助詞,接続助詞,NIL,,,,0,76
姿,すがた,姿,名詞,普通名詞,代表表記:姿/すがた カテゴリ:抽象物;形・模様 漢字読み:訓,,,,0,76
が,が,が,助詞,格助詞,NIL,,,,0,76
現われ,あらわれ,現われる,動詞,*,代表表記:現れる/あらわれる 反義:動詞:隠れる/かくれる 自他動詞:他:現す/あらわす,,,,0,76
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,,,,0,76
。,。,。,特殊,句点,NIL,,,,0,76
それ,それ,それ,指示詞,名詞形態指示詞,NIL,,,,0,77
と,と,と,助詞,格助詞,NIL,,,,0,77
同時に,どうじに,同時に,副詞,*,代表表記:同時に/どうじに,,,,0,77
壁,かべ,壁,名詞,普通名詞,代表表記:壁/かべ カテゴリ:場所-施設部位 漢字読み:訓,,,,0,77
の,の,の,助詞,接続助詞,NIL,,,,0,77
怪物,かいぶつ,怪物,名詞,普通名詞,代表表記:怪物/かいぶつ カテゴリ:動物,,,,0,77
が,が,が,助詞,格助詞,NIL,,,,0,77
消え,きえ,消える,動詞,*,代表表記:消える/きえる 自他動詞:他:消す/けす,,,,0,77
去った,さった,去る,動詞,*,代表表記:去る/さる 付属動詞候補（基本）,,,,0,77
の,の,の,名詞,形式名詞,NIL,,,,0,77
は,は,は,助詞,副助詞,NIL,,,,0,77
申す,もうす,申す,動詞,*,代表表記:申す/もうす 補文ト 謙譲動詞:言う/いう,,,,0,77
まで,まで,まで,助詞,接続助詞,NIL,,,,0,77
も,も,も,助詞,副助詞,NIL,,,,0,77
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,,,0,77
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,,,,0,77
ん,ん,ぬ,助動詞,*,NIL,,,,0,77
。,。,。,特殊,句点,NIL,,,,0,77
皆さん,みなさん,皆さん,名詞,普通名詞,代表表記:皆さん/みなさん カテゴリ:人,,,,0,78
