単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
すぎ,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,親子,名詞,1,543,3,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
怪人二十面相,固有名詞,裏門,名詞,1,543,10,552,0.0018115942028985507,0.003616636528028933,0.1,1.2537051675174493
たわい,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,白布,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,薬物,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,運転手,名詞,1,362,23,384,0.0026041666666666665,0.005194805194805195,0.043478260869565216,0.6370338070689547
たば,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
明智探偵,固有名詞,蘇生,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
手足,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
上半身,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,泊まり,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
勇気,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
サンダカン,名詞,怪人二十面相,固有名詞,1,2,543,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
怪人二十面相,固有名詞,服,名詞,1,543,6,548,0.0018248175182481751,0.0036429872495446266,0.16666666666666666,1.9906707616836554
怪人二十面相,固有名詞,違約,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
なに,名詞,怪人二十面相,固有名詞,1,10,543,552,0.0018115942028985507,0.003616636528028933,0.1,1.2537051675174493
小林少年,固有名詞,思い出,名詞,1,169,2,170,0.0058823529411764705,0.011695906432748537,0.5,5.259562213926989
おしまい,名詞,怪人二十面相,固有名詞,1,3,543,545,0.001834862385321101,0.003663003663003663,0.3333333333333333,2.9906707616836554
あとずさり,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
かぎ,名詞,怪人二十面相,固有名詞,1,9,543,551,0.0018148820326678765,0.0036231884057971015,0.1111111111111111,1.4057082609624991
かつら,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
いま,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
むしり,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
ねじ,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,無言,名詞,1,362,4,365,0.0027397260273972603,0.00546448087431694,0.25,3.160595763125968
なぐさめ,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,盗難,名詞,1,362,11,372,0.002688172043010753,0.005361930294906166,0.09090909090909091,1.7011641444886705
もくろみ,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
場面,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
手ぎわ,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
捕縄,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
夢,名詞,小林少年,固有名詞,1,14,169,182,0.005494505494505495,0.01092896174863388,0.07142857142857142,2.4522072918693847
以前,名詞,小林少年,固有名詞,1,5,169,173,0.005780346820809248,0.011494252873563218,0.2,3.9376341190396267
小林少年,固有名詞,時代,名詞,1,169,5,173,0.005780346820809248,0.011494252873563218,0.2,3.9376341190396267
つけ,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
明智探偵,固有名詞,館員,名詞,1,362,6,367,0.0027247956403269754,0.005434782608695652,0.16666666666666666,2.5756332624048115
凝視,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
われわれ,名詞,明智探偵,固有名詞,1,3,362,364,0.0027472527472527475,0.005479452054794521,0.3333333333333333,3.5756332624048115
おももち,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
ろうばい,名詞,明智探偵,固有名詞,1,1,362,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
明智探偵,固有名詞,笑い顔,名詞,1,362,1,362,0.0027624309392265192,0.005509641873278237,1.0,5.160595763125968
おうむがえし,名詞,明智探偵,固有名詞,1,2,362,363,0.0027548209366391185,0.005494505494505495,0.5,4.160595763125968
小林少年,固有名詞,朝日,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
いり,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
怪人二十面相,固有名詞,童話,名詞,1,543,2,544,0.001838235294117647,0.003669724770642202,0.5,3.5756332624048115
土蔵,名詞,小林少年,固有名詞,1,8,169,176,0.005681818181818182,0.011299435028248588,0.125,3.259562213926989
怪人二十面相,固有名詞,手なみ,名詞,1,543,1,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
小林少年,固有名詞,直感,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
出,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
小林少年,固有名詞,秋,名詞,1,169,3,171,0.005847953216374269,0.011627906976744186,0.3333333333333333,4.674599713205833
家出,名詞,小林少年,固有名詞,1,3,169,171,0.005847953216374269,0.011627906976744186,0.3333333333333333,4.674599713205833
こいつ,名詞,明智探偵,固有名詞,1,10,362,371,0.0026954177897574125,0.005376344086021506,0.1,1.8386676682386054
