単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
怪人二十面相,固有名詞,時計,名詞,2,543,9,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
はし,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
土蔵,名詞,怪人二十面相,固有名詞,2,8,543,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
怪人二十面相,固有名詞,町,名詞,2,543,3,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
幽霊,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,間,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,池,名詞,2,543,12,553,0.003616636528028933,0.007207207207207207,0.16666666666666666,1.9906707616836554
怪人二十面相,固有名詞,食事,名詞,2,543,10,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
名人,名詞,怪人二十面相,固有名詞,2,5,543,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
床,名詞,怪人二十面相,固有名詞,2,10,543,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
怪人二十面相,固有名詞,背中,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,猛犬,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,相好,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,竹,名詞,2,543,15,556,0.0035971223021582736,0.007168458781362007,0.13333333333333333,1.668742666796293
むすこ,名詞,怪人二十面相,固有名詞,2,5,543,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
手首,名詞,明智探偵,固有名詞,2,4,362,364,0.005494505494505495,0.01092896174863388,0.5,4.160595763125968
ひも,名詞,怪人二十面相,固有名詞,2,5,543,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,絹,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
主人,名詞,怪人二十面相,固有名詞,2,15,543,556,0.0035971223021582736,0.007168458781362007,0.13333333333333333,1.668742666796293
怪人二十面相,固有名詞,息,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
庭園,名詞,怪人二十面相,固有名詞,2,3,543,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
怪人二十面相,固有名詞,早朝,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
怪人二十面相,固有名詞,穴,名詞,2,543,10,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
きのう,名詞,怪人二十面相,固有名詞,2,14,543,555,0.0036036036036036037,0.00718132854578097,0.14285714285714285,1.7682783403472073
はじめ,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
ごぞんじ,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
夕方,名詞,怪人二十面相,固有名詞,2,12,543,553,0.003616636528028933,0.007207207207207207,0.16666666666666666,1.9906707616836554
怪人二十面相,固有名詞,目の前,名詞,2,543,12,553,0.003616636528028933,0.007207207207207207,0.16666666666666666,1.9906707616836554
よう,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
おとしあな,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,身動き,名詞,2,543,9,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
怪人二十面相,固有名詞,敵,名詞,2,543,7,548,0.0036496350364963502,0.007272727272727273,0.2857142857142857,2.7682783403472073
なん,名詞,怪人二十面相,固有名詞,2,11,543,552,0.0036231884057971015,0.007220216606498195,0.18181818181818182,2.116201643767514
怪人二十面相,固有名詞,手がかり,名詞,2,543,8,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
ひたい,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
よゆう,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,枝,名詞,2,543,3,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
六,名詞,怪人二十面相,固有名詞,2,11,543,552,0.0036231884057971015,0.007220216606498195,0.18181818181818182,2.116201643767514
怪人二十面相,固有名詞,風,名詞,2,543,8,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
怪人二十面相,固有名詞,魔術,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,怪物,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
くび,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
冒険,名詞,怪人二十面相,固有名詞,2,7,543,548,0.0036496350364963502,0.007272727272727273,0.2857142857142857,2.7682783403472073
かくし,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
今晩,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
おか,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
のこぎり,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
怪人二十面相,固有名詞,朝,名詞,2,543,8,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
島,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
おれ,名詞,怪人二十面相,固有名詞,2,14,543,555,0.0036036036036036037,0.00718132854578097,0.14285714285714285,1.7682783403472073
あばらや,名詞,怪人二十面相,固有名詞,2,3,543,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
怪人二十面相,固有名詞,階下,名詞,2,543,6,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
おわび,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,門前,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,案内,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,虎吉,名詞,2,543,3,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
わく,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
二〇,名詞,怪人二十面相,固有名詞,2,3,543,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
ばしご,名詞,怪人二十面相,固有名詞,2,7,543,548,0.0036496350364963502,0.007272727272727273,0.2857142857142857,2.7682783403472073
怪人二十面相,固有名詞,暗やみ,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
夫人,名詞,怪人二十面相,固有名詞,2,10,543,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
おそれ,名詞,怪人二十面相,固有名詞,2,3,543,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
さけび声,名詞,怪人二十面相,固有名詞,2,9,543,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
怪人二十面相,固有名詞,監禁,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
怪人二十面相,固有名詞,感心,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,毎日,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
ねらい,名詞,怪人二十面相,固有名詞,2,5,543,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
天井,名詞,怪人二十面相,固有名詞,2,8,543,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
弟,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
口調,名詞,怪人二十面相,固有名詞,2,10,543,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
ろうそく,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
怪人二十面相,固有名詞,犬,名詞,2,543,6,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
怪人二十面相,固有名詞,戸山,名詞,2,543,8,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
左門,名詞,怪人二十面相,固有名詞,2,16,543,557,0.003590664272890485,0.007155635062611807,0.125,1.5756332624048117
あさ,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
怪人二十面相,固有名詞,芸当,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
屋根,名詞,怪人二十面相,固有名詞,2,11,543,552,0.0036231884057971015,0.007220216606498195,0.18181818181818182,2.116201643767514
小林少年,固有名詞,衣,名詞,2,169,4,171,0.011695906432748537,0.023121387283236993,0.5,5.259562213926989
ジョン,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
ボーイ,名詞,明智探偵,固有名詞,2,25,362,385,0.005194805194805195,0.0103359173126615,0.08,1.516739573351243
怪人二十面相,固有名詞,手だて,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
小林少年,固有名詞,玉,名詞,2,169,8,175,0.011428571428571429,0.022598870056497175,0.25,4.259562213926989
さそい,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
小林少年,固有名詞,鉄砲,名詞,2,169,3,170,0.011764705882352941,0.023255813953488372,0.6666666666666666,5.674599713205833
プラットホーム,名詞,怪人二十面相,固有名詞,2,9,543,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
場面,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
小林少年,固有名詞,心配,名詞,2,169,16,183,0.01092896174863388,0.021621621621621623,0.125,3.259562213926989
客,名詞,怪人二十面相,固有名詞,2,7,543,548,0.0036496350364963502,0.007272727272727273,0.2857142857142857,2.7682783403472073
小林少年,固有名詞,邸,名詞,2,169,13,180,0.011111111111111112,0.02197802197802198,0.15384615384615385,3.5591224957858967
とびら,名詞,怪人二十面相,固有名詞,2,8,543,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
小林少年,固有名詞,省,名詞,2,169,12,179,0.0111731843575419,0.022099447513812154,0.16666666666666666,3.674599713205833
千,名詞,怪人二十面相,固有名詞,2,5,543,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
怪人二十面相,固有名詞,札,名詞,2,543,5,546,0.003663003663003663,0.0072992700729927005,0.4,3.2537051675174493
小林少年,固有名詞,帽,名詞,2,169,4,171,0.011695906432748537,0.023121387283236993,0.5,5.259562213926989
ポーチ,名詞,怪人二十面相,固有名詞,2,8,543,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
小林少年,固有名詞,紳士,名詞,2,169,12,179,0.0111731843575419,0.022099447513812154,0.16666666666666666,3.674599713205833
明智探偵,固有名詞,紙,名詞,2,362,12,372,0.005376344086021506,0.0106951871657754,0.16666666666666666,2.5756332624048115
一味,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
まえ,名詞,小林少年,固有名詞,2,48,169,215,0.009302325581395349,0.018433179723502304,0.041666666666666664,1.6745997132058328
大笑い,名詞,明智探偵,固有名詞,2,2,362,362,0.0055248618784530384,0.01098901098901099,1.0,5.160595763125968
ふう,名詞,明智探偵,固有名詞,2,3,362,363,0.005509641873278237,0.010958904109589041,0.6666666666666666,4.5756332624048115
崇拝,名詞,明智探偵,固有名詞,2,3,362,363,0.005509641873278237,0.010958904109589041,0.6666666666666666,4.5756332624048115
怪人二十面相,固有名詞,肩,名詞,2,543,10,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
明智探偵,固有名詞,赤帽,名詞,2,362,2,362,0.0055248618784530384,0.01098901098901099,1.0,5.160595763125968
うち,名詞,小林少年,固有名詞,2,30,169,197,0.01015228426395939,0.020100502512562814,0.06666666666666667,2.35267161831847
怪人二十面相,固有名詞,赤井,名詞,2,543,21,562,0.0035587188612099642,0.0070921985815602835,0.09523809523809523,1.1833158396260512
ゆだん,名詞,怪人二十面相,固有名詞,2,9,543,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
小林少年,固有名詞,気,名詞,2,169,51,218,0.009174311926605505,0.01818181818181818,0.0392156862745098,1.5871368719554932
小林少年,固有名詞,空,名詞,2,169,5,172,0.011627906976744186,0.022988505747126436,0.4,4.937634119039626
怪人二十面相,固有名詞,紳士,名詞,2,543,12,553,0.003616636528028933,0.007207207207207207,0.16666666666666666,1.9906707616836554
怪人二十面相,固有名詞,表,名詞,2,543,8,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
信用,名詞,怪人二十面相,固有名詞,2,4,543,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
小学生,名詞,小林少年,固有名詞,2,7,169,174,0.011494252873563218,0.022727272727272728,0.2857142857142857,4.452207291869385
力,名詞,小林少年,固有名詞,2,28,169,195,0.010256410256410256,0.02030456852791878,0.07142857142857142,2.4522072918693847
怪人二十面相,固有名詞,長,名詞,2,543,10,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
小林少年,固有名詞,手がかり,名詞,2,169,8,175,0.011428571428571429,0.022598870056497175,0.25,4.259562213926989
小林少年,固有名詞,捜索,名詞,2,169,8,175,0.011428571428571429,0.022598870056497175,0.25,4.259562213926989
明智探偵,固有名詞,鉄道,名詞,2,362,11,371,0.005390835579514825,0.010723860589812333,0.18181818181818182,2.7011641444886703
怪人二十面相,固有名詞,日づけ,名詞,2,543,3,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
クッション,名詞,明智探偵,固有名詞,2,4,362,364,0.005494505494505495,0.01092896174863388,0.5,4.160595763125968
だし,名詞,怪人二十面相,固有名詞,2,3,543,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
わたし,名詞,怪人二十面相,固有名詞,2,12,543,553,0.003616636528028933,0.007207207207207207,0.16666666666666666,1.9906707616836554
小林少年,固有名詞,相手,名詞,2,169,30,197,0.01015228426395939,0.020100502512562814,0.06666666666666667,2.35267161831847
たたかい,名詞,小林少年,固有名詞,2,4,169,171,0.011695906432748537,0.023121387283236993,0.5,5.259562213926989
博物,名詞,明智探偵,固有名詞,2,42,362,402,0.004975124378109453,0.009900990099009901,0.047619047619047616,0.7682783403472074
怪人二十面相,固有名詞,方法,名詞,2,543,7,548,0.0036496350364963502,0.007272727272727273,0.2857142857142857,2.7682783403472073
だれ,名詞,小林少年,固有名詞,2,33,169,200,0.01,0.019801980198019802,0.06060606060606061,2.2151680945685355
小林少年,固有名詞,監禁,名詞,2,169,4,171,0.011695906432748537,0.023121387283236993,0.5,5.259562213926989
問題,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
小林少年,固有名詞,興奮,名詞,2,169,5,172,0.011627906976744186,0.022988505747126436,0.4,4.937634119039626
怪人二十面相,固有名詞,投書,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,毎日新聞,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
明智探偵,固有名詞,立ち,名詞,2,362,12,372,0.005376344086021506,0.0106951871657754,0.16666666666666666,2.5756332624048115
怪人二十面相,固有名詞,都民,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
小林少年,固有名詞,読者,名詞,2,169,22,189,0.010582010582010581,0.020942408376963352,0.09090909090909091,2.8001305952896915
小林少年,固有名詞,日,名詞,2,169,21,188,0.010638297872340425,0.021052631578947368,0.09523809523809523,2.8672447911482286
怪人二十面相,固有名詞,総監,名詞,2,543,28,569,0.0035149384885764497,0.0070052539404553416,0.07142857142857142,0.7682783403472074
小林少年,固有名詞,諸君,名詞,2,169,28,195,0.010256410256410256,0.02030456852791878,0.07142857142857142,2.4522072918693847
え,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
ため,名詞,小林少年,固有名詞,2,46,169,213,0.009389671361502348,0.018604651162790697,0.043478260869565216,1.7360002578699758
小林少年,固有名詞,顔色,名詞,2,169,9,176,0.011363636363636364,0.02247191011235955,0.2222222222222222,4.089637212484677
小林少年,固有名詞,紙,名詞,2,169,12,179,0.0111731843575419,0.022099447513812154,0.16666666666666666,3.674599713205833
明智探偵,固有名詞,知恵,名詞,2,362,7,367,0.005449591280653951,0.01084010840108401,0.2857142857142857,3.353240841068364
小林少年,固有名詞,絶望,名詞,2,169,3,170,0.011764705882352941,0.023255813953488372,0.6666666666666666,5.674599713205833
さわぎ,名詞,怪人二十面相,固有名詞,2,9,543,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
品物,名詞,怪人二十面相,固有名詞,2,9,543,550,0.0036363636363636364,0.007246376811594203,0.2222222222222222,2.4057082609624993
怪人二十面相,固有名詞,絶好,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
一同,名詞,怪人二十面相,固有名詞,2,16,543,557,0.003590664272890485,0.007155635062611807,0.125,1.5756332624048117
怪人二十面相,固有名詞,機会,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
ほんもの,名詞,怪人二十面相,固有名詞,2,8,543,549,0.0036429872495446266,0.007259528130671506,0.25,2.5756332624048115
仕事,名詞,怪人二十面相,固有名詞,2,11,543,552,0.0036231884057971015,0.007220216606498195,0.18181818181818182,2.116201643767514
みなさん,名詞,怪人二十面相,固有名詞,2,3,543,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
やり口,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,閣下,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,麻酔,名詞,2,543,6,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
小林少年,固有名詞,隊,名詞,2,169,7,174,0.011494252873563218,0.022727272727272728,0.2857142857142857,4.452207291869385
小林少年,固有名詞,手がら,名詞,2,169,9,176,0.011363636363636364,0.02247191011235955,0.2222222222222222,4.089637212484677
怪人二十面相,固有名詞,捜査,名詞,2,543,14,555,0.0036036036036036037,0.00718132854578097,0.14285714285714285,1.7682783403472073
じり,名詞,怪人二十面相,固有名詞,2,2,543,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
さけび声,名詞,小林少年,固有名詞,2,9,169,176,0.011363636363636364,0.02247191011235955,0.2222222222222222,4.089637212484677
小林少年,固有名詞,警官,名詞,2,169,47,214,0.009345794392523364,0.018518518518518517,0.0425531914893617,1.7049733622493515
一騎,名詞,明智探偵,固有名詞,2,3,362,363,0.005509641873278237,0.010958904109589041,0.6666666666666666,4.5756332624048115
明智探偵,固有名詞,自宅,名詞,2,362,7,367,0.005449591280653951,0.01084010840108401,0.2857142857142857,3.353240841068364
怪人二十面相,固有名詞,陳列,名詞,2,543,19,560,0.0035714285714285713,0.0071174377224199285,0.10526315789473684,1.327705748961226
員,名詞,怪人二十面相,固有名詞,2,17,543,558,0.0035842293906810036,0.007142857142857143,0.11764705882352941,1.4881704211544722
怪人二十面相,固有名詞,魔法,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
寅三,名詞,怪人二十面相,固有名詞,2,10,543,551,0.003629764065335753,0.007233273056057866,0.2,2.2537051675174493
大ぜい,名詞,明智探偵,固有名詞,2,11,362,371,0.005390835579514825,0.010723860589812333,0.18181818181818182,2.7011641444886703
感心,名詞,明智探偵,固有名詞,2,5,362,365,0.005479452054794521,0.010899182561307902,0.4,3.8386676682386054
明智探偵,固有名詞,芝居,名詞,2,362,9,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
かぎ,名詞,明智探偵,固有名詞,2,9,362,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
明智探偵,固有名詞,格闘,名詞,2,362,3,363,0.005509641873278237,0.010958904109589041,0.6666666666666666,4.5756332624048115
明智探偵,固有名詞,考え,名詞,2,362,13,373,0.005361930294906166,0.010666666666666666,0.15384615384615385,2.4601560449848754
午後,名詞,明智探偵,固有名詞,2,14,362,374,0.0053475935828877,0.010638297872340425,0.14285714285714285,2.353240841068364
明智探偵,固有名詞,畳,名詞,2,362,5,365,0.005479452054794521,0.010899182561307902,0.4,3.8386676682386054
明智探偵,固有名詞,顔色,名詞,2,362,9,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
明智探偵,固有名詞,机,名詞,2,362,9,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
姿勢,名詞,明智探偵,固有名詞,2,5,362,365,0.005479452054794521,0.010899182561307902,0.4,3.8386676682386054
あくび,名詞,明智探偵,固有名詞,2,3,362,363,0.005509641873278237,0.010958904109589041,0.6666666666666666,4.5756332624048115
たのみ,名詞,明智探偵,固有名詞,2,2,362,362,0.0055248618784530384,0.01098901098901099,1.0,5.160595763125968
ありさま,名詞,明智探偵,固有名詞,2,5,362,365,0.005479452054794521,0.010899182561307902,0.4,3.8386676682386054
夕方,名詞,明智探偵,固有名詞,2,12,362,372,0.005376344086021506,0.0106951871657754,0.16666666666666666,2.5756332624048115
明智探偵,固有名詞,替え玉,名詞,2,362,11,371,0.005390835579514825,0.010723860589812333,0.18181818181818182,2.7011641444886703
明智探偵,固有名詞,笑顔,名詞,2,362,5,365,0.005479452054794521,0.010899182561307902,0.4,3.8386676682386054
明智探偵,固有名詞,背広,名詞,2,362,10,370,0.005405405405405406,0.010752688172043012,0.2,2.8386676682386054
大敵,名詞,明智探偵,固有名詞,2,2,362,362,0.0055248618784530384,0.01098901098901099,1.0,5.160595763125968
屋,名詞,明智探偵,固有名詞,2,7,362,367,0.005449591280653951,0.01084010840108401,0.2857142857142857,3.353240841068364
守衛,名詞,明智探偵,固有名詞,2,4,362,364,0.005494505494505495,0.01092896174863388,0.5,4.160595763125968
明智探偵,固有名詞,親分,名詞,2,362,10,370,0.005405405405405406,0.010752688172043012,0.2,2.8386676682386054
やつ,名詞,明智探偵,固有名詞,2,29,362,389,0.005141388174807198,0.010230179028132993,0.06896551724137931,1.3026147679983957
千,名詞,明智探偵,固有名詞,2,5,362,365,0.005479452054794521,0.010899182561307902,0.4,3.8386676682386054
明智探偵,固有名詞,警官,名詞,2,362,47,407,0.004914004914004914,0.009779951100244499,0.0425531914893617,0.6060069114483303
小林少年,固有名詞,身,名詞,2,169,23,190,0.010526315789473684,0.020833333333333332,0.08695652173913043,2.736000257869976
まま,名詞,小林少年,固有名詞,2,19,169,186,0.010752688172043012,0.02127659574468085,0.10526315789473684,3.011634700483403
小林少年,固有名詞,暗やみ,名詞,2,169,4,171,0.011695906432748537,0.023121387283236993,0.5,5.259562213926989
小林少年,固有名詞,痛み,名詞,2,169,3,170,0.011764705882352941,0.023255813953488372,0.6666666666666666,5.674599713205833
境遇,名詞,小林少年,固有名詞,2,2,169,169,0.011834319526627219,0.023391812865497075,1.0,6.259562213926989
小林少年,固有名詞,足,名詞,2,169,12,179,0.0111731843575419,0.022099447513812154,0.16666666666666666,3.674599713205833
明智探偵,固有名詞,正体,名詞,2,362,4,364,0.005494505494505495,0.01092896174863388,0.5,4.160595763125968
小学生,名詞,明智探偵,固有名詞,2,7,362,367,0.005449591280653951,0.01084010840108401,0.2857142857142857,3.353240841068364
ガラス,名詞,明智探偵,固有名詞,2,15,362,375,0.005333333333333333,0.010610079575596816,0.13333333333333333,2.2537051675174493
明智探偵,固有名詞,見はり,名詞,2,362,13,373,0.005361930294906166,0.010666666666666666,0.15384615384615385,2.4601560449848754
明智探偵,固有名詞,肩書き,名詞,2,362,2,362,0.0055248618784530384,0.01098901098901099,1.0,5.160595763125968
ぐるぐる巻き,名詞,明智探偵,固有名詞,2,4,362,364,0.005494505494505495,0.01092896174863388,0.5,4.160595763125968
明智探偵,固有名詞,黒,名詞,2,362,11,371,0.005390835579514825,0.010723860589812333,0.18181818181818182,2.7011641444886703
明智探偵,固有名詞,洋館,名詞,2,362,8,368,0.005434782608695652,0.010810810810810811,0.25,3.160595763125968
報告,名詞,明智探偵,固有名詞,2,8,362,368,0.005434782608695652,0.010810810810810811,0.25,3.160595763125968
手がら,名詞,明智探偵,固有名詞,2,9,362,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
左,名詞,明智探偵,固有名詞,2,8,362,368,0.005434782608695652,0.010810810810810811,0.25,3.160595763125968
明智探偵,固有名詞,書斎,名詞,2,362,9,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
意味,名詞,明智探偵,固有名詞,2,9,362,369,0.005420054200542005,0.01078167115902965,0.2222222222222222,2.9906707616836554
がまん,名詞,明智探偵,固有名詞,2,8,362,368,0.005434782608695652,0.010810810810810811,0.25,3.160595763125968
仏像,名詞,明智探偵,固有名詞,2,28,362,388,0.005154639175257732,0.010256410256410256,0.07142857142857142,1.3532408410683636
怪人二十面相,固有名詞,追跡,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
いく,名詞,明智探偵,固有名詞,2,13,362,373,0.005361930294906166,0.010666666666666666,0.15384615384615385,2.4601560449848754
おとな,名詞,小林少年,固有名詞,2,7,169,174,0.011494252873563218,0.022727272727272728,0.2857142857142857,4.452207291869385
外務,名詞,小林少年,固有名詞,2,12,169,179,0.0111731843575419,0.022099447513812154,0.16666666666666666,3.674599713205833
小林少年,固有名詞,警察,名詞,2,169,38,205,0.00975609756097561,0.01932367149758454,0.05263157894736842,2.011634700483403
交番,名詞,怪人二十面相,固有名詞,2,6,543,547,0.003656307129798903,0.007285974499089253,0.3333333333333333,2.9906707616836554
かけ,名詞,小林少年,固有名詞,2,5,169,172,0.011627906976744186,0.022988505747126436,0.4,4.937634119039626
怪人二十面相,固有名詞,戸塚,名詞,2,543,3,544,0.003676470588235294,0.007326007326007326,0.6666666666666666,3.9906707616836554
怪人二十面相,固有名詞,疾走,名詞,2,543,2,543,0.003683241252302026,0.007339449541284404,1.0,4.5756332624048115
怪人二十面相,固有名詞,運,名詞,2,543,4,545,0.003669724770642202,0.007312614259597806,0.5,3.5756332624048115
