表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
、,記号,読点,*,*,*,*,、,、,、,おねえさま
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,おねえさま
若,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,若い,ワカ,ワカ,おねえさま
すぎ,動詞,非自立,*,*,一段,連用形,すぎる,スギ,スギ,おねえさま
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,おねえさま
し,助詞,接続助詞,*,*,*,*,し,シ,シ,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,おねえさま
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,おねえさま
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,おねえさま
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
大き,形容詞,自立,*,*,形容詞・イ段,ガル接続,大きい,オオキ,オーキ,おねえさま
すぎる,動詞,非自立,*,*,一段,基本形,すぎる,スギル,スギル,おねえさま
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,おねえさま
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,おねえさま
。,記号,句点,*,*,*,*,。,。,。,おねえさま
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,おねえさま
おじょうさん,名詞,一般,*,*,*,*,おじょうさん,オジョウサン,オジョーサン,おねえさま
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま
そば,名詞,一般,*,*,*,*,そば,ソバ,ソバ,おねえさま
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
少年探偵団,名詞,固有名詞,組織,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,おねえさま
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,おねえさま
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま
