表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,大時計の怪,11,107
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,107
大声,名詞,一般,*,*,*,*,大声,オオゴエ,オーゴエ,大時計の怪,11,108
で,助詞,格助詞,一般,*,*,*,で,デ,デ,大時計の怪,11,108
たすけ,動詞,自立,*,*,一段,連用形,たすける,タスケ,タスケ,大時計の怪,11,108
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,108
もとめ,動詞,自立,*,*,一段,連用形,もとめる,モトメ,モトメ,大時計の怪,11,108
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,大時計の怪,11,108
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,108
すぐ,副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,大時計の怪,11,108
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,大時計の怪,11,108
かけつけ,動詞,自立,*,*,一段,連用形,かけつける,カケツケ,カケツケ,大時計の怪,11,108
て,助詞,接続助詞,*,*,*,*,て,テ,テ,大時計の怪,11,108
くる,動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル,大時計の怪,11,108
はず,名詞,非自立,一般,*,*,*,はず,ハズ,ハズ,大時計の怪,11,108
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,大時計の怪,11,108
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,108
玉村,名詞,固有名詞,人名,姓,*,*,玉村,タマムラ,タマムラ,大時計の怪,11,109
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,大時計の怪,11,109
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,大時計の怪,11,109
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,109
口,名詞,一般,*,*,*,*,口,クチ,クチ,大時計の怪,11,109
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,109
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,大時計の怪,11,109
ぱいにひらいてわめき,名詞,一般,*,*,*,*,*,*,*,大時計の怪,11,109
声,名詞,接尾,一般,*,*,*,声,ゴエ,ゴエ,大時計の怪,11,109
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,109
たてよ,動詞,自立,*,*,一段,未然ウ接続,たてる,タテヨ,タテヨ,大時計の怪,11,109
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,大時計の怪,11,109
と,助詞,格助詞,引用,*,*,*,と,ト,ト,大時計の怪,11,109
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,大時計の怪,11,109
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,大時計の怪,11,109
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,109
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,109
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ,大時計の怪,11,110
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,110
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,大時計の怪,11,110
とき,名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,大時計の怪,11,110
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,大時計の怪,11,110
もう,副詞,一般,*,*,*,*,もう,モウ,モー,大時計の怪,11,110
おそかっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,おそい,オソカッ,オソカッ,大時計の怪,11,110
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,110
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,大時計の怪,11,110
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,大時計の怪,11,110
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,110
いっぱい,名詞,接尾,副詞可能,*,*,*,いっぱい,イッパイ,イッパイ,大時計の怪,11,111
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,大時計の怪,11,111
ひらい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ひらく,ヒライ,ヒライ,大時計の怪,11,111
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,111
口,名詞,一般,*,*,*,*,口,クチ,クチ,大時計の怪,11,111
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,大時計の怪,11,111
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,111
パッと,副詞,一般,*,*,*,*,パッと,パット,パット,大時計の怪,11,111
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,111
白い,形容詞,自立,*,*,形容詞・アウオ段,基本形,白い,シロイ,シロイ,大時計の怪,11,111
ハンカチ,名詞,一般,*,*,*,*,ハンカチ,ハンカチ,ハンカチ,大時計の怪,11,111
の,助詞,連体化,*,*,*,*,の,ノ,ノ,大時計の怪,11,111
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,大時計の怪,11,111
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,大時計の怪,11,111
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,大時計の怪,11,111
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,大時計の怪,11,111
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,111
とびつい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,とびつく,トビツイ,トビツイ,大時計の怪,11,111
て,助詞,接続助詞,*,*,*,*,て,テ,テ,大時計の怪,11,111
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,111
ふた,名詞,一般,*,*,*,*,ふた,フタ,フタ,大時計の怪,11,111
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,111
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,大時計の怪,11,111
て,助詞,接続助詞,*,*,*,*,て,テ,テ,大時計の怪,11,111
しまい,動詞,非自立,*,*,五段・ワ行促音便,連用形,しまう,シマイ,シマイ,大時計の怪,11,111
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,大時計の怪,11,111
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,大時計の怪,11,111
。,記号,句点,*,*,*,*,。,。,。,大時計の怪,11,111
小林少年,名詞,固有名詞,一般,*,*,*,小林少年,コバヤシショウネン,コバヤシショーネン,大時計の怪,11,112
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,大時計の怪,11,112
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,112
うしろ,名詞,固有名詞,一般,*,*,*,うしろ,ウシロ,ウシロ,大時計の怪,11,112
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,大時計の怪,11,112
手,名詞,一般,*,*,*,*,手,テ,テ,大時計の怪,11,112
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,大時計の怪,11,112
まわし,動詞,自立,*,*,五段・サ行,連用形,まわす,マワシ,マワシ,大時計の怪,11,112
て,助詞,接続助詞,*,*,*,*,て,テ,テ,大時計の怪,11,112
、,記号,読点,*,*,*,*,、,、,、,大時計の怪,11,112
