表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,四
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,四
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
ふと,副詞,一般,*,*,*,*,ふと,フト,フト,四
耳,名詞,一般,*,*,*,*,耳,ミミ,ミミ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
すます,動詞,自立,*,*,五段・サ行,基本形,すます,スマス,スマス,四
と,助詞,接続助詞,*,*,*,*,と,ト,ト,四
、,記号,読点,*,*,*,*,、,、,、,四
隣,名詞,一般,*,*,*,*,隣,トナリ,トナリ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
夫,名詞,一般,*,*,*,*,夫,オット,オット,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,四
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,四
、,記号,読点,*,*,*,*,、,、,、,四
ガリガリ,副詞,助詞類接続,*,*,*,*,ガリガリ,ガリガリ,ガリガリ,四
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,四
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,四
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,四
物音,名詞,一般,*,*,*,*,物音,モノオト,モノオト,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
聞え,動詞,自立,*,*,一段,連用形,聞える,キコエ,キコエ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
虫,名詞,一般,*,*,*,*,虫,ムシ,ムシ,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
知らせる,動詞,自立,*,*,一段,基本形,知らせる,シラセル,シラセル,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,四
、,記号,読点,*,*,*,*,、,、,、,四
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
どうも,副詞,一般,*,*,*,*,どうも,ドウモ,ドーモ,四
鼠,名詞,一般,*,*,*,*,鼠,ネズミ,ネズミ,四
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
音,名詞,一般,*,*,*,*,音,オト,オト,四
で,助詞,格助詞,一般,*,*,*,で,デ,デ,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,四
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,四
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ,四
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
、,記号,読点,*,*,*,*,、,、,、,四
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,四
聞く,動詞,自立,*,*,五段・カ行イ音便,基本形,聞く,キク,キク,四
と,助詞,接続助詞,*,*,*,*,と,ト,ト,四
、,記号,読点,*,*,*,*,、,、,、,四
何だか,副詞,一般,*,*,*,*,何だか,ナンダカ,ナンダカ,四
かすれ,動詞,自立,*,*,一段,連用形,かすれる,カスレ,カスレ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
声,名詞,一般,*,*,*,*,声,コエ,コエ,四
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,四
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,四
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,四
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,四
気,名詞,非自立,一般,*,*,*,気,キ,キ,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
帯,名詞,一般,*,*,*,*,帯,オビ,オビ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
解く,動詞,自立,*,*,五段・カ行イ音便,基本形,解く,トク,トク,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
やめ,動詞,自立,*,*,一段,連用形,やめる,ヤメ,ヤメ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
、,記号,読点,*,*,*,*,、,、,、,四
気味,名詞,一般,*,*,*,*,気味,キミ,キミ,四
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,四
悪い,形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
辛抱,名詞,サ変接続,*,*,*,*,辛抱,シンボウ,シンボー,四
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,四
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,四
、,記号,読点,*,*,*,*,、,、,、,四
間,名詞,一般,*,*,*,*,間,マ,マ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
襖,名詞,一般,*,*,*,*,襖,フスマ,フスマ,四
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四
開け,動詞,自立,*,*,一段,連用形,開ける,アケ,アケ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
。,記号,句点,*,*,*,*,。,。,。,四
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,四
と,助詞,接続助詞,*,*,*,*,と,ト,ト,四
、,記号,読点,*,*,*,*,、,、,、,四
さっき,名詞,副詞可能,*,*,*,*,さっき,サッキ,サッキ,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
気づか,動詞,自立,*,*,五段・カ行イ音便,未然形,気づく,キヅカ,キズカ,四
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,四
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四
、,記号,読点,*,*,*,*,、,、,、,四
