表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
むこう,名詞,形容動詞語幹,*,*,*,*,無効,ムコウ,ムコー,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
ゆか,名詞,固有名詞,人名,名,*,*,ゆか,ユカ,ユカ,９
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,９
ゆびさし,動詞,自立,*,*,五段・サ行,連用形,ゆびさす,ユビサシ,ユビサシ,９
て,助詞,接続助詞,*,*,*,*,て,テ,テ,９
さけび,動詞,自立,*,*,五段・バ行,連用形,さけぶ,サケビ,サケビ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,９
いち,名詞,一般,*,*,*,*,いち,イチ,イチ,９
ゅうでんとうの,名詞,一般,*,*,*,*,*,*,*,９
光,名詞,接尾,一般,*,*,*,光,コウ,コー,９
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,９
、,記号,読点,*,*,*,*,、,、,、,９
さっと,副詞,一般,*,*,*,*,さっと,サット,サット,９
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,９
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,９
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,９
てらし,動詞,自立,*,*,五段・サ行,連用形,てらす,テラシ,テラシ,９
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,９
。,記号,句点,*,*,*,*,。,。,。,９
すると,接続詞,*,*,*,*,*,すると,スルト,スルト,９
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,９
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,９
、,記号,読点,*,*,*,*,、,、,、,９
なんだか,副詞,一般,*,*,*,*,なんだか,ナンダカ,ナンダカ,９
きみ,名詞,代名詞,一般,*,*,*,きみ,キミ,キミ,９
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,９
わるい,形容詞,自立,*,*,形容詞・アウオ段,基本形,わるい,ワルイ,ワルイ,９
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,９
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,９
おこっ,動詞,自立,*,*,五段・ラ行,連用タ接続,おこる,オコッ,オコッ,９
て,助詞,接続助詞,*,*,*,*,て,テ,テ,９
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
地,名詞,一般,*,*,*,*,地,チ,チ,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,９
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,９
、,記号,読点,*,*,*,*,、,、,、,９
み,接頭詞,名詞接続,*,*,*,*,み,ミ,ミ,９
ょうなものがむくむくとあらわれてきたのです,名詞,一般,*,*,*,*,*,*,*,９
。,記号,句点,*,*,*,*,。,。,。,９
まるい,形容詞,自立,*,*,形容詞・アウオ段,基本形,まるい,マルイ,マルイ,９
あ,フィラー,*,*,*,*,*,あ,ア,ア,９
たま,名詞,一般,*,*,*,*,たま,タマ,タマ,９
の,助詞,連体化,*,*,*,*,の,ノ,ノ,９
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,９
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,９
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,９
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,９
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,９
て,助詞,接続助詞,*,*,*,*,て,テ,テ,９
き,動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,９
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,９
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,９
。,記号,句点,*,*,*,*,。,。,。,９
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,９
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,９
、,記号,読点,*,*,*,*,、,、,、,９
見る見る,副詞,一般,*,*,*,*,見る見る,ミルミル,ミルミル,９
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,９
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,９
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,９
