表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,53
夫,名詞,一般,*,*,*,*,夫,オット,オット,< 章なし >,0,53
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,53
常用,名詞,サ変接続,*,*,*,*,常用,ジョウヨウ,ジョーヨー,< 章なし >,0,53
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,53
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >,0,53
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,53
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,53
違っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,違う,チガッ,チガッ,< 章なし >,0,53
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,53
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,< 章なし >,0,53
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,53
夫,名詞,一般,*,*,*,*,夫,オット,オット,< 章なし >,0,54
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,54
どこか,名詞,一般,*,*,*,*,どこか,ドコカ,ドコカ,< 章なし >,0,54
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,54
取違え,動詞,自立,*,*,一段,連用形,取違える,トリチガエ,トリチガエ,< 章なし >,0,54
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,54
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >,0,54
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,54
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,54
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,54
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,54
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,54
考え,動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,< 章なし >,0,54
