表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,四,3,54
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,四,3,54
打っ,動詞,自立,*,*,五段・タ行,連用タ接続,打つ,ウッ,ウッ,四,3,54
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四,3,54
奴,名詞,代名詞,一般,*,*,*,奴,ヤツ,ヤツ,四,3,54
で,助詞,格助詞,一般,*,*,*,で,デ,デ,四,3,54
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四,3,54
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,四,3,54
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四,3,54
、,記号,読点,*,*,*,*,、,、,、,四,3,54
以前,名詞,副詞可能,*,*,*,*,以前,イゼン,イゼン,四,3,54
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,四,3,54
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,四,3,54
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四,3,54
落ち,動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ,四,3,54
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四,3,54
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,四,3,54
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四,3,54
ボール,名詞,一般,*,*,*,*,ボール,ボール,ボール,四,3,54
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,四,3,54
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,四,3,54
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四,3,54
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,四,3,54
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,四,3,54
も,助詞,係助詞,*,*,*,*,も,モ,モ,四,3,54
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,四,3,54
」,記号,括弧閉,*,*,*,*,」,」,」,四,3,54
「,記号,括弧開,*,*,*,*,「,「,「,四,3,54
そりゃ,名詞,代名詞,縮約,*,*,*,そりゃ,ソリャ,ソリャ,四,3,54
、,記号,読点,*,*,*,*,、,、,、,四,3,54
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,四,3,54
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,四,3,54
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,四,3,54
、,記号,読点,*,*,*,*,、,、,、,四,3,54
だって,接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,四,3,54
おかしい,形容詞,自立,*,*,形容詞・イ段,基本形,おかしい,オカシイ,オカシイ,四,3,54
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,四,3,54
」,記号,括弧閉,*,*,*,*,」,」,」,四,3,54
「,記号,括弧開,*,*,*,*,「,「,「,四,3,54
でも,接続詞,*,*,*,*,*,でも,デモ,デモ,四,3,54
、,記号,読点,*,*,*,*,、,、,、,四,3,54
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,四,3,54
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,四,3,54
考える,動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル,四,3,54
外,名詞,一般,*,*,*,*,外,ソト,ソト,四,3,54
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四,3,54
方法,名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー,四,3,54
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四,3,54
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,四,3,54
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,四,3,54
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四,3,54
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,四,3,54
。,記号,句点,*,*,*,*,。,。,。,四,3,54
この,連体詞,*,*,*,*,*,この,コノ,コノ,四,3,55
火鉢,名詞,一般,*,*,*,*,火鉢,ヒバチ,ヒバチ,四,3,55
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四,3,55
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,四,3,55
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四,3,55
ボール,名詞,一般,*,*,*,*,ボール,ボール,ボール,四,3,55
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四,3,55
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,四,3,55
以上,名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,四,3,55
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四,3,55
。,記号,句点,*,*,*,*,。,。,。,四,3,55
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,四,3,56
、,記号,読点,*,*,*,*,、,、,、,四,3,56
丁度,副詞,一般,*,*,*,*,丁度,チョウド,チョード,四,3,56
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,四,3,56
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,四,3,56
鉄瓶,名詞,一般,*,*,*,*,鉄瓶,テツビン,テツビン,四,3,56
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,四,3,56
覆っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,覆う,オオッ,オオッ,四,3,56
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四,3,56
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,四,3,56
一致,名詞,サ変接続,*,*,*,*,一致,イッチ,イッチ,四,3,56
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四,3,56
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,四,3,56
以上,名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,四,3,56
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四,3,56
。,記号,句点,*,*,*,*,。,。,。,四,3,56
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ,四,3,57
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四,3,57
時々,副詞,一般,*,*,*,*,時々,トキドキ,トキドキ,四,3,57
この,連体詞,*,*,*,*,*,この,コノ,コノ,四,3,57
庭,名詞,一般,*,*,*,*,庭,ニワ,ニワ,四,3,57
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四,3,57
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,四,3,57
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,四,3,57
ボール,名詞,一般,*,*,*,*,ボール,ボール,ボール,四,3,57
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四,3,57
打ち込み,動詞,自立,*,*,五段・マ行,連用形,打ち込む,ウチコミ,ウチコミ,四,3,57
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四,3,57
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,四,3,57
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四,3,57
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ,四,3,57
。,記号,句点,*,*,*,*,。,。,。,四,3,57
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,四,3,58
、,記号,読点,*,*,*,*,、,、,、,四,3,58
ひょっ,副詞,一般,*,*,*,*,ひょっ,ヒョッ,ヒョッ,四,3,58
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,四,3,58
、,記号,読点,*,*,*,*,、,、,、,四,3,58
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,四,3,58
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,四,3,58
探し,動詞,自立,*,*,五段・サ行,連用形,探す,サガシ,サガシ,四,3,58
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四,3,58
も,助詞,係助詞,*,*,*,*,も,モ,モ,四,3,58
、,記号,読点,*,*,*,*,、,、,、,四,3,58
植込み,名詞,一般,*,*,*,*,植込み,ウエコミ,ウエコミ,四,3,58
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四,3,58
茂っ,動詞,自立,*,*,五段・ラ行,連用タ接続,茂る,シゲッ,シゲッ,四,3,58
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四,3,58
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,四,3,58
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ,四,3,58
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,四,3,58
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四,3,58
、,記号,読点,*,*,*,*,、,、,、,四,3,58
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,四,3,58
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四,3,58
まま,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ,四,3,58
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四,3,58
