表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
外,名詞,一般,*,*,*,*,外,ソト,ソト,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
、,記号,読点,*,*,*,*,、,、,、,四
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,四
の,助詞,連体化,*,*,*,*,の,ノ,ノ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
も,助詞,係助詞,*,*,*,*,も,モ,モ,四
残っ,動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ,四
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,四
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,四
ござい,助動詞,*,*,*,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ,四
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,四
。,記号,句点,*,*,*,*,。,。,。,四
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,四
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,四
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,四
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,四
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四
、,記号,読点,*,*,*,*,、,、,、,四
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,四
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,四
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,四
蔵,名詞,一般,*,*,*,*,蔵,クラ,クラ,四
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,四
