表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
すっかり,副詞,一般,*,*,*,*,すっかり,スッカリ,スッカリ,一人二役
安心,名詞,サ変接続,*,*,*,*,安心,アンシン,アンシン,一人二役
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一人二役
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一人二役
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
みる,動詞,自立,*,*,一段,基本形,みる,ミル,ミル,一人二役
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,一人二役
怪人,名詞,一般,*,*,*,*,怪人,カイジン,カイジン,一人二役
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
ろう,名詞,一般,*,*,*,*,ろう,ロウ,ロー,一人二役
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
すみから,名詞,固有名詞,一般,*,*,*,すみから,スミカラ,スミカラ,一人二役
野村,名詞,固有名詞,人名,姓,*,*,野村,ノムラ,ノムラ,一人二役
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,一人二役
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
ぬーっと,副詞,一般,*,*,*,*,ぬっと,ヌーット,ヌーット,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
まっ,接頭詞,名詞接続,*,*,*,*,まっ,マッ,マッ,一人二役
かなす,名詞,固有名詞,一般,*,*,*,かなす,カナス,カナス,一人二役
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
あらわし,動詞,自立,*,*,五段・サ行,連用形,あらわす,アラワシ,アラワシ,一人二役
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
「,記号,括弧開,*,*,*,*,「,「,「,一人二役
あっ,感動詞,*,*,*,*,*,あっ,アッ,アッ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
きみ,名詞,代名詞,一般,*,*,*,きみ,キミ,キミ,一人二役
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一人二役
だれ,名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ,一人二役
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,一人二役
」,記号,括弧閉,*,*,*,*,」,」,」,一人二役
野村,名詞,固有名詞,人名,姓,*,*,野村,ノムラ,ノムラ,一人二役
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,一人二役
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
びっくり,名詞,サ変接続,*,*,*,*,びっくり,ビックリ,ビックリ,一人二役
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
どなりつけ,動詞,自立,*,*,一段,連用形,どなりつける,ドナリツケ,ドナリツケ,一人二役
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
