表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
おれ,名詞,代名詞,一般,*,*,*,おれ,オレ,オレ,四十面相の美術館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
いま,名詞,副詞可能,*,*,*,*,いま,イマ,イマ,四十面相の美術館
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,四十面相の美術館
たびたび,副詞,助詞類接続,*,*,*,*,たびたび,タビタビ,タビタビ,四十面相の美術館
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,四十面相の美術館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四十面相の美術館
つかまっ,動詞,自立,*,*,五段・ラ行,連用タ接続,つかまる,ツカマッ,ツカマッ,四十面相の美術館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四十面相の美術館
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,四十面相の美術館
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,四十面相の美術館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四十面相の美術館
知らせ,動詞,自立,*,*,一段,未然形,知らせる,シラセ,シラセ,四十面相の美術館
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,四十面相の美術館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
おれ,名詞,代名詞,一般,*,*,*,おれ,オレ,オレ,四十面相の美術館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,四十面相の美術館
、,記号,読点,*,*,*,*,、,、,、,四十面相の美術館
ほうぼう,名詞,副詞可能,*,*,*,*,ほうぼう,ホウボウ,ホーボー,四十面相の美術館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,四十面相の美術館
すみ,動詞,自立,*,*,五段・マ行,連用形,すむ,スミ,スミ,四十面相の美術館
家,名詞,接尾,一般,*,*,*,家,カ,カ,四十面相の美術館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四十面相の美術館
もっ,動詞,自立,*,*,五段・タ行,連用タ接続,もつ,モッ,モッ,四十面相の美術館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四十面相の美術館
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,四十面相の美術館
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,四十面相の美術館
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,四十面相の美術館
。,記号,句点,*,*,*,*,。,。,。,四十面相の美術館
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,四十面相の美術館
どれ,名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,四十面相の美術館
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,四十面相の美術館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,四十面相の美術館
知らせ,動詞,自立,*,*,一段,連用形,知らせる,シラセ,シラセ,四十面相の美術館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,四十面相の美術館
やれ,動詞,自立,*,*,五段・ラ行,仮定形,やる,ヤレ,ヤレ,四十面相の美術館
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,四十面相の美術館
よかっ,形容詞,非自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,四十面相の美術館
