表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
五,名詞,数,*,*,*,*,五,ゴ,ゴ,作者の言葉
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,作者の言葉
十二月七日,名詞,固有名詞,一般,*,*,*,12月7日,ジュウニガツナノカ,ジューニガツナノカ,作者の言葉
「,記号,括弧開,*,*,*,*,「,「,「,作者の言葉
東京朝日新聞,名詞,固有名詞,一般,*,*,*,東京朝日新聞,トウキョウアサヒシンブン,トーキョーアサヒシンブン,作者の言葉
」,記号,括弧閉,*,*,*,*,」,」,」,作者の言葉
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,死人の腕
紋三,名詞,固有名詞,人名,名,*,*,紋三,モンゾウ,モンゾー,死人の腕
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,死人の腕
フラ,名詞,一般,*,*,*,*,フラ,フラ,フラ,死人の腕
