表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,106
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,< 章なし >,0,106
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,106
吹聴,名詞,サ変接続,*,*,*,*,吹聴,フイチョウ,フイチョー,< 章なし >,0,106
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >,0,106
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,< 章なし >,0,106
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,106
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,106
行か,動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,< 章なし >,0,106
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,106
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,106
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,106
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,106
さて,接続詞,*,*,*,*,*,さて,サテ,サテ,< 章なし >,0,107
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,107
方法,名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー,< 章なし >,0,107
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,107
どうやら,副詞,一般,*,*,*,*,どうやら,ドウヤラ,ドーヤラ,< 章なし >,0,107
成功,名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー,< 章なし >,0,107
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,107
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,107
らしく,助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい,ラシク,ラシク,< 章なし >,0,107
思わ,動詞,自立,*,*,五段・ワ行促音便,未然形,思う,オモワ,オモワ,< 章なし >,0,107
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,< 章なし >,0,107
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,< 章なし >,0,107
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,107
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,108
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,< 章なし >,0,108
Ｓ子,名詞,固有名詞,人名,名,*,*,S子,エスコ,エスコ,< 章なし >,0,108
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,108
そぶり,名詞,一般,*,*,*,*,素振り,ソブリ,ソブリ,< 章なし >,0,108
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,108
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,108
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,108
先ず,副詞,一般,*,*,*,*,先ず,マズ,マズ,< 章なし >,0,108
十中八九,名詞,副詞可能,*,*,*,*,十中八九,ジュッチュウハック,ジュッチューハック,< 章なし >,0,108
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,108
失望,名詞,サ変接続,*,*,*,*,失望,シツボウ,シツボー,< 章なし >,0,108
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,108
見,動詞,自立,*,*,一段,未然形,見る,ミ,ミ,< 章なし >,0,108
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ,< 章なし >,0,108
で,助詞,接続助詞,*,*,*,*,で,デ,デ,< 章なし >,0,108
済む,動詞,自立,*,*,五段・マ行,基本形,済む,スム,スム,< 章なし >,0,108
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,< 章なし >,0,108
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,108
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,108
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >,0,108
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,< 章なし >,0,108
いよいよ,副詞,一般,*,*,*,*,いよいよ,イヨイヨ,イヨイヨ,< 章なし >,0,108
大丈夫,名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ,< 章なし >,0,108
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,108
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,108
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,< 章なし >,0,108
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,108
Ｔ,記号,アルファベット,*,*,*,*,Ｔ,ティー,ティー,< 章なし >,0,108
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,108
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,108
今度,名詞,副詞可能,*,*,*,*,今度,コンド,コンド,< 章なし >,0,108
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,108
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ,< 章なし >,0,108
金額,名詞,一般,*,*,*,*,金額,キンガク,キンガク,< 章なし >,0,108
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,108
かえ,動詞,自立,*,*,一段,連用形,かえる,カエ,カエ,< 章なし >,0,108
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,108
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,108
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,108
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,109
六,名詞,数,*,*,*,*,六,ロク,ロク,< 章なし >,0,109
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >,0,109
二,名詞,数,*,*,*,*,二,ニ,ニ,< 章なし >,0,109
万,名詞,数,*,*,*,*,万,マン,マン,< 章なし >,0,109
五,名詞,数,*,*,*,*,五,ゴ,ゴ,< 章なし >,0,109
千,名詞,数,*,*,*,*,千,セン,セン,< 章なし >,0,109
五,名詞,数,*,*,*,*,五,ゴ,ゴ,< 章なし >,0,109
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,< 章なし >,0,109
八,名詞,数,*,*,*,*,八,ハチ,ハチ,< 章なし >,0,109
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >,0,109
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >,0,109
円,名詞,接尾,助数詞,*,*,*,円,エン,エン,< 章なし >,0,109
七,名詞,数,*,*,*,*,七,ナナ,ナナ,< 章なし >,0,109
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >,0,109
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >,0,109
銭,名詞,接尾,助数詞,*,*,*,銭,セン,セン,< 章なし >,0,109
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,109
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,109
おき,動詞,自立,*,*,五段・カ行イ音便,連用形,おく,オキ,オキ,< 章なし >,0,109
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,109
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,109
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,109
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,110
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,110
また,接続詞,*,*,*,*,*,また,マタ,マタ,< 章なし >,0,110
数,名詞,数,*,*,*,*,数,スウ,スー,< 章なし >,0,110
日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,< 章なし >,0,110
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,110
間,名詞,一般,*,*,*,*,間,マ,マ,< 章なし >,0,110
続け,動詞,自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ,< 章なし >,0,110
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,110
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,110
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,110
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,110
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >,0,111
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,111
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,< 章なし >,0,111
と,助詞,格助詞,一般,*,*,*,と,ト,ト,< 章なし >,0,111
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ,< 章なし >,0,111
方法,名詞,一般,*,*,*,*,方法,ホウホウ,ホーホー,< 章なし >,0,111
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,111
あてはめ,動詞,自立,*,*,一段,連用形,あてはめる,アテハメ,アテハメ,< 章なし >,0,111
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,111
見れ,動詞,自立,*,*,一段,仮定形,見る,ミレ,ミレ,< 章なし >,0,111
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,< 章なし >,0,111
すぐ,副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,< 章なし >,0,111
わかる,動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,< 章なし >,0,111
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,111
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,111
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,111
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,111
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,111
ヒノ,名詞,固有名詞,組織,*,*,*,ヒノ,ヒノ,ヒノ,< 章なし >,0,111
ヤマ,名詞,一般,*,*,*,*,ヤマ,ヤマ,ヤマ,< 章なし >,0,111
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,111
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,111
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,< 章なし >,0,111
