表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,透明妖怪
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,透明妖怪
の,助詞,連体化,*,*,*,*,の,ノ,ノ,透明妖怪
晩,名詞,一般,*,*,*,*,晩,バン,バン,透明妖怪
ごはん,名詞,一般,*,*,*,*,ごはん,ゴハン,ゴハン,透明妖怪
の,助詞,連体化,*,*,*,*,の,ノ,ノ,透明妖怪
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,透明妖怪
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
魔法,名詞,一般,*,*,*,*,魔法,マホウ,マホー,透明妖怪
博士,名詞,一般,*,*,*,*,博士,ハカセ,ハカセ,透明妖怪
の,助詞,連体化,*,*,*,*,の,ノ,ノ,透明妖怪
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,透明妖怪
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,透明妖怪
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,透明妖怪
話し,動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ,透明妖怪
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,透明妖怪
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,透明妖怪
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,透明妖怪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
。,記号,句点,*,*,*,*,。,。,。,透明妖怪
「,記号,括弧開,*,*,*,*,「,「,「,透明妖怪
フーン,名詞,固有名詞,一般,*,*,*,フーン,フーン,フーン,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,透明妖怪
へん,名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,透明妖怪
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,透明妖怪
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,透明妖怪
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,透明妖怪
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,透明妖怪
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,透明妖怪
こし,動詞,自立,*,*,五段・サ行,連用形,こす,コシ,コシ,透明妖怪
て,助詞,接続助詞,*,*,*,*,て,テ,テ,透明妖怪
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,透明妖怪
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,透明妖怪
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,透明妖怪
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,透明妖怪
ねえ,助詞,終助詞,*,*,*,*,ねえ,ネエ,ネー,透明妖怪
。,記号,句点,*,*,*,*,。,。,。,透明妖怪
むろん,副詞,一般,*,*,*,*,むろん,ムロン,ムロン,透明妖怪
奇術師,名詞,固有名詞,一般,*,*,*,奇術師,キジュツシ,キジュツシ,透明妖怪
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,透明妖怪
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,透明妖怪
。,記号,句点,*,*,*,*,。,。,。,透明妖怪
バット,名詞,一般,*,*,*,*,バット,バット,バット,透明妖怪
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,透明妖怪
ミット,名詞,一般,*,*,*,*,ミット,ミット,ミット,透明妖怪
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,透明妖怪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,透明妖怪
ダブダブ,名詞,形容動詞語幹,*,*,*,*,ダブダブ,ダブダブ,ダブダブ,透明妖怪
の,助詞,連体化,*,*,*,*,の,ノ,ノ,透明妖怪
マント,名詞,一般,*,*,*,*,マント,マント,マント,透明妖怪
の,助詞,連体化,*,*,*,*,の,ノ,ノ,透明妖怪
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,透明妖怪
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,透明妖怪
かくし,動詞,自立,*,*,五段・サ行,連用形,かくす,カクシ,カクシ,透明妖怪
て,助詞,接続助詞,*,*,*,*,て,テ,テ,透明妖怪
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,透明妖怪
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,透明妖怪
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,透明妖怪
さ,助詞,終助詞,*,*,*,*,さ,サ,サ,透明妖怪
。,記号,句点,*,*,*,*,。,。,。,透明妖怪
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,透明妖怪
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,透明妖怪
奇術,名詞,一般,*,*,*,*,奇術,キジュツ,キジュツ,透明妖怪
の,助詞,連体化,*,*,*,*,の,ノ,ノ,透明妖怪
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,透明妖怪
で,助詞,格助詞,一般,*,*,*,で,デ,デ,透明妖怪
空中,名詞,一般,*,*,*,*,空中,クウチュウ,クーチュー,透明妖怪
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,透明妖怪
取りだす,動詞,自立,*,*,五段・サ行,基本形,取りだす,トリダス,トリダス,透明妖怪
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,透明妖怪
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
見え,動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ,透明妖怪
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,透明妖怪
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,透明妖怪
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,透明妖怪
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,透明妖怪
。,記号,句点,*,*,*,*,。,。,。,透明妖怪
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,透明妖怪
も,助詞,係助詞,*,*,*,*,も,モ,モ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ,透明妖怪
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,透明妖怪
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,透明妖怪
と,助詞,格助詞,引用,*,*,*,と,ト,ト,透明妖怪
近づき,動詞,自立,*,*,五段・カ行イ音便,連用形,近づく,チカヅキ,チカズキ,透明妖怪
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,透明妖怪
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,透明妖怪
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,透明妖怪
もん,名詞,非自立,一般,*,*,*,もん,モン,モン,透明妖怪
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,透明妖怪
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,透明妖怪
。,記号,句点,*,*,*,*,。,。,。,透明妖怪
ひょっとしたら,副詞,一般,*,*,*,*,ひょっとしたら,ヒョットシタラ,ヒョットシタラ,透明妖怪
、,記号,読点,*,*,*,*,、,、,、,透明妖怪
有名,名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ,透明妖怪
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,透明妖怪
奇術,名詞,一般,*,*,*,*,奇術,キジュツ,キジュツ,透明妖怪
師,名詞,接尾,一般,*,*,*,師,シ,シ,透明妖怪
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,透明妖怪
しれ,動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,透明妖怪
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,透明妖怪
