表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
天地,名詞,一般,*,*,*,*,天地,テンチ,テンチ,五、約一ヶ月後
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,五、約一ヶ月後
ひっくり返る,動詞,自立,*,*,五段・ラ行,基本形,ひっくり返る,ヒックリカエル,ヒックリカエル,五、約一ヶ月後
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,五、約一ヶ月後
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,五、約一ヶ月後
ひどい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひどい,ヒドイ,ヒドイ,五、約一ヶ月後
騒ぎ,名詞,一般,*,*,*,*,騒ぎ,サワギ,サワギ,五、約一ヶ月後
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,五、約一ヶ月後
やっ,動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,五、約一ヶ月後
て,助詞,接続助詞,*,*,*,*,て,テ,テ,五、約一ヶ月後
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,五、約一ヶ月後
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,五、約一ヶ月後
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,五、約一ヶ月後
。,記号,句点,*,*,*,*,。,。,。,五、約一ヶ月後
あんまり,副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,五、約一ヶ月後
やかましい,形容詞,自立,*,*,形容詞・イ段,基本形,やかましい,ヤカマシイ,ヤカマシイ,五、約一ヶ月後
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,五、約一ヶ月後
、,記号,読点,*,*,*,*,、,、,、,五、約一ヶ月後
窓,名詞,一般,*,*,*,*,窓,マド,マド,五、約一ヶ月後
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,五、約一ヶ月後
開け,動詞,自立,*,*,一段,連用形,開ける,アケ,アケ,五、約一ヶ月後
て,助詞,接続助詞,*,*,*,*,て,テ,テ,五、約一ヶ月後
おっ,感動詞,*,*,*,*,*,おっ,オッ,オッ,五、約一ヶ月後
払,名詞,一般,*,*,*,*,*,*,*,五、約一ヶ月後
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,五、約一ヶ月後
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,五、約一ヶ月後
つもり,名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ,五、約一ヶ月後
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,五、約一ヶ月後
、,記号,読点,*,*,*,*,、,、,、,五、約一ヶ月後
おき,動詞,自立,*,*,一段,連用形,おきる,オキ,オキ,五、約一ヶ月後
上っ,動詞,自立,*,*,五段・ラ行,連用タ接続,上る,ノボッ,ノボッ,五、約一ヶ月後
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,五、約一ヶ月後
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,五、約一ヶ月後
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,五、約一ヶ月後
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,五、約一ヶ月後
、,記号,読点,*,*,*,*,、,、,、,五、約一ヶ月後
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,五、約一ヶ月後
とたん,名詞,非自立,副詞可能,*,*,*,とたん,トタン,トタン,五、約一ヶ月後
ハッと,副詞,一般,*,*,*,*,ハッと,ハット,ハット,五、約一ヶ月後
気づい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,気づく,キヅイ,キズイ,五、約一ヶ月後
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,五、約一ヶ月後
。,記号,句点,*,*,*,*,。,。,。,五、約一ヶ月後
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン,五、約一ヶ月後
の,助詞,連体化,*,*,*,*,の,ノ,ノ,五、約一ヶ月後
心理,名詞,一般,*,*,*,*,心理,シンリ,シンリ,五、約一ヶ月後
作用,名詞,サ変接続,*,*,*,*,作用,サヨウ,サヨー,五、約一ヶ月後
なんて,助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,五、約一ヶ月後
、,記号,読点,*,*,*,*,、,、,、,五、約一ヶ月後
実に,副詞,一般,*,*,*,*,実に,ジツニ,ジツニ,五、約一ヶ月後
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,五、約一ヶ月後
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,五、約一ヶ月後
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,五、約一ヶ月後
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,五、約一ヶ月後
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,五、約一ヶ月後
。,記号,句点,*,*,*,*,。,。,。,五、約一ヶ月後
非常,名詞,形容動詞語幹,*,*,*,*,非常,ヒジョウ,ヒジョー,五、約一ヶ月後
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,五、約一ヶ月後
重大,名詞,形容動詞語幹,*,*,*,*,重大,ジュウダイ,ジューダイ,五、約一ヶ月後
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,五、約一ヶ月後
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,五、約一ヶ月後
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,五、約一ヶ月後
、,記号,読点,*,*,*,*,、,、,、,五、約一ヶ月後
すっかり,副詞,一般,*,*,*,*,すっかり,スッカリ,スッカリ,五、約一ヶ月後
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,五、約一ヶ月後
て,助詞,接続助詞,*,*,*,*,て,テ,テ,五、約一ヶ月後
平気,名詞,一般,*,*,*,*,平気,ヘイキ,ヘイキ,五、約一ヶ月後
