表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
博士,名詞,一般,*,*,*,*,博士,ハカセ,ハカセ,ふしぎふしぎ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ふしぎふしぎ
発明,名詞,サ変接続,*,*,*,*,発明,ハツメイ,ハツメイ,ふしぎふしぎ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
どういう,連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,ふしぎふしぎ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,ふしぎふしぎ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,ふしぎふしぎ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,ふしぎふしぎ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,ふしぎふしぎ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
うすうす,副詞,助詞類接続,*,*,*,*,うすうす,ウスウス,ウスウス,ふしぎふしぎ
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,ふしぎふしぎ
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ふしぎふしぎ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,ふしぎふしぎ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,ふしぎふしぎ
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,ふしぎふしぎ
。,記号,句点,*,*,*,*,。,。,。,ふしぎふしぎ
それで,接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,ふしぎふしぎ
秘密,名詞,一般,*,*,*,*,秘密,ヒミツ,ヒミツ,ふしぎふしぎ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ふしぎふしぎ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,ふしぎふしぎ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ふしぎふしぎ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,ふしぎふしぎ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ふしぎふしぎ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,ふしぎふしぎ
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ふしぎふしぎ
世界,名詞,一般,*,*,*,*,世界,セカイ,セカイ,ふしぎふしぎ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ふしぎふしぎ
びっくり,名詞,サ変接続,*,*,*,*,びっくり,ビックリ,ビックリ,ふしぎふしぎ
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,ふしぎふしぎ
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,ふしぎふしぎ
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,ふしぎふしぎ
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,ふしぎふしぎ
野心,名詞,一般,*,*,*,*,野心,ヤシン,ヤシン,ふしぎふしぎ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ふしぎふしぎ
いだい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,いだく,イダイ,イダイ,ふしぎふしぎ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,ふしぎふしぎ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,ふしぎふしぎ
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,ふしぎふしぎ
。,記号,句点,*,*,*,*,。,。,。,ふしぎふしぎ
この,連体詞,*,*,*,*,*,この,コノ,コノ,ふしぎふしぎ
悪者,名詞,一般,*,*,*,*,悪者,ワルモノ,ワルモノ,ふしぎふしぎ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,ふしぎふしぎ
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,ふしぎふしぎ
発明,名詞,サ変接続,*,*,*,*,発明,ハツメイ,ハツメイ,ふしぎふしぎ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,ふしぎふしぎ
秘密,名詞,一般,*,*,*,*,秘密,ヒミツ,ヒミツ,ふしぎふしぎ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,ふしぎふしぎ
にぎら,動詞,自立,*,*,五段・ラ行,未然形,にぎる,ニギラ,ニギラ,ふしぎふしぎ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,ふしぎふしぎ
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
たいへん,副詞,助詞類接続,*,*,*,*,たいへん,タイヘン,タイヘン,ふしぎふしぎ
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,ふしぎふしぎ
。,記号,句点,*,*,*,*,。,。,。,ふしぎふしぎ
どんな,連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,ふしぎふしぎ
恐ろしい,形容詞,自立,*,*,形容詞・イ段,基本形,恐ろしい,オソロシイ,オソロシイ,ふしぎふしぎ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,ふしぎふしぎ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,ふしぎふしぎ
起こる,動詞,自立,*,*,五段・ラ行,基本形,起こる,オコル,オコル,ふしぎふしぎ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,ふしぎふしぎ
わかり,動詞,自立,*,*,五段・ラ行,連用形,わかる,ワカリ,ワカリ,ふしぎふしぎ
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,ふしぎふしぎ
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,ふしぎふしぎ
。,記号,句点,*,*,*,*,。,。,。,ふしぎふしぎ
なんと,副詞,一般,*,*,*,*,なんと,ナント,ナント,ふしぎふしぎ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,ふしぎふしぎ
て,助詞,接続助詞,*,*,*,*,て,テ,テ,ふしぎふしぎ
も,助詞,係助詞,*,*,*,*,も,モ,モ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,ふしぎふしぎ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
防が,動詞,自立,*,*,五段・ガ行,未然形,防ぐ,フセガ,フセガ,ふしぎふしぎ
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,ふしぎふしぎ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,ふしぎふしぎ
なり,動詞,非自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,ふしぎふしぎ
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,ふしぎふしぎ
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,ふしぎふしぎ
。,記号,句点,*,*,*,*,。,。,。,ふしぎふしぎ
ところが,接続詞,*,*,*,*,*,ところが,トコロガ,トコロガ,ふしぎふしぎ
、,記号,読点,*,*,*,*,、,、,、,ふしぎふしぎ
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,ふしぎふしぎ
悪者,名詞,一般,*,*,*,*,悪者,ワルモノ,ワルモノ,ふしぎふしぎ
