表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,156
いい,動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ,< 章なし >,0,156
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,156
組合せ,名詞,一般,*,*,*,*,組合せ,クミアワセ,クミアワセ,< 章なし >,0,156
文字,名詞,一般,*,*,*,*,文字,モジ,モジ,< 章なし >,0,156
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,156
いい,動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ,< 章なし >,0,156
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,156
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >,0,156
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,156
すっかり,副詞,一般,*,*,*,*,すっかり,スッカリ,スッカリ,< 章なし >,0,156
姉,名詞,一般,*,*,*,*,姉,アネ,アネ,< 章なし >,0,156
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >,0,156
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,< 章なし >,0,156
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,156
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >,0,156
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,156
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >,0,156
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,156
分り,動詞,自立,*,*,五段・ラ行,連用形,分る,ワカリ,ワカリ,< 章なし >,0,156
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,156
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,156
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,< 章なし >,0,156
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,156
重ね重ね,副詞,一般,*,*,*,*,重ね重ね,カサネガサネ,カサネガサネ,< 章なし >,0,156
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,156
証拠,名詞,一般,*,*,*,*,証拠,ショウコ,ショーコ,< 章なし >,0,156
品,名詞,接尾,一般,*,*,*,品,ヒン,ヒン,< 章なし >,0,156
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,156
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,156
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,156
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,156
嬉しい,形容詞,自立,*,*,形容詞・イ段,基本形,嬉しい,ウレシイ,ウレシイ,< 章なし >,0,156
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,156
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,156
悲しい,形容詞,自立,*,*,形容詞・イ段,基本形,悲しい,カナシイ,カナシイ,< 章なし >,0,156
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,156
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,156
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,156
妙,名詞,形容動詞語幹,*,*,*,*,妙,ミョウ,ミョー,< 章なし >,0,156
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >,0,156
目,名詞,一般,*,*,*,*,目,メ,メ,< 章なし >,0,156
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,156
内,名詞,非自立,副詞可能,*,*,*,内,ウチ,ウチ,< 章なし >,0,156
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,156
熱く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,熱い,アツク,アツク,< 章なし >,0,156
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >,0,156
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,156
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >,0,156
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,156
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,156
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,156
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,< 章なし >,0,157
いえ,動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ,< 章なし >,0,157
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,< 章なし >,0,157
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,157
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >,0,157
数,名詞,数,*,*,*,*,数,スウ,スー,< 章なし >,0,157
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,< 章なし >,0,157
以前,名詞,副詞可能,*,*,*,*,以前,イゼン,イゼン,< 章なし >,0,157
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,157
北川,名詞,固有名詞,人名,姓,*,*,北川,キタガワ,キタガワ,< 章なし >,0,157
すみ子,名詞,固有名詞,人名,名,*,*,すみ子,スミコ,スミコ,< 章なし >,0,157
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,157
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,157
色々,名詞,形容動詞語幹,*,*,*,*,色々,イロイロ,イロイロ,< 章なし >,0,157
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,157
仕草,名詞,一般,*,*,*,*,仕草,シグサ,シグサ,< 章なし >,0,157
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,157
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,157
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,< 章なし >,0,157
と,助詞,格助詞,一般,*,*,*,と,ト,ト,< 章なし >,0,157
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >,0,157
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,157
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,157
一々,副詞,一般,*,*,*,*,一々,イチイチ,イチイチ,< 章なし >,0,157
意味,名詞,サ変接続,*,*,*,*,意味,イミ,イミ,< 章なし >,0,157
あり,動詞,自立,*,*,ラ変,基本形,あり,アリ,アリ,< 章なし >,0,157
気,名詞,非自立,一般,*,*,*,気,キ,キ,< 章なし >,0,157
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,157
思い出さ,動詞,自立,*,*,五段・サ行,未然形,思い出す,オモイダサ,オモイダサ,< 章なし >,0,157
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,< 章なし >,0,157
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,< 章なし >,0,157
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,157
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,< 章なし >,0,158
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,< 章なし >,0,158
あんな,連体詞,*,*,*,*,*,あんな,アンナ,アンナ,< 章なし >,0,158
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >,0,158
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,158
云っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,云う,ユッ,ユッ,< 章なし >,0,158
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,158
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,158
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,158
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,158
それでは,接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,< 章なし >,0,158
