表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
が,接続詞,*,*,*,*,*,が,ガ,ガ,二
、,記号,読点,*,*,*,*,、,、,、,二
まずさ,名詞,一般,*,*,*,*,マズさ,マズサ,マズサ,二
あら,動詞,自立,*,*,五段・ラ行,未然形,ある,アラ,アラ,二
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,二
体,名詞,一般,*,*,*,*,体,カラダ,カラダ,二
で,助詞,格助詞,一般,*,*,*,で,デ,デ,二
夕食,名詞,一般,*,*,*,*,夕食,ユウショク,ユーショク,二
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,二
済ませる,動詞,自立,*,*,一段,基本形,済ませる,スマセル,スマセル,二
と,助詞,接続助詞,*,*,*,*,と,ト,ト,二
、,記号,読点,*,*,*,*,、,、,、,二
いつものように,名詞,固有名詞,一般,*,*,*,いつものように,イツモノヨウニ,イツモノヨーニ,二
常談,名詞,一般,*,*,*,*,常談,ジョウダン,ジョーダン,二
口,名詞,接尾,一般,*,*,*,口,グチ,グチ,二
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,二
利き,動詞,自立,*,*,五段・カ行イ音便,連用形,利く,キキ,キキ,二
合う,動詞,非自立,*,*,五段・ワ行促音便,基本形,合う,アウ,アウ,二
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,二
も,助詞,係助詞,*,*,*,*,も,モ,モ,二
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,二
、,記号,読点,*,*,*,*,、,、,、,二
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,二
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,二
と,助詞,格助詞,引用,*,*,*,と,ト,ト,二
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,二
て,助詞,接続助詞,*,*,*,*,て,テ,テ,二
、,記号,読点,*,*,*,*,、,、,、,二
写真,名詞,一般,*,*,*,*,写真,シャシン,シャシン,二
の,助詞,連体化,*,*,*,*,の,ノ,ノ,二
正体,名詞,一般,*,*,*,*,正体,ショウタイ,ショータイ,二
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,二
極め,動詞,自立,*,*,一段,未然形,極める,キワメ,キワメ,二
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,二
間,名詞,一般,*,*,*,*,間,マ,マ,二
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,二
