表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
ところが,接続詞,*,*,*,*,*,ところが,トコロガ,トコロガ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
驚い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,驚く,オドロイ,オドロイ,三、金ピカの赤井さん
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,三、金ピカの赤井さん
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,三、金ピカの赤井さん
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,三、金ピカの赤井さん
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,三、金ピカの赤井さん
、,記号,読点,*,*,*,*,、,、,、,三、金ピカの赤井さん
又しても,副詞,一般,*,*,*,*,又しても,マタシテモ,マタシテモ,三、金ピカの赤井さん
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
先客,名詞,一般,*,*,*,*,先客,センキャク,センキャク,三、金ピカの赤井さん
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,三、金ピカの赤井さん
いる,動詞,自立,*,*,一段,基本形,いる,イル,イル,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
やっぱり,副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,三、金ピカの赤井さん
赤井,名詞,固有名詞,人名,姓,*,*,赤井,アカイ,アカイ,三、金ピカの赤井さん
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,三、金ピカの赤井さん
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,三、金ピカの赤井さん
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,三、金ピカの赤井さん
。,記号,句点,*,*,*,*,。,。,。,三、金ピカの赤井さん
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,三、金ピカの赤井さん
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,三、金ピカの赤井さん
の,助詞,連体化,*,*,*,*,の,ノ,ノ,三、金ピカの赤井さん
先,名詞,一般,*,*,*,*,先,サキ,サキ,三、金ピカの赤井さん
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,三、金ピカの赤井さん
先,名詞,一般,*,*,*,*,先,サキ,サキ,三、金ピカの赤井さん
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,三、金ピカの赤井さん
