表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,きもだめしの会,0,7
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,7
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,7
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,きもだめしの会,0,7
いじょう,名詞,形容動詞語幹,*,*,*,*,異常,イジョウ,イジョー,きもだめしの会,0,7
夜ふかし,名詞,一般,*,*,*,*,夜ふかし,ヨフカシ,ヨフカシ,きもだめしの会,0,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,7
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,きもだめしの会,0,7
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,きもだめしの会,0,7
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,きもだめしの会,0,7
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,きもだめしの会,0,7
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,7
こころがけ,動詞,自立,*,*,一段,連用形,こころがける,ココロガケ,ココロガケ,きもだめしの会,0,7
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,7
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,きもだめしの会,0,7
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,きもだめしの会,0,7
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,きもだめしの会,0,7
。,記号,句点,*,*,*,*,。,。,。,きもだめしの会,0,7
でも,接続詞,*,*,*,*,*,でも,デモ,デモ,きもだめしの会,0,8
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,8
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,きもだめしの会,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,きもだめしの会,0,8
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,8
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル,きもだめしの会,0,8
おこる,動詞,自立,*,*,五段・ラ行,基本形,おこる,オコル,オコル,きもだめしの会,0,8
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,きもだめしの会,0,8
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,きもだめしの会,0,8
おおい,形容詞,自立,*,*,形容詞・アウオ段,基本形,おおい,オオイ,オーイ,きもだめしの会,0,8
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,きもだめしの会,0,8
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,8
夜ふけ,名詞,一般,*,*,*,*,夜ふけ,ヨフケ,ヨフケ,きもだめしの会,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,8
はたらか,動詞,自立,*,*,五段・カ行イ音便,未然形,はたらく,ハタラカ,ハタラカ,きもだめしの会,0,8
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,きもだめしの会,0,8
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,きもだめしの会,0,8
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,きもだめしの会,0,8
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,きもだめしの会,0,8
とき,名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,きもだめしの会,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,きもだめしの会,0,8
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,8
少年探偵団,名詞,固有名詞,一般,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,きもだめしの会,0,8
で,助詞,格助詞,一般,*,*,*,で,デ,デ,きもだめしの会,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,きもだめしの会,0,8
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,きもだめしの会,0,8
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,8
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,8
チンピラ,名詞,一般,*,*,*,*,チンピラ,チンピラ,チンピラ,きもだめしの会,0,8
別働隊,名詞,一般,*,*,*,*,別働隊,ベツドウタイ,ベツドータイ,きもだめしの会,0,8
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,8
つかう,動詞,自立,*,*,五段・ワ行促音便,基本形,つかう,ツカウ,ツカウ,きもだめしの会,0,8
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,きもだめしの会,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,8
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,きもだめしの会,0,8
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,8
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,きもだめしの会,0,8
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,きもだめしの会,0,8
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,きもだめしの会,0,8
。,記号,句点,*,*,*,*,。,。,。,きもだめしの会,0,8
チンピラ,名詞,一般,*,*,*,*,チンピラ,チンピラ,チンピラ,きもだめしの会,0,9
隊,名詞,接尾,一般,*,*,*,隊,タイ,タイ,きもだめしの会,0,9
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,きもだめしの会,0,9
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,9
『,記号,括弧開,*,*,*,*,『,『,『,きもだめしの会,0,9
アリ,名詞,一般,*,*,*,*,アリ,アリ,アリ,きもだめしの会,0,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,9
町,名詞,一般,*,*,*,*,町,マチ,マチ,きもだめしの会,0,9
』,記号,括弧閉,*,*,*,*,』,』,』,きもだめしの会,0,9
で,助詞,格助詞,一般,*,*,*,で,デ,デ,きもだめしの会,0,9
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,9
くず,名詞,一般,*,*,*,*,くず,クズ,クズ,きもだめしの会,0,9
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,きもだめしの会,0,9
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,9
やっ,動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,きもだめしの会,0,9
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,9
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,きもだめしの会,0,9
少年たち,名詞,固有名詞,一般,*,*,*,少年たち,ショウネンタチ,ショーネンタチ,きもだめしの会,0,9
で,助詞,格助詞,一般,*,*,*,で,デ,デ,きもだめしの会,0,9
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,9
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル,きもだめしの会,0,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,きもだめしの会,0,9
冒険,名詞,サ変接続,*,*,*,*,冒険,ボウケン,ボーケン,きもだめしの会,0,9
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,きもだめしの会,0,9
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,9
へいき,名詞,形容動詞語幹,*,*,*,*,平気,ヘイキ,ヘイキ,きもだめしの会,0,9
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,きもだめしの会,0,9
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,きもだめしの会,0,9
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,9
つごう,名詞,一般,*,*,*,*,都合,ツゴウ,ツゴー,きもだめしの会,0,9
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,きもだめしの会,0,9
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,きもだめしの会,0,9
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,きもだめしの会,0,9
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,きもだめしの会,0,9
。,記号,句点,*,*,*,*,。,。,。,きもだめしの会,0,9
少年探偵団,名詞,固有名詞,一般,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,きもだめしの会,0,10
員,名詞,接尾,一般,*,*,*,員,イン,イン,きもだめしの会,0,10
たち,名詞,接尾,一般,*,*,*,たち,タチ,タチ,きもだめしの会,0,10
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,きもだめしの会,0,10
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,10
なに,名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,きもだめしの会,0,10
も,助詞,係助詞,*,*,*,*,も,モ,モ,きもだめしの会,0,10
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,きもだめしの会,0,10
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,きもだめしの会,0,10
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,きもだめしの会,0,10
とき,名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,きもだめしの会,0,10
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,10
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,きもだめしの会,0,10
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,10
明智探偵事務所,名詞,固有名詞,一般,*,*,*,明智探偵事務所,アケチタンテイジムショ,アケチタンテイジムショ,きもだめしの会,0,10
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,きもだめしの会,0,10
集まっ,動詞,自立,*,*,五段・ラ行,連用タ接続,集まる,アツマッ,アツマッ,きもだめしの会,0,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,10
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,きもだめしの会,0,10
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,きもだめしの会,0,10
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,きもだめしの会,0,10
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,10
いろいろ,名詞,形容動詞語幹,*,*,*,*,いろいろ,イロイロ,イロイロ,きもだめしの会,0,10
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,きもだめしの会,0,10
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,きもだめしの会,0,10
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,きもだめしの会,0,10
、,記号,読点,*,*,*,*,、,、,、,きもだめしの会,0,10
おそわっ,動詞,自立,*,*,五段・ラ行,連用タ接続,おそわる,オソワッ,オソワッ,きもだめしの会,0,10
て,助詞,接続助詞,*,*,*,*,て,テ,テ,きもだめしの会,0,10
