表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
君,名詞,接尾,人名,*,*,*,君,クン,クン,骸骨紳士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,骸骨紳士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,骸骨紳士
で,助詞,格助詞,一般,*,*,*,で,デ,デ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
いちばん,名詞,副詞可能,*,*,*,*,いちばん,イチバン,イチバン,骸骨紳士
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,骸骨紳士
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,骸骨紳士
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,骸骨紳士
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,骸骨紳士
も,助詞,係助詞,*,*,*,*,も,モ,モ,骸骨紳士
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,骸骨紳士
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,骸骨紳士
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,骸骨紳士
。,記号,句点,*,*,*,*,。,。,。,骸骨紳士
そのうえ,接続詞,*,*,*,*,*,そのうえ,ソノウエ,ソノウエ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,骸骨紳士
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
もと,接頭詞,名詞接続,*,*,*,*,もと,モト,モト,骸骨紳士
拳闘,名詞,一般,*,*,*,*,拳闘,ケントウ,ケントー,骸骨紳士
選手,名詞,一般,*,*,*,*,選手,センシュ,センシュ,骸骨紳士
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,骸骨紳士
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,骸骨紳士
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,骸骨紳士
