表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
おじさん,名詞,一般,*,*,*,*,おじさん,オジサン,オジサン,雲の上の怪物
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,雲の上の怪物
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,雲の上の怪物
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,雲の上の怪物
と,助詞,並立助詞,*,*,*,*,と,ト,ト,雲の上の怪物
野呂,名詞,固有名詞,人名,姓,*,*,野呂,ノロ,ノロ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,雲の上の怪物
さそっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,さそう,サソッ,サソッ,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
五日,名詞,固有名詞,地域,一般,*,*,五日,イツカ,イツカ,雲の上の怪物
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド,雲の上の怪物
滞在,名詞,サ変接続,*,*,*,*,滞在,タイザイ,タイザイ,雲の上の怪物
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,雲の上の怪物
用意,名詞,サ変接続,*,*,*,*,用意,ヨウイ,ヨーイ,雲の上の怪物
で,助詞,格助詞,一般,*,*,*,で,デ,デ,雲の上の怪物
やってき,動詞,自立,*,*,カ変・クル,連用形,やってくる,ヤッテキ,ヤッテキ,雲の上の怪物
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,雲の上の怪物
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,雲の上の怪物
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,雲の上の怪物
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
もと,接頭詞,名詞接続,*,*,*,*,もと,モト,モト,雲の上の怪物
ボクシング,名詞,一般,*,*,*,*,ボクシング,ボクシング,ボクシング,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
選手,名詞,一般,*,*,*,*,選手,センシュ,センシュ,雲の上の怪物
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,雲の上の怪物
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,雲の上の怪物
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
も,助詞,係助詞,*,*,*,*,も,モ,モ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
ときどき,名詞,一般,*,*,*,*,時時,トキドキ,トキドキ,雲の上の怪物
ボクシング,名詞,一般,*,*,*,*,ボクシング,ボクシング,ボクシング,雲の上の怪物
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,雲の上の怪物
おそわる,動詞,自立,*,*,五段・ラ行,基本形,おそわる,オソワル,オソワル,雲の上の怪物
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,雲の上の怪物
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,雲の上の怪物
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,雲の上の怪物
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
生まれつき,名詞,一般,*,*,*,*,生まれつき,ウマレツキ,ウマレツキ,雲の上の怪物
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,雲の上の怪物
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,雲の上の怪物
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,雲の上の怪物
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,雲の上の怪物
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,雲の上の怪物
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,雲の上の怪物
うえ,名詞,非自立,副詞可能,*,*,*,うえ,ウエ,ウエ,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
ボクシング,名詞,一般,*,*,*,*,ボクシング,ボクシング,ボクシング,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
手,名詞,一般,*,*,*,*,手,テ,テ,雲の上の怪物
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,雲の上の怪物
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,雲の上の怪物
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,雲の上の怪物
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,雲の上の怪物
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,雲の上の怪物
で,助詞,格助詞,一般,*,*,*,で,デ,デ,雲の上の怪物
も,助詞,係助詞,*,*,*,*,も,モ,モ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
だれ,名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ,雲の上の怪物
も,助詞,係助詞,*,*,*,*,も,モ,モ,雲の上の怪物
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
かなう,動詞,自立,*,*,五段・ワ行促音便,基本形,かなう,カナウ,カナウ,雲の上の怪物
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,雲の上の怪物
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,雲の上の怪物
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,雲の上の怪物
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,雲の上の怪物
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
野呂,名詞,固有名詞,人名,姓,*,*,野呂,ノロ,ノロ,雲の上の怪物
一平,名詞,固有名詞,人名,名,*,*,一平,イッペイ,イッペイ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,雲の上の怪物
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,雲の上の怪物
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,雲の上の怪物
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,雲の上の怪物
で,助詞,格助詞,一般,*,*,*,で,デ,デ,雲の上の怪物
よば,動詞,自立,*,*,五段・バ行,未然形,よぶ,ヨバ,ヨバ,雲の上の怪物
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,雲の上の怪物
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,雲の上の怪物
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
動かし,動詞,自立,*,*,五段・サ行,連用形,動かす,ウゴカシ,ウゴカシ,雲の上の怪物
かた,名詞,接尾,一般,*,*,*,かた,カタ,カタ,雲の上の怪物
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,雲の上の怪物
のろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,のろい,ノロイ,ノロイ,雲の上の怪物
わけ,名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,雲の上の怪物
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,雲の上の怪物
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,雲の上の怪物
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,雲の上の怪物
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,雲の上の怪物
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
なかなか,副詞,助詞類接続,*,*,*,*,なかなか,ナカナカ,ナカナカ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
すばしっこい,形容詞,自立,*,*,形容詞・アウオ段,基本形,すばしっこい,スバシッコイ,スバシッコイ,雲の上の怪物
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,雲の上の怪物
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
やせっぽち,名詞,一般,*,*,*,*,痩せっぽち,ヤセッポチ,ヤセッポチ,雲の上の怪物
で,助詞,格助詞,一般,*,*,*,で,デ,デ,雲の上の怪物
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,雲の上の怪物
も,助詞,係助詞,*,*,*,*,も,モ,モ,雲の上の怪物
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
そのうえ,接続詞,*,*,*,*,*,そのうえ,ソノウエ,ソノウエ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
すこし,副詞,助詞類接続,*,*,*,*,すこし,スコシ,スコシ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
おくびょう,名詞,形容動詞語幹,*,*,*,*,おくびょう,オクビョウ,オクビョー,雲の上の怪物
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,雲の上の怪物
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,雲の上の怪物
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,雲の上の怪物
おくびょうもの,名詞,一般,*,*,*,*,臆病者,オクビョウモノ,オクビョーモノ,雲の上の怪物
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
どうして,副詞,一般,*,*,*,*,どうして,ドウシテ,ドーシテ,雲の上の怪物
少年探偵団,名詞,固有名詞,一般,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
はいっ,動詞,自立,*,*,五段・ラ行,連用タ接続,はいる,ハイッ,ハイッ,雲の上の怪物
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,雲の上の怪物
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,雲の上の怪物
と,助詞,格助詞,引用,*,*,*,と,ト,ト,雲の上の怪物
いい,動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ,雲の上の怪物
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,雲の上の怪物
と,助詞,接続助詞,*,*,*,*,と,ト,ト,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,雲の上の怪物
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,雲の上の怪物
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,雲の上の怪物
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,雲の上の怪物
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
ひじょうに,副詞,一般,*,*,*,*,ひじょうに,ヒジョウニ,ヒジョーニ,雲の上の怪物
尊敬,名詞,サ変接続,*,*,*,*,尊敬,ソンケイ,ソンケイ,雲の上の怪物
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,雲の上の怪物
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
どうしても,副詞,一般,*,*,*,*,どうしても,ドウシテモ,ドーシテモ,雲の上の怪物
はいり,動詞,自立,*,*,五段・ラ行,連用形,はいる,ハイリ,ハイリ,雲の上の怪物
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,雲の上の怪物
と,助詞,格助詞,引用,*,*,*,と,ト,ト,雲の上の怪物
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
きか,動詞,自立,*,*,五段・カ行イ音便,未然形,きく,キカ,キカ,雲の上の怪物
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,雲の上の怪物
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,雲の上の怪物
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,雲の上の怪物
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
も,助詞,係助詞,*,*,*,*,も,モ,モ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,雲の上の怪物
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,雲の上の怪物
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,雲の上の怪物
すき,名詞,形容動詞語幹,*,*,*,*,すき,スキ,スキ,雲の上の怪物
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,雲の上の怪物
し,助詞,接続助詞,*,*,*,*,し,シ,シ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
おくびょう,名詞,形容動詞語幹,*,*,*,*,おくびょう,オクビョウ,オクビョー,雲の上の怪物
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,雲の上の怪物
けれども,助詞,接続助詞,*,*,*,*,けれども,ケレドモ,ケレドモ,雲の上の怪物
すばしっこい,形容詞,自立,*,*,形容詞・アウオ段,基本形,すばしっこい,スバシッコイ,スバシッコイ,雲の上の怪物
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,雲の上の怪物
と,助詞,並立助詞,*,*,*,*,と,ト,ト,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
だれ,名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
も,助詞,係助詞,*,*,*,*,も,モ,モ,雲の上の怪物
すか,動詞,自立,*,*,五段・カ行イ音便,未然形,すく,スカ,スカ,雲の上の怪物
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
あい,名詞,一般,*,*,*,*,あい,アイ,アイ,雲の上の怪物
きょう,名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー,雲の上の怪物
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,雲の上の怪物
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,雲の上の怪物
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
入れる,動詞,自立,*,*,一段,基本形,入れる,イレル,イレル,雲の上の怪物
