表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
。,記号,句点,*,*,*,*,。,。,。,動く映画館
へん,名詞,一般,*,*,*,*,へん,ヘン,ヘン,動く映画館
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,動く映画館
紙しばい,名詞,一般,*,*,*,*,紙芝居,カミシバイ,カミシバイ,動く映画館
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,動く映画館
ねえ,助詞,終助詞,*,*,*,*,ねえ,ネエ,ネー,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
」,記号,括弧閉,*,*,*,*,」,」,」,動く映画館
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,動く映画館
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,動く映画館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
町,名詞,一般,*,*,*,*,町,マチ,マチ,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
むこう,名詞,形容動詞語幹,*,*,*,*,無効,ムコウ,ムコー,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,動く映画館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
おおぜい,名詞,一般,*,*,*,*,大勢,オオゼイ,オーゼイ,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
子ども,名詞,一般,*,*,*,*,子ども,コドモ,コドモ,動く映画館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,動く映画館
集まっ,動詞,自立,*,*,五段・ラ行,連用タ接続,集まる,アツマッ,アツマッ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,動く映画館
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,動く映画館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
ゆびさし,動詞,自立,*,*,五段・サ行,連用形,ゆびさす,ユビサシ,ユビサシ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
いい,動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ,動く映画館
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,動く映画館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
「,記号,括弧開,*,*,*,*,「,「,「,動く映画館
うん,感動詞,*,*,*,*,*,うん,ウン,ウン,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
へん,名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,動く映画館
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,動く映画館
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
紙しばい,名詞,一般,*,*,*,*,紙芝居,カミシバイ,カミシバイ,動く映画館
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,動く映画館
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,動く映画館
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
自転車,名詞,一般,*,*,*,*,自転車,ジテンシャ,ジテンシャ,動く映画館
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,動く映画館
なく,助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
自動車,名詞,一般,*,*,*,*,自動車,ジドウシャ,ジドーシャ,動く映画館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,動く映画館
とまっ,動詞,自立,*,*,五段・ラ行,連用タ接続,とまる,トマッ,トマッ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
