表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,,,,0,26
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,26
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,26
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,26
閉口,名詞,サ変接続,*,*,*,*,閉口,ヘイコウ,ヘイコー,,,,0,26
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,26
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,26
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,26
。,記号,句点,*,*,*,*,。,。,。,,,,0,26
Ａ,記号,アルファベット,*,*,*,*,Ａ,エイ,エイ,,,,0,27
併,名詞,一般,*,*,*,*,*,*,*,,,,0,27
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,27
、,記号,読点,*,*,*,*,、,、,、,,,,0,27
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ,,,,0,27
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,27
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,,,,0,27
。,記号,句点,*,*,*,*,。,。,。,,,,0,27
とうとう,副詞,一般,*,*,*,*,とうとう,トウトウ,トートー,,,,0,28
あの,フィラー,*,*,*,*,*,あの,アノ,アノ,,,,0,28
指環,名詞,固有名詞,一般,*,*,*,指環,ユビワ,ユビワ,,,,0,28
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,28
出て,名詞,一般,*,*,*,*,出し手,ダシテ,ダシテ,,,,0,28
来,動詞,自立,*,*,カ変・来ル,未然形,来る,コ,コ,,,,0,28
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,,,,0,28
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,28
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,28
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,,,,0,28
じゃ,助詞,接続助詞,*,*,*,*,じゃ,ジャ,ジャ,,,,0,28
あり,動詞,非自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,28
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,,,0,28
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,,,0,28
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,28
。,記号,句点,*,*,*,*,。,。,。,,,,0,28
どうも,副詞,一般,*,*,*,*,どうも,ドウモ,ドーモ,,,,0,29
、,記号,読点,*,*,*,*,、,、,、,,,,0,29
不思議,名詞,形容動詞語幹,*,*,*,*,不思議,フシギ,フシギ,,,,0,29
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,29
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,,,,0,29
