表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
ていだん,名詞,一般,*,*,*,*,ていだん,テイダン,テイダン,２,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,２,1,0
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,２,1,0
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,２,1,0
と,助詞,並立助詞,*,*,*,*,と,ト,ト,２,1,0
、,記号,読点,*,*,*,*,、,、,、,２,1,0
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,２,1,0
ちゃんと,副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,２,1,0
、,記号,読点,*,*,*,*,、,、,、,２,1,0
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,２,1,0
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,２,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,２,1,0
妹,名詞,一般,*,*,*,*,妹,イモウト,イモート,２,1,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,２,1,0
、,記号,読点,*,*,*,*,、,、,、,２,1,0
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,２,1,0
三,名詞,数,*,*,*,*,三,サン,サン,２,1,0
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,２,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,２,1,0
ルミ,名詞,固有名詞,人名,名,*,*,ルミ,ルミ,ルミ,２,1,0
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,２,1,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,２,1,0
三,名詞,数,*,*,*,*,三,サン,サン,２,1,0
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,２,1,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,２,1,0
入れ,動詞,自立,*,*,一段,未然形,入れる,イレ,イレ,２,1,0
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,２,1,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,２,1,0
へや,名詞,一般,*,*,*,*,へや,ヘヤ,ヘヤ,２,1,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,２,1,0
、,記号,読点,*,*,*,*,、,、,、,２,1,0
まっ,接頭詞,名詞接続,*,*,*,*,まっ,マッ,マッ,２,1,0
さ,名詞,接尾,特殊,*,*,*,さ,サ,サ,２,1,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,２,1,0
さま,名詞,接尾,人名,*,*,*,さま,サマ,サマ,２,1,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,２,1,0
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,２,1,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,２,1,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,２,1,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,２,1,0
。,記号,句点,*,*,*,*,。,。,。,２,1,0
いま,名詞,副詞可能,*,*,*,*,いま,イマ,イマ,２,1,1
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,２,1,1
たっ,動詞,自立,*,*,五段・タ行,連用タ接続,たつ,タッ,タッ,２,1,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,２,1,1
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,２,1,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,２,1,1
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,２,1,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,２,1,1
てんじょう,名詞,サ変接続,*,*,*,*,てんじょう,テンジョウ,テンジョー,２,1,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,２,1,1
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,２,1,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,２,1,1
しまっ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ,２,1,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,２,1,1
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,２,1,1
、,記号,読点,*,*,*,*,、,、,、,２,1,1
三,名詞,数,*,*,*,*,三,サン,サン,２,1,1
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,２,1,1
