表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,６,5,16
。,記号,句点,*,*,*,*,。,。,。,６,5,16
かい,名詞,一般,*,*,*,*,かい,カイ,カイ,６,5,17
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,６,5,17
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,６,5,17
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,６,5,17
おりる,動詞,自立,*,*,一段,基本形,おりる,オリル,オリル,６,5,17
と,助詞,接続助詞,*,*,*,*,と,ト,ト,６,5,17
、,記号,読点,*,*,*,*,、,、,、,６,5,17
ドア,名詞,一般,*,*,*,*,ドア,ドア,ドア,６,5,17
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,６,5,17
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,６,5,17
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,６,5,17
。,記号,句点,*,*,*,*,。,。,。,６,5,17
そっと,副詞,一般,*,*,*,*,そっと,ソット,ソット,６,5,18
ひらい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,ひらく,ヒライ,ヒライ,６,5,18
て,助詞,接続助詞,*,*,*,*,て,テ,テ,６,5,18
、,記号,読点,*,*,*,*,、,、,、,６,5,18
中,名詞,一般,*,*,*,*,中,ナカ,ナカ,６,5,18
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,６,5,18
のぞき,動詞,自立,*,*,五段・カ行イ音便,連用形,のぞく,ノゾキ,ノゾキ,６,5,18
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,６,5,18
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,６,5,18
。,記号,句点,*,*,*,*,。,。,。,６,5,18
「,記号,括弧開,*,*,*,*,「,「,「,６,5,19
あっ,感動詞,*,*,*,*,*,あっ,アッ,アッ,６,5,19
」,記号,括弧閉,*,*,*,*,」,」,」,６,5,19
おばけ,名詞,一般,*,*,*,*,おばけ,オバケ,オバケ,６,5,19
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,６,5,19
。,記号,句点,*,*,*,*,。,。,。,６,5,19
うじゃうじゃ,副詞,一般,*,*,*,*,うじゃうじゃ,ウジャウジャ,ウジャウジャ,６,5,20
、,記号,読点,*,*,*,*,、,、,、,６,5,20
おばけ,名詞,一般,*,*,*,*,おばけ,オバケ,オバケ,６,5,20
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,６,5,20
ならん,動詞,自立,*,*,五段・バ行,連用タ接続,ならぶ,ナラン,ナラン,６,5,20
で,助詞,接続助詞,*,*,*,*,で,デ,デ,６,5,20
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,６,5,20
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,６,5,20
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,６,5,20
。,記号,句点,*,*,*,*,。,。,。,６,5,20
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,６,5,21
目,名詞,接尾,一般,*,*,*,目,メ,メ,６,5,21
小,接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー,６,5,21
ぞう,名詞,一般,*,*,*,*,ぞう,ゾウ,ゾウ,６,5,21
・,記号,一般,*,*,*,*,・,・,・,６,5,21
三つ目,名詞,固有名詞,一般,*,*,*,三つ目,ミツメ,ミツメ,６,5,21
小,接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー,６,5,21
ぞう,名詞,一般,*,*,*,*,ぞう,ゾウ,ゾウ,６,5,21
、,記号,読点,*,*,*,*,、,、,、,６,5,21
一本,名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,６,5,21
足,名詞,一般,*,*,*,*,足,アシ,アシ,６,5,21
の,助詞,連体化,*,*,*,*,の,ノ,ノ,６,5,21
大にゅうどう,名詞,一般,*,*,*,*,大入道,オオニュウドウ,オオニュウドー,６,5,21
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,６,5,21
、,記号,読点,*,*,*,*,、,、,、,６,5,21
そのほか,名詞,一般,*,*,*,*,そのほか,ソノホカ,ソノホカ,６,5,21
、,記号,読点,*,*,*,*,、,、,、,６,5,21
たくさん,名詞,副詞可能,*,*,*,*,たくさん,タクサン,タクサン,６,5,21
の,助詞,連体化,*,*,*,*,の,ノ,ノ,６,5,21
ゆう,名詞,固有名詞,人名,名,*,*,ゆう,ユウ,ユー,６,5,21
れい,名詞,一般,*,*,*,*,れい,レイ,レイ,６,5,21
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,６,5,21
おばけ,名詞,一般,*,*,*,*,おばけ,オバケ,オバケ,６,5,21
で,助詞,格助詞,一般,*,*,*,で,デ,デ,６,5,21
いっぱい,副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,６,5,21
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,６,5,21
。,記号,句点,*,*,*,*,。,。,。,６,5,21
おどろき,動詞,自立,*,*,五段・カ行イ音便,連用形,おどろく,オドロキ,オドロキ,６,5,22
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,６,5,22
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,６,5,22
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,６,5,22
、,記号,読点,*,*,*,*,、,、,、,６,5,22
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,６,5,22
