表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,0
そこで,接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,< 章なし >,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,1
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
Ｋ,記号,アルファベット,*,*,*,*,Ｋ,ケイ,ケイ,< 章なし >,0,1
雑誌,名詞,一般,*,*,*,*,雑誌,ザッシ,ザッシ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,1
夏,名詞,一般,*,*,*,*,夏,ナツ,ナツ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
増大,名詞,サ変接続,*,*,*,*,増大,ゾウダイ,ゾーダイ,< 章なし >,0,1
号,名詞,接尾,一般,*,*,*,号,ゴウ,ゴー,< 章なし >,0,1
