表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,どろぼう人形,,1,4
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,どろぼう人形,,1,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,4
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,4
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,,どろぼう人形,,1,4
懐中電灯,名詞,固有名詞,一般,*,*,*,懐中電灯,カイチュウデントウ,カイチューデントー,,どろぼう人形,,1,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,4
てらし,動詞,自立,*,*,五段・サ行,連用形,てらす,テラシ,テラシ,,どろぼう人形,,1,4
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,,どろぼう人形,,1,4
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,4
たえず,副詞,一般,*,*,*,*,たえず,タエズ,タエズ,,どろぼう人形,,1,4
デパート,名詞,一般,*,*,*,*,デパート,デパート,デパート,,どろぼう人形,,1,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,4
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,,どろぼう人形,,1,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,どろぼう人形,,1,4
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,4
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,どろぼう人形,,1,4
まわっ,動詞,非自立,*,*,五段・ラ行,連用タ接続,まわる,マワッ,マワッ,,どろぼう人形,,1,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,どろぼう人形,,1,4
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,どろぼう人形,,1,4
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,どろぼう人形,,1,4
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,4
いま,名詞,副詞可能,*,*,*,*,いま,イマ,イマ,,どろぼう人形,,1,5
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,5
ちょうど,副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,,どろぼう人形,,1,5
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,5
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,,どろぼう人形,,1,5
づれ,名詞,一般,*,*,*,*,*,*,*,,どろぼう人形,,1,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,どろぼう人形,,1,5
守衛,名詞,一般,*,*,*,*,守衛,シュエイ,シュエイ,,どろぼう人形,,1,5
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,どろぼう人形,,1,5
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,5
洋服,名詞,一般,*,*,*,*,洋服,ヨウフク,ヨーフク,,どろぼう人形,,1,5
売り場,名詞,一般,*,*,*,*,売り場,ウリバ,ウリバ,,どろぼう人形,,1,5
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,どろぼう人形,,1,5
やってき,動詞,自立,*,*,カ変・クル,連用形,やってくる,ヤッテキ,ヤッテキ,,どろぼう人形,,1,5
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,どろぼう人形,,1,5
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,どろぼう人形,,1,5
。,記号,句点,*,*,*,*,。,。,。,,どろぼう人形,,1,5
売り場,名詞,一般,*,*,*,*,売り場,ウリバ,ウリバ,,どろぼう人形,,1,6
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,どろぼう人形,,1,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,どろぼう人形,,1,6
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,6
洋服,名詞,一般,*,*,*,*,洋服,ヨウフク,ヨーフク,,どろぼう人形,,1,6
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,どろぼう人形,,1,6
きれ,動詞,自立,*,*,一段,未然形,きれる,キレ,キレ,,どろぼう人形,,1,6
じ,助動詞,*,*,*,不変化型,基本形,じ,ジ,ジ,,どろぼう人形,,1,6
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,どろぼう人形,,1,6
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,どろぼう人形,,1,6
、,記号,読点,*,*,*,*,、,、,、,,どろぼう人形,,1,6
いっぱい,副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,,どろぼう人形,,1,6
かけて,副詞,一般,*,*,*,*,かけて,カケテ,カケテ,,どろぼう人形,,1,6
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,どろぼう人形,,1,6
