表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
、,記号,読点,*,*,*,*,、,、,、,下,2,163
少く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,少い,スクナク,スクナク,下,2,163
とも,助詞,副助詞,*,*,*,*,とも,トモ,トモ,下,2,163
二,名詞,数,*,*,*,*,二,ニ,ニ,下,2,163
三,名詞,数,*,*,*,*,三,サン,サン,下,2,163
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,下,2,163
円,名詞,接尾,助数詞,*,*,*,円,エン,エン,下,2,163
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,163
入用,名詞,形容動詞語幹,*,*,*,*,入用,ニュウヨウ,ニューヨー,下,2,163
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,下,2,163
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,下,2,163
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,下,2,163
。,記号,句点,*,*,*,*,。,。,。,下,2,163
生憎,副詞,一般,*,*,*,*,生憎,アイニク,アイニク,下,2,164
我々,名詞,代名詞,一般,*,*,*,我々,ワレワレ,ワレワレ,下,2,164
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,下,2,164
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,164
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,下,2,164
金,名詞,一般,*,*,*,*,金,キン,キン,下,2,164
の,助詞,連体化,*,*,*,*,の,ノ,ノ,下,2,164
持合せ,名詞,一般,*,*,*,*,持合せ,モチアワセ,モチアワセ,下,2,164
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,下,2,164
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,下,2,164
。,記号,句点,*,*,*,*,。,。,。,下,2,164
ナアニ,名詞,一般,*,*,*,*,*,*,*,下,2,165
、,記号,読点,*,*,*,*,、,、,、,下,2,165
何とか,副詞,一般,*,*,*,*,何とか,ナントカ,ナントカ,下,2,165
ごまかせ,動詞,自立,*,*,五段・サ行,仮定形,ごまかす,ゴマカセ,ゴマカセ,下,2,165
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,下,2,165
いい,形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,下,2,165
と,助詞,格助詞,引用,*,*,*,と,ト,ト,下,2,165
高,名詞,一般,*,*,*,*,高,コウ,コー,下,2,165
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,下,2,165
括っ,動詞,自立,*,*,五段・ラ行,連用タ接続,括る,ククッ,ククッ,下,2,165
て,助詞,接続助詞,*,*,*,*,て,テ,テ,下,2,165
出掛け,動詞,自立,*,*,一段,連用形,出掛ける,デカケ,デカケ,下,2,165
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,165
。,記号,句点,*,*,*,*,。,。,。,下,2,165
――,記号,一般,*,*,*,*,――,――,――,下,2,166
案の定,副詞,助詞類接続,*,*,*,*,案の定,アンノジョウ,アンノジョー,下,2,166
印刷,名詞,サ変接続,*,*,*,*,印刷,インサツ,インサツ,下,2,166
屋,名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,下,2,166
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,166
、,記号,読点,*,*,*,*,、,、,、,下,2,166
金,名詞,一般,*,*,*,*,金,キン,キン,下,2,166
の,助詞,連体化,*,*,*,*,の,ノ,ノ,下,2,166
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,下,2,166
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,下,2,166
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,166
一言,名詞,一般,*,*,*,*,一言,ヒトコト,ヒトコト,下,2,166
も,助詞,係助詞,*,*,*,*,も,モ,モ,下,2,166
云わ,動詞,自立,*,*,五段・ワ行促音便,未然形,云う,イワ,イワ,下,2,166
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ,下,2,166
で,助詞,接続助詞,*,*,*,*,で,デ,デ,下,2,166
、,記号,読点,*,*,*,*,、,、,、,下,2,166
品物,名詞,一般,*,*,*,*,品物,シナモノ,シナモノ,下,2,166
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,下,2,166
渡し,動詞,自立,*,*,五段・サ行,連用形,渡す,ワタシ,ワタシ,下,2,166
て,助詞,接続助詞,*,*,*,*,て,テ,テ,下,2,166
呉れ,動詞,自立,*,*,一段・クレル,連用形,呉れる,クレ,クレ,下,2,166
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,166
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,下,2,166
。,記号,句点,*,*,*,*,。,。,。,下,2,166
――,記号,一般,*,*,*,*,――,――,――,下,2,167
かよう,動詞,自立,*,*,五段・ワ行促音便,基本形,かよう,カヨウ,カヨウ,下,2,167
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,下,2,167
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,下,2,167
て,助詞,接続助詞,*,*,*,*,て,テ,テ,下,2,167
、,記号,読点,*,*,*,*,、,、,、,下,2,167
まんまと,副詞,一般,*,*,*,*,まんまと,マンマト,マンマト,下,2,167
首尾,名詞,一般,*,*,*,*,首尾,シュビ,シュビ,下,2,167
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,下,2,167
五,名詞,数,*,*,*,*,五,ゴ,ゴ,下,2,167
万,名詞,数,*,*,*,*,万,マン,マン,下,2,167
円,名詞,接尾,助数詞,*,*,*,円,エン,エン,下,2,167
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,下,2,167
横取り,名詞,サ変接続,*,*,*,*,横取り,ヨコドリ,ヨコドリ,下,2,167
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,下,2,167
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,下,2,167
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,下,2,167
さ,助詞,終助詞,*,*,*,*,さ,サ,サ,下,2,167
。,記号,句点,*,*,*,*,。,。,。,下,2,167
…,記号,一般,*,*,*,*,…,…,…,下,2,168
…,記号,一般,*,*,*,*,…,…,…,下,2,168
さて,接続詞,*,*,*,*,*,さて,サテ,サテ,下,2,168
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,下,2,168
使途,名詞,一般,*,*,*,*,使途,シト,シト,下,2,168
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,下,2,168
。,記号,句点,*,*,*,*,。,。,。,下,2,168
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,下,2,169
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,下,2,169
。,記号,句点,*,*,*,*,。,。,。,下,2,169
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,下,2,170
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,下,2,170
、,記号,読点,*,*,*,*,、,、,、,下,2,170
考,名詞,一般,*,*,*,*,考,コウ,コー,下,2,170
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,下,2,170
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,下,2,170
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,下,2,170
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,下,2,170
」,記号,括弧閉,*,*,*,*,」,」,」,下,2,170
松村,名詞,固有名詞,人名,姓,*,*,松村,マツムラ,マツムラ,下,2,170
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,下,2,170
、,記号,読点,*,*,*,*,、,、,、,下,2,170
これ程,副詞,助詞類接続,*,*,*,*,これ程,コレホド,コレホド,下,2,170
興奮,名詞,サ変接続,*,*,*,*,興奮,コウフン,コーフン,下,2,170
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,下,2,170
て,助詞,接続助詞,*,*,*,*,て,テ,テ,下,2,170
、,記号,読点,*,*,*,*,、,、,、,下,2,170
これ程,副詞,助詞類接続,*,*,*,*,これ程,コレホド,コレホド,下,2,170
雄弁,名詞,形容動詞語幹,*,*,*,*,雄弁,ユウベン,ユーベン,下,2,170
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,下,2,170
喋っ,動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,下,2,170
