表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,< 章なし >,0,87
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,87
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,87
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,87
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,87
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,88
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,< 章なし >,0,88
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,88
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,88
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,< 章なし >,0,88
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,88
警察,名詞,一般,*,*,*,*,警察,ケイサツ,ケイサツ,< 章なし >,0,88
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,88
手,名詞,一般,*,*,*,*,手,テ,テ,< 章なし >,0,88
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,88
はなれ,動詞,自立,*,*,一段,連用形,はなれる,ハナレ,ハナレ,< 章なし >,0,88
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,88
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >,0,88
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,88
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,88
わたし,名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ,< 章なし >,0,88
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,88
余暇,名詞,一般,*,*,*,*,余暇,ヨカ,ヨカ,< 章なし >,0,88
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,88
利用,名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー,< 章なし >,0,88
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,88
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,88
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,88
もっと,副詞,一般,*,*,*,*,もっと,モット,モット,< 章なし >,0,88
深く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,深い,フカク,フカク,< 章なし >,0,88
さぐっ,動詞,自立,*,*,五段・ラ行,連用タ接続,さぐる,サグッ,サグッ,< 章なし >,0,88
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,88
みよ,動詞,非自立,*,*,一段,未然ウ接続,みる,ミヨ,ミヨ,< 章なし >,0,88
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,88
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,88
決心,名詞,サ変接続,*,*,*,*,決心,ケッシン,ケッシン,< 章なし >,0,88
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,88
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,88
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,88
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,88
実は,接続詞,*,*,*,*,*,実は,ジツハ,ジツワ,< 章なし >,0,89
そういう,連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,< 章なし >,0,89
抜けがけ,名詞,一般,*,*,*,*,抜けがけ,ヌケガケ,ヌケガケ,< 章なし >,0,89
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,89
功名,名詞,一般,*,*,*,*,功名,コウミョウ,コーミョー,< 章なし >,0,89
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,< 章なし >,0,89
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,89
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >,0,89
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,89
禁じ,動詞,自立,*,*,一段,未然形,禁じる,キンジ,キンジ,< 章なし >,0,89
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,< 章なし >,0,89
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,89
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,< 章なし >,0,89
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,89
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,89
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,89
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,89
余暇,名詞,一般,*,*,*,*,余暇,ヨカ,ヨカ,< 章なし >,0,89
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,89
利用,名詞,サ変接続,*,*,*,*,利用,リヨウ,リヨー,< 章なし >,0,89
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,89
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,89
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,89
個人,名詞,一般,*,*,*,*,個人,コジン,コジン,< 章なし >,0,89
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,< 章なし >,0,89
