表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,49
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,49
卒業,名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,< 章なし >,0,49
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,< 章なし >,0,49
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,49
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,< 章なし >,0,49
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,49
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,49
いつの間にか,副詞,一般,*,*,*,*,いつの間にか,イツノマニカ,イツノマニカ,< 章なし >,0,49
傍,名詞,一般,*,*,*,*,傍,ハタ,ハタ,< 章なし >,0,49
道,名詞,接尾,一般,*,*,*,道,ドウ,ドー,< 章なし >,0,49
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,49
それ,動詞,自立,*,*,一段,連用形,それる,ソレ,ソレ,< 章なし >,0,49
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,49
しま,名詞,一般,*,*,*,*,しま,シマ,シマ,< 章なし >,0,49
つて,名詞,一般,*,*,*,*,つて,ツテ,ツテ,< 章なし >,0,49
ゐ,動詞,自立,*,*,一段,連用形,ゐる,ヰ,イ,< 章なし >,0,49
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,49
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,49
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,49
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,49
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,49
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,49
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,49
日本,名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,< 章なし >,0,50
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,50
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,50
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,50
今,接頭詞,名詞接続,*,*,*,*,今,コン,コン,< 章なし >,0,50
必要,名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー,< 章なし >,0,50
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,50
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >,0,50
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,50
文學,名詞,一般,*,*,*,*,文學,ブンガク,ブンガク,< 章なし >,0,50
論,名詞,接尾,一般,*,*,*,論,ロン,ロン,< 章なし >,0,50
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,50
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,50
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,< 章なし >,0,50
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,50
（,記号,括弧開,*,*,*,*,（,（,（,< 章なし >,0,50
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,50
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,50
ある程度,副詞,助詞類接続,*,*,*,*,ある程度,アルテイド,アルテイド,< 章なし >,0,50
持つ,動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ,< 章なし >,0,50
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,50
ゐる,動詞,自立,*,*,一段,基本形,ゐる,ヰル,イル,< 章なし >,0,50
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,50
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >,0,50
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,< 章なし >,0,50
）,記号,括弧閉,*,*,*,*,）,）,）,< 章なし >,0,50
却つて,副詞,一般,*,*,*,*,却つて,カエッテ,カエッテ,< 章なし >,0,50
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,50
論,名詞,接尾,一般,*,*,*,論,ロン,ロン,< 章なし >,0,50
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,50
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,50
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,50
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,50
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,50
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,< 章なし >,0,51
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,51
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,< 章なし >,0,51
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >,0,51
度,名詞,接尾,助数詞,*,*,*,度,ド,ド,< 章なし >,0,51
本,名詞,一般,*,*,*,*,本,ホン,ホン,< 章なし >,0,51
街道,名詞,一般,*,*,*,*,街道,カイドウ,カイドー,< 章なし >,0,51
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,51
立,名詞,固有名詞,地域,一般,*,*,立,タツ,タツ,< 章なし >,0,51
戻り,動詞,自立,*,*,五段・ラ行,連用形,戻る,モドリ,モドリ,< 章なし >,0,51
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,51
本,接頭詞,名詞接続,*,*,*,*,本,ホン,ホン,< 章なし >,0,51
來,名詞,固有名詞,人名,姓,*,*,來,ライ,ライ,< 章なし >,0,51
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,51
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,51
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,51
殊に,副詞,一般,*,*,*,*,殊に,コトニ,コトニ,< 章なし >,0,51
長篇,名詞,一般,*,*,*,*,長篇,チョウヘン,チョーヘン,< 章なし >,0,51
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >,0,51
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,51
於,名詞,一般,*,*,*,*,*,*,*,< 章なし >,0,51
て,助詞,格助詞,連語,*,*,*,て,テ,テ,< 章なし >,0,51
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,51
英米,名詞,固有名詞,一般,*,*,*,英米,エイベイ,エイベイ,< 章なし >,0,51
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,51
傑作,名詞,一般,*,*,*,*,傑作,ケッサク,ケッサク,< 章なし >,0,51
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >,0,51
肩,名詞,一般,*,*,*,*,肩,カタ,カタ,< 章なし >,0,51
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,51
並べ,動詞,自立,*,*,一段,連用形,並べる,ナラベ,ナラベ,< 章なし >,0,51
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,51
或は,接続詞,*,*,*,*,*,或は,アルイハ,アルイワ,< 章なし >,0,51
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,51
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,51
凌駕,名詞,サ変接続,*,*,*,*,凌駕,リョウガ,リョーガ,< 章なし >,0,51
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >,0,51
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,51
如き,助動詞,*,*,*,文語・ゴトシ,体言接続,如し,ゴトキ,ゴトキ,< 章なし >,0,51
作品,名詞,一般,*,*,*,*,作品,サクヒン,サクヒン,< 章なし >,0,51
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,51
生ま,動詞,自立,*,*,五段・マ行,未然形,生む,ウマ,ウマ,< 章なし >,0,51
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,< 章なし >,0,51
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,< 章なし >,0,51
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,< 章なし >,0,51
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,51
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,51
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,52
