表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ボール箱,名詞,固有名詞,一般,*,*,*,ボール箱,ボールバコ,ボールバコ,,,,0,41
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,41
、,記号,読点,*,*,*,*,、,、,、,,,,0,41
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,,,0,41
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,41
建物,名詞,一般,*,*,*,*,建物,タテモノ,タテモノ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
入口,名詞,一般,*,*,*,*,入口,イリグチ,イリグチ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,,,0,41
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,41
穴,名詞,一般,*,*,*,*,穴,アナ,アナ,,,,0,41
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,41
あい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,あく,アイ,アイ,,,,0,41
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,41
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,41
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,41
、,記号,読点,*,*,*,*,、,、,、,,,,0,41
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,,,,0,41
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,41
一円札,名詞,固有名詞,一般,*,*,*,一円紙幣,イチエンサツ,イチエンサツ,,,,0,41
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,41
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,,,0,41
、,記号,読点,*,*,*,*,、,、,、,,,,0,41
六,名詞,数,*,*,*,*,六,ロク,ロク,,,,0,41
枚,名詞,接尾,助数詞,*,*,*,枚,マイ,マイ,,,,0,41
、,記号,読点,*,*,*,*,、,、,、,,,,0,41
ちょうど,副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,,,,0,41
状差し,名詞,一般,*,*,*,*,状差し,ジョウサシ,ジョーサシ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
ハガキ,名詞,一般,*,*,*,*,ハガキ,ハガキ,ハガキ,,,,0,41
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,41
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,,,0,41
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,41
、,記号,読点,*,*,*,*,、,、,、,,,,0,41
差し,動詞,自立,*,*,五段・サ行,連用形,差す,サシ,サシ,,,,0,41
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,41
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,,,,0,41
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,41
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,41
。,記号,句点,*,*,*,*,。,。,。,,,,0,41
「,記号,括弧開,*,*,*,*,「,「,「,,,,0,42
この,連体詞,*,*,*,*,*,この,コノ,コノ,,,,0,42
おさつ,名詞,一般,*,*,*,*,おさつ,オサツ,オサツ,,,,0,42
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,42
取っ,動詞,自立,*,*,五段・ラ行,連用タ接続,取る,トッ,トッ,,,,0,42
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,42
ごらん,名詞,動詞非自立的,*,*,*,*,ごらん,ゴラン,ゴラン,,,,0,42
」,記号,括弧閉,*,*,*,*,」,」,」,,,,0,42
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,42
箱,名詞,一般,*,*,*,*,箱,ハコ,ハコ,,,,0,42
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,42
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,42
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,42
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,,,,0,42
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,42
持ち出し,動詞,自立,*,*,五段・サ行,連用形,持ち出す,モチダシ,モチダシ,,,,0,42
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,42
、,記号,読点,*,*,*,*,、,、,、,,,,0,42
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,42
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,42
何食わぬ顔,名詞,固有名詞,一般,*,*,*,何食わぬ顔,ナニクワヌカオ,ナニクワヌカオ,,,,0,42
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,42
紙幣,名詞,一般,*,*,*,*,紙幣,シヘイ,シヘイ,,,,0,42
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,42
取れ,動詞,自立,*,*,五段・ラ行,命令ｅ,取る,トレ,トレ,,,,0,42
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,42
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,,,,0,42
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,42
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,42
。,記号,句点,*,*,*,*,。,。,。,,,,0,42
そこで,接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ,,,,0,43
、,記号,読点,*,*,*,*,、,、,、,,,,0,43
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,43
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,43
いわ,動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,イワ,,,,0,43
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,,,,0,43
まま,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ,,,,0,43
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,43
手,名詞,一般,*,*,*,*,手,テ,テ,,,,0,43
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,43
出し,動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,,,,0,43
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,43
、,記号,読点,*,*,*,*,、,、,、,,,,0,43
ヒョイ,副詞,一般,*,*,*,*,ヒョイ,ヒョイ,ヒョイ,,,,0,43
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,,,0,43
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,43
紙幣,名詞,一般,*,*,*,*,紙幣,シヘイ,シヘイ,,,,0,43
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,43
取ろ,動詞,自立,*,*,五段・ラ行,未然ウ接続,取る,トロ,トロ,,,,0,43
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,,,0,43
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,43
