表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
おじょうさん,名詞,一般,*,*,*,*,おじょうさん,オジョウサン,オジョーサン,おねえさま,0,3
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,おねえさま,0,3
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,3
えび,名詞,一般,*,*,*,*,えび,エビ,エビ,おねえさま,0,4
ちゃ,名詞,一般,*,*,*,*,ちゃ,チャ,チャ,おねえさま,0,4
色,名詞,接尾,一般,*,*,*,色,ショク,ショク,おねえさま,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,4
ワンピース,名詞,一般,*,*,*,*,ワンピース,ワンピース,ワンピース,おねえさま,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,4
着,動詞,自立,*,*,一段,連用形,着る,キ,キ,おねえさま,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,4
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,4
にこにこ,副詞,一般,*,*,*,*,にこにこ,ニコニコ,ニコニコ,おねえさま,0,4
笑っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,笑う,ワラッ,ワラッ,おねえさま,0,4
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,4
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,おねえさま,0,4
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,おねえさま,0,4
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,4
少年たち,名詞,固有名詞,一般,*,*,*,少年たち,ショウネンタチ,ショーネンタチ,おねえさま,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,5
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,おねえさま,0,5
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,5
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,おねえさま,0,5
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,5
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,5
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,おねえさま,0,5
若,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,若い,ワカ,ワカ,おねえさま,0,5
すぎ,動詞,非自立,*,*,一段,連用形,すぎる,スギ,スギ,おねえさま,0,5
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,おねえさま,0,5
し,助詞,接続助詞,*,*,*,*,し,シ,シ,おねえさま,0,5
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,5
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,おねえさま,0,5
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,おねえさま,0,5
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,5
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,おねえさま,0,5
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,5
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,5
大き,形容詞,自立,*,*,形容詞・イ段,ガル接続,大きい,オオキ,オーキ,おねえさま,0,5
すぎる,動詞,非自立,*,*,一段,基本形,すぎる,スギル,スギル,おねえさま,0,5
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,おねえさま,0,5
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,おねえさま,0,5
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,5
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,おねえさま,0,6
おじょうさん,名詞,一般,*,*,*,*,おじょうさん,オジョウサン,オジョーサン,おねえさま,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,6
そば,名詞,一般,*,*,*,*,そば,ソバ,ソバ,おねえさま,0,6
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,6
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,6
少年探偵団,名詞,固有名詞,組織,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,おねえさま,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,6
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,おねえさま,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,6
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,おねえさま,0,6
君,名詞,接尾,人名,*,*,*,君,クン,クン,おねえさま,0,6
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,おねえさま,0,6
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ,おねえさま,0,6
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,6
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,おねえさま,0,6
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,おねえさま,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,おねえさま,0,6
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,6
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,おねえさま,0,7
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,7
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,おねえさま,0,7
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,7
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,7
なにか,副詞,助詞類接続,*,*,*,*,なにか,ナニカ,ナニカ,おねえさま,0,7
しゃべっ,動詞,自立,*,*,五段・ラ行,連用タ接続,しゃべる,シャベッ,シャベッ,おねえさま,0,7
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,7
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,おねえさま,0,7
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,おねえさま,0,7
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,おねえさま,0,7
。,記号,句点,*,*,*,*,。,。,。,おねえさま,0,7
「,記号,括弧開,*,*,*,*,「,「,「,おねえさま,0,8
きょう,名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー,おねえさま,0,8
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,8
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,おねえさま,0,8
諸君,名詞,一般,*,*,*,*,諸君,ショクン,ショクン,おねえさま,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま,0,8
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,8
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,おねえさま,0,8
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,おねえさま,0,8
集まっ,動詞,自立,*,*,五段・ラ行,連用タ接続,集まる,アツマッ,アツマッ,おねえさま,0,8
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま,0,8
もらっ,動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ,おねえさま,0,8
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,おねえさま,0,8
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,おねえさま,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま,0,8
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,8
ぼく,名詞,代名詞,一般,*,*,*,ぼく,ボク,ボク,おねえさま,0,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま,0,8
おねえさま,名詞,固有名詞,一般,*,*,*,おねえさま,オネエサマ,オネエサマ,おねえさま,0,8
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,おねえさま,0,8
、,記号,読点,*,*,*,*,、,、,、,おねえさま,0,8
しょうかい,名詞,サ変接続,*,*,*,*,しょうかい,ショウカイ,ショーカイ,おねえさま,0,8
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,おねえさま,0,8
