表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
おくさん,名詞,固有名詞,一般,*,*,*,おくさん,オクサン,オクサン,１マントにんぎょうのまき,,,0,5
も,助詞,係助詞,*,*,*,*,も,モ,モ,１マントにんぎょうのまき,,,0,5
子ども,名詞,一般,*,*,*,*,子ども,コドモ,コドモ,１マントにんぎょうのまき,,,0,5
も,助詞,係助詞,*,*,*,*,も,モ,モ,１マントにんぎょうのまき,,,0,5
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,１マントにんぎょうのまき,,,0,5
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,5
たった,副詞,助詞類接続,*,*,*,*,たった,タッタ,タッタ,１マントにんぎょうのまき,,,0,5
ひとりで,副詞,一般,*,*,*,*,ひとりで,ヒトリデ,ヒトリデ,１マントにんぎょうのまき,,,0,5
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,5
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１マントにんぎょうのまき,,,0,5
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,１マントにんぎょうのまき,,,0,5
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,１マントにんぎょうのまき,,,0,5
ようかん,名詞,固有名詞,一般,*,*,*,ようかん,ヨウカン,ヨーカン,１マントにんぎょうのまき,,,0,5
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１マントにんぎょうのまき,,,0,5
すん,動詞,自立,*,*,五段・マ行,連用タ接続,すむ,スン,スン,１マントにんぎょうのまき,,,0,5
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１マントにんぎょうのまき,,,0,5
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,１マントにんぎょうのまき,,,0,5
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,5
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１マントにんぎょうのまき,,,0,5
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,5
きんじょ,名詞,一般,*,*,*,*,近所,キンジョ,キンジョ,１マントにんぎょうのまき,,,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,6
人たち,名詞,一般,*,*,*,*,人達,ヒトタチ,ヒトタチ,１マントにんぎょうのまき,,,0,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,6
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,6
この,連体詞,*,*,*,*,*,この,コノ,コノ,１マントにんぎょうのまき,,,0,6
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,１マントにんぎょうのまき,,,0,6
ようかん,名詞,固有名詞,一般,*,*,*,ようかん,ヨウカン,ヨーカン,１マントにんぎょうのまき,,,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１マントにんぎょうのまき,,,0,6
ばけ,名詞,一般,*,*,*,*,化け,バケ,バケ,１マントにんぎょうのまき,,,0,6
もの,名詞,接尾,一般,*,*,*,もの,モノ,モノ,１マントにんぎょうのまき,,,0,6
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,１マントにんぎょうのまき,,,0,6
しき,名詞,一般,*,*,*,*,しき,シキ,シキ,１マントにんぎょうのまき,,,0,6
と,助詞,格助詞,引用,*,*,*,と,ト,ト,１マントにんぎょうのまき,,,0,6
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,１マントにんぎょうのまき,,,0,6
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１マントにんぎょうのまき,,,0,6
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１マントにんぎょうのまき,,,0,6
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１マントにんぎょうのまき,,,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき,,,0,6
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,6
また,接続詞,*,*,*,*,*,また,マタ,マタ,１マントにんぎょうのまき,,,0,7
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,7
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,１マントにんぎょうのまき,,,0,7
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１マントにんぎょうのまき,,,0,7
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,１マントにんぎょうのまき,,,0,7
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１マントにんぎょうのまき,,,0,7
んで,助詞,接続助詞,*,*,*,*,んで,ンデ,ンデ,１マントにんぎょうのまき,,,0,7
いる,動詞,自立,*,*,一段,基本形,いる,イル,イル,１マントにんぎょうのまき,,,0,7
林,名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,１マントにんぎょうのまき,,,0,7
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき,,,0,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,１マントにんぎょうのまき,,,0,7
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,7
まほうつかい,名詞,固有名詞,一般,*,*,*,まほうつかい,マホウツカイ,マホーツカイ,１マントにんぎょうのまき,,,0,7
とよん,動詞,自立,*,*,五段・マ行,連用タ接続,とよむ,トヨン,トヨン,１マントにんぎょうのまき,,,0,7
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１マントにんぎょうのまき,,,0,7
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１マントにんぎょうのまき,,,0,7
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１マントにんぎょうのまき,,,0,7
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき,,,0,7
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,7
ところが,接続詞,*,*,*,*,*,ところが,トコロガ,トコロガ,１マントにんぎょうのまき,,,0,8
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,8
きむ,名詞,固有名詞,人名,一般,*,*,きむ,キム,キム,１マントにんぎょうのまき,,,0,8
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,１マントにんぎょうのまき,,,0,8
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき,,,0,8
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき,,,0,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,8
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,１マントにんぎょうのまき,,,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,8
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,8
この,連体詞,*,*,*,*,*,この,コノ,コノ,１マントにんぎょうのまき,,,0,8
ふしぎ,名詞,形容動詞語幹,*,*,*,*,ふしぎ,フシギ,フシギ,１マントにんぎょうのまき,,,0,8
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１マントにんぎょうのまき,,,0,8
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,１マントにんぎょうのまき,,,0,8
と,助詞,並立助詞,*,*,*,*,と,ト,ト,１マントにんぎょうのまき,,,0,8
だい,名詞,一般,*,*,*,*,だい,ダイ,ダイ,１マントにんぎょうのまき,,,0,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,8
なかよし,名詞,一般,*,*,*,*,なかよし,ナカヨシ,ナカヨシ,１マントにんぎょうのまき,,,0,8
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,１マントにんぎょうのまき,,,0,8
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき,,,0,8
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,１マントにんぎょうのまき,,,0,8
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,8
林,名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,１マントにんぎょうのまき,,,0,8
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき,,,0,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,8
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,8
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき,,,0,8
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき,,,0,8
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,8
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,１マントにんぎょうのまき,,,0,8
うち,名詞,一般,*,*,*,*,うち,ウチ,ウチ,１マントにんぎょうのまき,,,0,8
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,１マントにんぎょうのまき,,,0,8
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,１マントにんぎょうのまき,,,0,8
あそび,動詞,自立,*,*,五段・バ行,連用形,あそぶ,アソビ,アソビ,１マントにんぎょうのまき,,,0,8
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１マントにんぎょうのまき,,,0,8
き,動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,１マントにんぎょうのまき,,,0,8
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１マントにんぎょうのまき,,,0,8
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき,,,0,8
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,8
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,１マントにんぎょうのまき,,,0,9
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,9
たけし,名詞,固有名詞,人名,名,*,*,たけし,タケシ,タケシ,１マントにんぎょうのまき,,,0,9
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,１マントにんぎょうのまき,,,0,9
と,助詞,並立助詞,*,*,*,*,と,ト,ト,１マントにんぎょうのまき,,,0,9
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,9
いもうと,名詞,固有名詞,一般,*,*,*,いもうと,イモウト,イモウト,１マントにんぎょうのまき,,,0,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,9
しょうがっこう,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１マントにんぎょうのまき,,,0,9
一ねん生,名詞,一般,*,*,*,*,一年生,イチネンセイ,イチネンセイ,１マントにんぎょうのまき,,,0,9
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,9
きみ子,名詞,固有名詞,人名,名,*,*,きみ子,キミコ,キミコ,１マントにんぎょうのまき,,,0,9
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,１マントにんぎょうのまき,,,0,9
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,１マントにんぎょうのまき,,,0,9
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,9
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,１マントにんぎょうのまき,,,0,9
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,１マントにんぎょうのまき,,,0,9
ふう,名詞,非自立,形容動詞語幹,*,*,*,ふう,フウ,フー,１マントにんぎょうのまき,,,0,9
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,１マントにんぎょうのまき,,,0,9
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,１マントにんぎょうのまき,,,0,9
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１マントにんぎょうのまき,,,0,9
きかせる,動詞,自立,*,*,一段,基本形,きかせる,キカセル,キカセル,１マントにんぎょうのまき,,,0,9
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,9
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,１マントにんぎょうのまき,,,0,9
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき,,,0,9
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,9
「,記号,括弧開,*,*,*,*,「,「,「,１マントにんぎょうのまき,,,0,10
林,名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,１マントにんぎょうのまき,,,0,10
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき,,,0,10
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,10
かわり,名詞,一般,*,*,*,*,かわり,カワリ,カワリ,１マントにんぎょうのまき,,,0,10
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,１マントにんぎょうのまき,,,0,10
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１マントにんぎょうのまき,,,0,10
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,１マントにんぎょうのまき,,,0,10
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,10
けっして,副詞,一般,*,*,*,*,けっして,ケッシテ,ケッシテ,１マントにんぎょうのまき,,,0,10
わるい,形容詞,自立,*,*,形容詞・アウオ段,基本形,わるい,ワルイ,ワルイ,１マントにんぎょうのまき,,,0,10
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,１マントにんぎょうのまき,,,0,10
