表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,455
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,455
針,名詞,一般,*,*,*,*,針,ハリ,ハリ,象の鼻,0,456
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,456
穴,名詞,一般,*,*,*,*,穴,アナ,アナ,象の鼻,0,456
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,456
ある,連体詞,*,*,*,*,*,ある,アル,アル,象の鼻,0,457
朝,名詞,副詞可能,*,*,*,*,朝,アサ,アサ,象の鼻,0,457
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,457
明石,名詞,固有名詞,人名,姓,*,*,明石,アカシ,アカシ,象の鼻,0,457
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,457
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,457
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,457
お祖父さん,名詞,一般,*,*,*,*,お祖父さん,オジイサン,オジーサン,象の鼻,0,457
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,457
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,457
老眼鏡,名詞,一般,*,*,*,*,老眼鏡,ロウガンキョウ,ローガンキョー,象の鼻,0,457
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,457
どこか,名詞,一般,*,*,*,*,どこか,ドコカ,ドコカ,象の鼻,0,457
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,象の鼻,0,457
おき,動詞,自立,*,*,一段,連用形,おきる,オキ,オキ,象の鼻,0,457
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,象の鼻,0,457
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,457
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,457
いくら,副詞,一般,*,*,*,*,いくら,イクラ,イクラ,象の鼻,0,457
さがし,動詞,自立,*,*,五段・サ行,連用形,さがす,サガシ,サガシ,象の鼻,0,457
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,457
も,助詞,係助詞,*,*,*,*,も,モ,モ,象の鼻,0,457
見つから,動詞,自立,*,*,五段・ラ行,未然形,見つかる,ミツカラ,ミツカラ,象の鼻,0,457
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,象の鼻,0,457
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,象の鼻,0,457
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,457
新聞,名詞,一般,*,*,*,*,新聞,シンブン,シンブン,象の鼻,0,457
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,457
よめ,動詞,自立,*,*,一段,未然形,よめる,ヨメ,ヨメ,象の鼻,0,457
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,象の鼻,0,457
と,助詞,格助詞,引用,*,*,*,と,ト,ト,象の鼻,0,457
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,象の鼻,0,457
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,457
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,457
困っ,動詞,自立,*,*,五段・ラ行,連用タ接続,困る,コマッ,コマッ,象の鼻,0,457
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,457
いらっしゃい,動詞,非自立,*,*,五段・ラ行特殊,連用形,いらっしゃる,イラッシャイ,イラッシャイ,象の鼻,0,457
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,象の鼻,0,457
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,457
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,457
「,記号,括弧開,*,*,*,*,「,「,「,象の鼻,0,458
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,458
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,458
お前,名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,象の鼻,0,458
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,458
いたずら,名詞,サ変接続,*,*,*,*,いたずら,イタズラ,イタズラ,象の鼻,0,458
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,458
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,象の鼻,0,458
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,458
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,象の鼻,0,458
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,象の鼻,0,458
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,象の鼻,0,458
まい,助動詞,*,*,*,不変化型,基本形,まい,マイ,マイ,象の鼻,0,458
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,象の鼻,0,458
」,記号,括弧閉,*,*,*,*,」,」,」,象の鼻,0,458
お祖父さん,名詞,一般,*,*,*,*,お祖父さん,オジイサン,オジーサン,象の鼻,0,458
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,象の鼻,0,458
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,458
そば,名詞,一般,*,*,*,*,そば,ソバ,ソバ,象の鼻,0,458
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,象の鼻,0,458
い,動詞,自立,*,*,一段,連用形,いる,イ,イ,象の鼻,0,458
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,象の鼻,0,458
一太郎,名詞,固有名詞,人名,名,*,*,一太郎,イチタロウ,イチタロー,象の鼻,0,458
君,名詞,接尾,人名,*,*,*,君,クン,クン,象の鼻,0,458
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,458
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,象の鼻,0,458
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,458
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,458
笑い,動詞,自立,*,*,五段・ワ行促音便,連用形,笑う,ワライ,ワライ,象の鼻,0,458
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,象の鼻,0,458
