表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
郎,名詞,一般,*,*,*,*,郎,ロウ,ロー,,,,0,24
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,24
、,記号,読点,*,*,*,*,、,、,、,,,,0,24
一寸,副詞,一般,*,*,*,*,一寸,チョット,チョット,,,,0,24
子供,名詞,一般,*,*,*,*,子供,コドモ,コドモ,,,,0,24
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,24
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,,,0,24
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,24
、,記号,読点,*,*,*,*,、,、,、,,,,0,24
あばよ,名詞,固有名詞,一般,*,*,*,あばよ,アバヨ,アバヨ,,,,0,24
、,記号,読点,*,*,*,*,、,、,、,,,,0,24
しば,名詞,一般,*,*,*,*,しば,シバ,シバ,,,,0,24
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,,,0,24
、,記号,読点,*,*,*,*,、,、,、,,,,0,24
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,,,0,24
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,24
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,24
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,,,,0,24
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,24
、,記号,読点,*,*,*,*,、,、,、,,,,0,24
弁当箱,名詞,固有名詞,人名,一般,*,*,弁当箱,ベントウバコ,ベントーバコ,,,,0,24
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,24
ガチャガチャ,名詞,一般,*,*,*,*,ガチャガチャ,ガチャガチャ,ガチャガチャ,,,,0,24
云わ,動詞,自立,*,*,五段・ワ行促音便,未然形,云う,イワ,イワ,,,,0,24
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ,,,,0,24
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,24
、,記号,読点,*,*,*,*,、,、,、,,,,0,24
手,名詞,一般,*,*,*,*,手,テ,テ,,,,0,24
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,24
ふり,動詞,自立,*,*,五段・ラ行,連用形,ふる,フリ,フリ,,,,0,24
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,,,,0,24
挨拶,名詞,サ変接続,*,*,*,*,挨拶,アイサツ,アイサツ,,,,0,24
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,,,0,24
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,24
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,24
。,記号,句点,*,*,*,*,。,。,。,,,,0,24
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,,,0,25
、,記号,読点,*,*,*,*,、,、,、,,,,0,25
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,,,0,25
冬,名詞,一般,*,*,*,*,冬,フユ,フユ,,,,0,25
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,25
うしろ姿,名詞,一般,*,*,*,*,うしろ姿,ウシロスガタ,ウシロスガタ,,,,0,25
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,25
、,記号,読点,*,*,*,*,、,、,、,,,,0,25
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,25
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,25
決して,副詞,一般,*,*,*,*,決して,ケッシテ,ケッシテ,,,,0,25
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,,,,0,25
訳,名詞,非自立,一般,*,*,*,訳,ワケ,ワケ,,,,0,25
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,25
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,25
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,,,0,25
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,25
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,25
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,25
、,記号,読点,*,*,*,*,、,、,、,,,,0,25
むしろ,副詞,一般,*,*,*,*,むしろ,ムシロ,ムシロ,,,,0,25
余りに,副詞,助詞類接続,*,*,*,*,余りに,アマリニ,アマリニ,,,,0,25
みすぼらしく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,みすぼらしい,ミスボラシク,ミスボラシク,,,,0,25
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,,,,0,25
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,,,0,25
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,25
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,25
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,25
、,記号,読点,*,*,*,*,、,、,、,,,,0,25
眺め,名詞,一般,*,*,*,*,眺め,ナガメ,ナガメ,,,,0,25
眺め,動詞,自立,*,*,一段,連用形,眺める,ナガメ,ナガメ,,,,0,25
、,記号,読点,*,*,*,*,、,、,、,,,,0,25
幽か,名詞,形容動詞語幹,*,*,*,*,幽か,カスカ,カスカ,,,,0,25
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,25
甘い,形容詞,自立,*,*,形容詞・アウオ段,基本形,甘い,アマイ,アマイ,,,,0,25
気持,名詞,一般,*,*,*,*,気持,キモチ,キモチ,,,,0,25
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,25
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,25
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,,,,0,25
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,25
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,25
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,,,,0,25
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,25
。,記号,句点,*,*,*,*,。,。,。,,,,0,25
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,,,0,26
冬,名詞,一般,*,*,*,*,冬,フユ,フユ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
家,名詞,一般,*,*,*,*,家,イエ,イエ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
貧乏,名詞,形容動詞語幹,*,*,*,*,貧乏,ビンボウ,ビンボー,,,,0,26
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
家,名詞,一般,*,*,*,*,家,イエ,イエ,,,,0,26
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,26
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
大差,名詞,一般,*,*,*,*,大差,タイサ,タイサ,,,,0,26
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,26
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,,,0,26
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,26
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
彼女,名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ,,,,0,26
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,26
館,名詞,一般,*,*,*,*,館,カン,カン,,,,0,26
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,26
帰る,動詞,自立,*,*,五段・ラ行,基本形,帰る,カエル,カエル,,,,0,26
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,26
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,26
、,記号,読点,*,*,*,*,、,、,、,,,,0,26
例,名詞,一般,*,*,*,*,例,レイ,レイ,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
青木,名詞,固有名詞,人名,姓,*,*,青木,アオキ,アオキ,,,,0,26
綿,名詞,一般,*,*,*,*,綿,メン,メン,,,,0,26
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,26
洋服,名詞,一般,*,*,*,*,洋服,ヨウフク,ヨーフク,,,,0,26
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,26
ぬい,動詞,自立,*,*,五段・ガ行,連用タ接続,ぬぐ,ヌイ,ヌイ,,,,0,26
