表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
声,名詞,一般,*,*,*,*,声,コエ,コエ,しのびよる怪物,3,7
も,助詞,係助詞,*,*,*,*,も,モ,モ,しのびよる怪物,3,7
聞こえ,動詞,自立,*,*,一段,連用形,聞こえる,キコエ,キコエ,しのびよる怪物,3,7
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,しのびよる怪物,3,7
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,しのびよる怪物,3,7
。,記号,句点,*,*,*,*,。,。,。,しのびよる怪物,3,7
この,連体詞,*,*,*,*,*,この,コノ,コノ,しのびよる怪物,3,8
勉強,名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,しのびよる怪物,3,8
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,しのびよる怪物,3,8
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,しのびよる怪物,3,8
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,8
壮一,名詞,固有名詞,人名,名,*,*,壮一,ソウイチ,ソーイチ,しのびよる怪物,3,8
にいさん,名詞,一般,*,*,*,*,にいさん,ニイサン,ニーサン,しのびよる怪物,3,8
と,助詞,並立助詞,*,*,*,*,と,ト,ト,しのびよる怪物,3,8
ふたり,名詞,一般,*,*,*,*,ふたり,フタリ,フタリ,しのびよる怪物,3,8
で,助詞,格助詞,一般,*,*,*,で,デ,デ,しのびよる怪物,3,8
つかっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,つかう,ツカッ,ツカッ,しのびよる怪物,3,8
て,助詞,接続助詞,*,*,*,*,て,テ,テ,しのびよる怪物,3,8
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,しのびよる怪物,3,8
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,しのびよる怪物,3,8
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,しのびよる怪物,3,8
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,しのびよる怪物,3,8
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,8
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,しのびよる怪物,3,8
にいさん,名詞,一般,*,*,*,*,にいさん,ニイサン,ニーサン,しのびよる怪物,3,8
も,助詞,係助詞,*,*,*,*,も,モ,モ,しのびよる怪物,3,8
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,8
どこか,名詞,一般,*,*,*,*,どこか,ドコカ,ドコカ,しのびよる怪物,3,8
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,しのびよる怪物,3,8
行っ,動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,しのびよる怪物,3,8
て,助詞,接続助詞,*,*,*,*,て,テ,テ,しのびよる怪物,3,8
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,しのびよる怪物,3,8
て,助詞,接続助詞,*,*,*,*,て,テ,テ,しのびよる怪物,3,8
、,記号,読点,*,*,*,*,、,、,、,しのびよる怪物,3,8
賢二,名詞,固有名詞,人名,名,*,*,賢二,ケンジ,ケンジ,しのびよる怪物,3,8
君,名詞,接尾,人名,*,*,*,君,クン,クン,しのびよる怪物,3,8
