表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,６,,5,33
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,33
。,記号,句点,*,*,*,*,。,。,。,,６,,5,33
一平くん,名詞,固有名詞,人名,一般,*,*,一平くん,イッペイクン,イッペイクン,,６,,5,34
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,34
、,記号,読点,*,*,*,*,、,、,、,,６,,5,34
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,６,,5,34
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,６,,5,34
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,６,,5,34
あだ名,名詞,一般,*,*,*,*,あだ名,アダナ,アダナ,,６,,5,34
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,６,,5,34
、,記号,読点,*,*,*,*,、,、,、,,６,,5,34
おくびょうもの,名詞,一般,*,*,*,*,臆病者,オクビョウモノ,オクビョーモノ,,６,,5,34
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,６,,5,34
けれども,助詞,接続助詞,*,*,*,*,けれども,ケレドモ,ケレドモ,,６,,5,34
、,記号,読点,*,*,*,*,、,、,、,,６,,5,34
すばしこく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,すばしこい,スバシコク,スバシコク,,６,,5,34
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,34
、,記号,読点,*,*,*,*,、,、,、,,６,,5,34
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,,６,,5,34
気,名詞,一般,*,*,*,*,気,キ,キ,,６,,5,34
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,６,,5,34
つく,動詞,自立,*,*,五段・カ行イ音便,基本形,つく,ツク,ツク,,６,,5,34
子,名詞,一般,*,*,*,*,子,コ,コ,,６,,5,34
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,６,,5,34
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,34
。,記号,句点,*,*,*,*,。,。,。,,６,,5,34
「,記号,括弧開,*,*,*,*,「,「,「,,６,,5,35
一本,名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,,６,,5,35
スギ,名詞,一般,*,*,*,*,スギ,スギ,スギ,,６,,5,35
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,６,,5,35
てっぺん,名詞,一般,*,*,*,*,てっぺん,テッペン,テッペン,,６,,5,35
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,６,,5,35
はいれ,名詞,一般,*,*,*,*,歯入れ,ハイレ,ハイレ,,６,,5,35
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,,６,,5,35
、,記号,読点,*,*,*,*,、,、,、,,６,,5,35
どういう,連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,,６,,5,35
いみ,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,いみい,イミ,イミ,,６,,5,35
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,,６,,5,35
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,６,,5,35
。,記号,句点,*,*,*,*,。,。,。,,６,,5,35
」,記号,括弧閉,*,*,*,*,」,」,」,,６,,5,36
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,,６,,5,36
くん,名詞,接尾,人名,*,*,*,くん,クン,クン,,６,,5,36
がく,名詞,一般,*,*,*,*,がく,ガク,ガク,,６,,5,36
びをかしげていますと,名詞,一般,*,*,*,*,*,*,*,,６,,5,36
、,記号,読点,*,*,*,*,、,、,、,,６,,5,36
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,,６,,5,36
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,,６,,5,36
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,６,,5,36
、,記号,読点,*,*,*,*,、,、,、,,６,,5,36
とんきょう,名詞,形容動詞語幹,*,*,*,*,頓狂,トンキョウ,トンキョー,,６,,5,36
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,６,,5,36
声,名詞,一般,*,*,*,*,声,コエ,コエ,,６,,5,36
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,６,,5,36
、,記号,読点,*,*,*,*,、,、,、,,６,,5,36
「,記号,括弧開,*,*,*,*,「,「,「,,６,,5,36
きっと,名詞,一般,*,*,*,*,キット,キット,キット,,６,,5,36
、,記号,読点,*,*,*,*,、,、,、,,６,,5,36
てっぺん,名詞,一般,*,*,*,*,てっぺん,テッペン,テッペン,,６,,5,36
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,36
あな,名詞,一般,*,*,*,*,あな,アナ,アナ,,６,,5,36
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,６,,5,36
あい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,あく,アイ,アイ,,６,,5,36
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,36
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,６,,5,36
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,,６,,5,36
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,６,,5,36
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,６,,5,36
。,記号,句点,*,*,*,*,。,。,。,,６,,5,36
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,,６,,5,37
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,６,,5,37
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,６,,5,37
いる,動詞,自立,*,*,一段,基本形,いる,イル,イル,,６,,5,37
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,,６,,5,37
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,６,,5,37
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,６,,5,37
。,記号,句点,*,*,*,*,。,。,。,,６,,5,37
ぼく,名詞,代名詞,一般,*,*,*,ぼく,ボク,ボク,,６,,5,38
、,記号,読点,*,*,*,*,、,、,、,,６,,5,38
のぼっ,動詞,自立,*,*,五段・ラ行,連用タ接続,のぼる,ノボッ,ノボッ,,６,,5,38
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,38
みよ,動詞,非自立,*,*,一段,未然ウ接続,みる,ミヨ,ミヨ,,６,,5,38
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,６,,5,38
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,６,,5,38
。,記号,句点,*,*,*,*,。,。,。,,６,,5,38
」,記号,括弧閉,*,*,*,*,」,」,」,,６,,5,39
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,６,,5,39
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,,６,,5,39
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,39
、,記号,読点,*,*,*,*,、,、,、,,６,,5,39
こし,動詞,自立,*,*,五段・サ行,連用形,こす,コシ,コシ,,６,,5,39
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,６,,5,39
まきつけ,動詞,自立,*,*,一段,連用形,まきつける,マキツケ,マキツケ,,６,,5,39
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,６,,5,39
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,６,,5,39
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,６,,5,39
長い,形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,,６,,5,39
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,６,,5,39
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,,６,,5,39
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,６,,5,39
ほどき,動詞,自立,*,*,五段・カ行イ音便,連用形,ほどく,ホドキ,ホドキ,,６,,5,39
始め,動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,,６,,5,39
