表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,（上）顕れたる事実,,0,228
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,（上）顕れたる事実,,0,228
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,228
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,（上）顕れたる事実,,0,228
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,228
酒宴,名詞,一般,*,*,*,*,酒宴,シュエン,シュエン,,（上）顕れたる事実,,0,228
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,228
終る,動詞,自立,*,*,五段・ラ行,基本形,終る,オワル,オワル,,（上）顕れたる事実,,0,228
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,228
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,228
待遠しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,待遠しい,マチドオシク,マチドーシク,,（上）顕れたる事実,,0,228
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,（上）顕れたる事実,,0,228
仕様,名詞,一般,*,*,*,*,仕様,シヨウ,シヨー,,（上）顕れたる事実,,0,228
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,（上）顕れたる事実,,0,228
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,（上）顕れたる事実,,0,228
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,（上）顕れたる事実,,0,228
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,（上）顕れたる事実,,0,228
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,228
伯父,名詞,一般,*,*,*,*,伯父,オジ,オジ,,（上）顕れたる事実,,0,229
夫妻,名詞,一般,*,*,*,*,夫妻,フサイ,フサイ,,（上）顕れたる事実,,0,229
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,,（上）顕れたる事実,,0,229
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,229
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,229
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,,（上）顕れたる事実,,0,229
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,229
