表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,5
濃い,形容詞,自立,*,*,形容詞・アウオ段,基本形,濃い,コイ,コイ,歯車の音,0,6
口ひげ,名詞,一般,*,*,*,*,口ひげ,クチヒゲ,クチヒゲ,歯車の音,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,6
下,名詞,一般,*,*,*,*,下,シタ,シタ,歯車の音,0,6
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,歯車の音,0,6
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,6
息,名詞,サ変接続,*,*,*,*,息,イキ,イキ,歯車の音,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,歯車の音,0,6
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,歯車の音,0,6
たび,名詞,非自立,副詞可能,*,*,*,たび,タビ,タビ,歯車の音,0,6
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,6
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,6
白い,形容詞,自立,*,*,形容詞・アウオ段,基本形,白い,シロイ,シロイ,歯車の音,0,6
煙,名詞,一般,*,*,*,*,煙,ケムリ,ケムリ,歯車の音,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,歯車の音,0,6
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,歯車の音,0,6
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,歯車の音,0,6
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,歯車の音,0,6
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,6
立ちのぼっ,動詞,自立,*,*,五段・ラ行,連用タ接続,立ちのぼる,タチノボッ,タチノボッ,歯車の音,0,6
て,助詞,接続助詞,*,*,*,*,て,テ,テ,歯車の音,0,6
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,歯車の音,0,6
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,歯車の音,0,6
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,6
寒さ,名詞,一般,*,*,*,*,寒さ,サムサ,サムサ,歯車の音,0,7
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,歯車の音,0,7
息,名詞,サ変接続,*,*,*,*,息,イキ,イキ,歯車の音,0,7
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,歯車の音,0,7
こおる,動詞,自立,*,*,五段・ラ行,基本形,こおる,コオル,コール,歯車の音,0,7
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,歯車の音,0,7
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,歯車の音,0,7
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,7
「,記号,括弧開,*,*,*,*,「,「,「,歯車の音,0,8
オヤ,名詞,固有名詞,一般,*,*,*,オヤ,オヤ,オヤ,歯車の音,0,8
、,記号,読点,*,*,*,*,、,、,、,歯車の音,0,8
へん,助動詞,*,*,*,不変化型,基本形,へん,ヘン,ヘン,歯車の音,0,8
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,歯車の音,0,8
やつ,名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,歯車の音,0,8
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,歯車の音,0,8
なあ,助詞,終助詞,*,*,*,*,なあ,ナア,ナー,歯車の音,0,8
。,記号,句点,*,*,*,*,。,。,。,歯車の音,0,8
