表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >,0,4
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,4
あろ,助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ,< 章なし >,0,4
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,4
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,4
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,< 章なし >,0,5
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,5
最後,名詞,一般,*,*,*,*,最後,サイゴ,サイゴ,< 章なし >,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,5
揚句,名詞,副詞可能,*,*,*,*,揚句,アゲク,アゲク,< 章なし >,0,5
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >,0,5
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ,< 章なし >,0,5
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,5
発句,名詞,一般,*,*,*,*,発句,ホック,ホック,< 章なし >,0,5
と,助詞,格助詞,一般,*,*,*,と,ト,ト,< 章なし >,0,5
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,5
似,動詞,自立,*,*,一段,連用形,似る,ニ,ニ,< 章なし >,0,5
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,5
つか,動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ,< 章なし >,0,5
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,< 章なし >,0,5
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ,< 章なし >,0,5
と,助詞,格助詞,一般,*,*,*,と,ト,ト,< 章なし >,0,5
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,< 章なし >,0,5
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >,0,5
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,5
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,< 章なし >,0,5
得る,動詞,非自立,*,*,一段,基本形,得る,エル,エル,< 章なし >,0,5
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,5
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,6
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,6
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >,0,6
連作,名詞,サ変接続,*,*,*,*,連作,レンサク,レンサク,< 章なし >,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,6
第,接頭詞,数接続,*,*,*,*,第,ダイ,ダイ,< 章なし >,0,6
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >,0,6
回,名詞,接尾,助数詞,*,*,*,回,カイ,カイ,< 章なし >,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,6
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,6
ホフマン,名詞,固有名詞,人名,姓,*,*,ホフマン,ホフマン,ホフマン,< 章なし >,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,6
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,6
砂男,名詞,固有名詞,人名,名,*,*,砂男,スナオ,スナオ,< 章なし >,0,6
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,6
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,< 章なし >,0,6
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,6
ワイルド,名詞,形容動詞語幹,*,*,*,*,ワイルド,ワイルド,ワイルド,< 章なし >,0,6
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,6
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >,0,6
ドリアン・グレイ,名詞,固有名詞,人名,一般,*,*,ドリアン・グレイ,ドリアングレイ,ドリアングレイ,< 章なし >,0,6
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >,0,6
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,6
連想,名詞,サ変接続,*,*,*,*,連想,レンソウ,レンソー,< 章なし >,0,6
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,6
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,< 章なし >,0,6
書い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,< 章なし >,0,6
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,6
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,6
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >,0,7
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,7
すなお,名詞,形容動詞語幹,*,*,*,*,素直,スナオ,スナオ,< 章なし >,0,7
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >,0,7
引き,動詞,自立,*,*,五段・カ行イ音便,連用形,引く,ヒキ,ヒキ,< 章なし >,0,7
のばせ,動詞,自立,*,*,五段・サ行,仮定形,のばす,ノバセ,ノバセ,< 章なし >,0,7
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,< 章なし >,0,7
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,7
幻想,名詞,サ変接続,*,*,*,*,幻想,ゲンソウ,ゲンソー,< 章なし >,0,7
怪奇,名詞,一般,*,*,*,*,怪奇,カイキ,カイキ,< 章なし >,0,7
