表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ,,インパーフェクト・クライム,,0,2
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,,インパーフェクト・クライム,,0,2
蒐集,名詞,サ変接続,*,*,*,*,蒐集,シュウシュウ,シューシュー,,インパーフェクト・クライム,,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,インパーフェクト・クライム,,0,2
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,インパーフェクト・クライム,,0,2
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,,インパーフェクト・クライム,,0,2
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,インパーフェクト・クライム,,0,2
。,記号,句点,*,*,*,*,。,。,。,,インパーフェクト・クライム,,0,2
第一,名詞,固有名詞,一般,*,*,*,第一,ダイイチ,ダイイチ,,インパーフェクト・クライム,,0,3
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,インパーフェクト・クライム,,0,3
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,,インパーフェクト・クライム,,0,3
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,インパーフェクト・クライム,,0,3
」,記号,括弧閉,*,*,*,*,」,」,」,,インパーフェクト・クライム,,0,3
署長,名詞,一般,*,*,*,*,署長,ショチョウ,ショチョー,,インパーフェクト・クライム,,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,インパーフェクト・クライム,,0,3
果して,副詞,一般,*,*,*,*,果して,ハタシテ,ハタシテ,,インパーフェクト・クライム,,0,3
、,記号,読点,*,*,*,*,、,、,、,,インパーフェクト・クライム,,0,3
待っ,動詞,自立,*,*,五段・タ行,連用タ接続,待つ,マッ,マッ,,インパーフェクト・クライム,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,インパーフェクト・クライム,,0,3
