表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
お喋り,名詞,一般,*,*,*,*,お喋り,オシャベリ,オシャベリ,,,,0,177
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,177
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,177
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ,,,,0,177
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,177
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,177
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,177
、,記号,読点,*,*,*,*,、,、,、,,,,0,177
朝,名詞,副詞可能,*,*,*,*,朝,アサ,アサ,,,,0,177
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,177
なれ,動詞,自立,*,*,五段・ラ行,仮定形,なる,ナレ,ナレ,,,,0,177
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,,,0,177
すっかり,副詞,一般,*,*,*,*,すっかり,スッカリ,スッカリ,,,,0,177
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,,,,0,177
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,177
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,,,0,177
。,記号,句点,*,*,*,*,。,。,。,,,,0,177
つまり,接続詞,*,*,*,*,*,つまり,ツマリ,ツマリ,,,,0,178
他人,名詞,一般,*,*,*,*,他人,タニン,タニン,,,,0,178
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,178
教え,動詞,自立,*,*,一段,未然形,教える,オシエ,オシエ,,,,0,178
られ,動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,,,,0,178
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,178
初めて,副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,,,,0,178
『,記号,括弧開,*,*,*,*,『,『,『,,,,0,178
俺,名詞,代名詞,一般,*,*,*,俺,オレ,オレ,,,,0,178
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,178
夢遊病,名詞,一般,*,*,*,*,夢遊病,ムユウビョウ,ムユービョー,,,,0,178
者,名詞,接尾,一般,*,*,*,者,シャ,シャ,,,,0,178
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,178
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,178
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,178
なあ,助詞,終助詞,*,*,*,*,なあ,ナア,ナー,,,,0,178
』,記号,括弧閉,*,*,*,*,』,』,』,,,,0,178
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,178
思う,動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,,,,0,178
位,名詞,一般,*,*,*,*,位,クライ,クライ,,,,0,178
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,178
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,178
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,,,,0,178
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,,,0,178
。,記号,句点,*,*,*,*,。,。,。,,,,0,178
医者,名詞,一般,*,*,*,*,医者,イシャ,イシャ,,,,0,179
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,179
云わ,動詞,自立,*,*,五段・ワ行促音便,未然形,云う,イワ,イワ,,,,0,179
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル,,,,0,179
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,,,0,179
、,記号,読点,*,*,*,*,、,、,、,,,,0,179
色々,副詞,助詞類接続,*,*,*,*,色々,イロイロ,イロイロ,,,,0,179
肉体,名詞,一般,*,*,*,*,肉体,ニクタイ,ニクタイ,,,,0,179
上,名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー,,,,0,179
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,179
徴候,名詞,一般,*,*,*,*,徴候,チョウコウ,チョーコー,,,,0,179
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,179
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,,,0,179
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,179
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,179
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,,,0,179
、,記号,読点,*,*,*,*,、,、,、,,,,0,179
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,179
とても,副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ,,,,0,179
実に,副詞,一般,*,*,*,*,実に,ジツニ,ジツニ,,,,0,179
漠,名詞,固有名詞,人名,名,*,*,漠,バク,バク,,,,0,179
と,助詞,格助詞,一般,*,*,*,と,ト,ト,,,,0,179
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,179
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,179
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,179
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,179
、,記号,読点,*,*,*,*,、,、,、,,,,0,179
発作,名詞,一般,*,*,*,*,発作,ホッサ,ホッサ,,,,0,179
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,179
伴っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,伴う,トモナッ,トモナッ,,,,0,179
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,179
初めて,副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,,,,0,179
決せ,動詞,自立,*,*,サ変・−スル,未然レル接続,決する,ケッセ,ケッセ,,,,0,179
られる,動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル,,,,0,179
程度,名詞,一般,*,*,*,*,程度,テイド,テイド,,,,0,179
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,179
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,179
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,179
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,,,0,179
では,名詞,一般,*,*,*,*,出端,デハ,デハ,,,,0,179
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,179
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,,,0,179
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,,,0,179
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,179
。,記号,句点,*,*,*,*,。,。,。,,,,0,179
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,180
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,180
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,,,,0,180
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,180
疑深い,形容詞,自立,*,*,形容詞・アウオ段,基本形,疑深い,ウタガイブカイ,ウタガイブカイ,,,,0,180
せい,名詞,非自立,一般,*,*,*,せい,セイ,セイ,,,,0,180
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,180
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,180
、,記号,読点,*,*,*,*,、,、,、,,,,0,180
あなた,名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ,,,,0,180
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,180
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,,,,0,180
無,接頭詞,名詞接続,*,*,*,*,無,ム,ム,,,,0,180
雑作,名詞,一般,*,*,*,*,雑作,ゾウサ,ゾーサ,,,,0,180
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,180
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,,,,0,180
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,180
病気,名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ,,,,0,180
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,180
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,,,0,180
信じ,動詞,自立,*,*,一段,連用形,信じる,シンジ,シンジ,,,,0,180
なすっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なする,ナスッ,ナスッ,,,,0,180
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,180
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,180
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,,,,0,180
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,180
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,,,0,180
」,記号,括弧閉,*,*,*,*,」,」,」,,,,0,180
井原,名詞,固有名詞,人名,姓,*,*,井原,イハラ,イハラ,,,,0,180
氏,名詞,接尾,人名,*,*,*,氏,シ,シ,,,,0,180
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,180
、,記号,読点,*,*,*,*,、,、,、,,,,0,180
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,,,,0,180
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,180
えたい,名詞,一般,*,*,*,*,えたい,エタイ,エタイ,,,,0,180
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,180
知れ,動詞,自立,*,*,一段,未然形,知れる,シレ,シレ,,,,0,180
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,,,,0,180
不安,名詞,形容動詞語幹,*,*,*,*,不安,フアン,フアン,,,,0,180
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,180
感じ,動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,,,,0,180
始め,動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,,,,0,180
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,180
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,180
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,180
。,記号,句点,*,*,*,*,。,。,。,,,,0,180
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,181
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,181
、,記号,読点,*,*,*,*,、,、,、,,,,0,181
斎藤氏,名詞,固有名詞,一般,*,*,*,斎藤氏,サイトウシ,サイトーシ,,,,0,181
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,181
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,,,,0,181
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,181
来,動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,,,,0,181
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,181
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,,,0,181
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,,,,0,181
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,,,,0,181
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,181
、,記号,読点,*,*,*,*,、,、,、,,,,0,181
寧ろ,副詞,一般,*,*,*,*,寧ろ,ムシロ,ムシロ,,,,0,181
対,名詞,接続詞的,*,*,*,*,対,タイ,タイ,,,,0,181
手,名詞,一般,*,*,*,*,手,テ,テ,,,,0,181
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,181
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,,,,0,181
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,181
恐ろしい,形容詞,自立,*,*,形容詞・イ段,基本形,恐ろしい,オソロシイ,オソロシイ,,,,0,181
容貌,名詞,一般,*,*,*,*,容貌,ヨウボウ,ヨーボー,,,,0,181
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,181
、,記号,読点,*,*,*,*,、,、,、,,,,0,181
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,181
容貌,名詞,一般,*,*,*,*,容貌,ヨウボウ,ヨーボー,,,,0,181
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,181
裏,名詞,一般,*,*,*,*,裏,ウラ,ウラ,,,,0,181
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,181
ひそむ,動詞,自立,*,*,五段・マ行,基本形,ひそむ,ヒソム,ヒソム,,,,0,181
何者,名詞,一般,*,*,*,*,何者,ナニモノ,ナニモノ,,,,0,181
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,181
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,181
来,動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,,,,0,181
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,181
不安,名詞,形容動詞語幹,*,*,*,*,不安,フアン,フアン,,,,0,181
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,,,0,181
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,,,,0,181
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,181
。,記号,句点,*,*,*,*,。,。,。,,,,0,181
併,名詞,一般,*,*,*,*,*,*,*,,,,0,182
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,182
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,182
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,182
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,,,,0,182
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,182
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,,,,0,182
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,182
圧,名詞,一般,*,*,*,*,*,*,*,,,,0,182
つけ,動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ,,,,0,182
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,,,,0,182
答え,動詞,自立,*,*,一段,連用形,答える,コタエ,コタエ,,,,0,182
