表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,一、その翌日,,0,37
、,記号,読点,*,*,*,*,、,、,、,,一、その翌日,,0,37
箒,名詞,一般,*,*,*,*,箒,ホウキ,ホーキ,,一、その翌日,,0,37
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,一、その翌日,,0,37
振り上げ,動詞,自立,*,*,一段,連用形,振り上げる,フリアゲ,フリアゲ,,一、その翌日,,0,37
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一、その翌日,,0,37
、,記号,読点,*,*,*,*,、,、,、,,一、その翌日,,0,37
仁王立ち,名詞,一般,*,*,*,*,仁王立ち,ニオウダチ,ニオーダチ,,一、その翌日,,0,37
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,一、その翌日,,0,37
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,一、その翌日,,0,37
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一、その翌日,,0,37
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,一、その翌日,,0,37
兄貴,名詞,一般,*,*,*,*,兄貴,アニキ,アニキ,,一、その翌日,,0,37
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一、その翌日,,0,37
影,名詞,一般,*,*,*,*,影,カゲ,カゲ,,一、その翌日,,0,37
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,一、その翌日,,0,37
うつっ,動詞,自立,*,*,五段・ラ行,連用タ接続,うつる,ウツッ,ウツッ,,一、その翌日,,0,37
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一、その翌日,,0,37
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,一、その翌日,,0,37
たり,助詞,並立助詞,*,*,*,*,たり,タリ,タリ,,一、その翌日,,0,37
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,一、その翌日,,0,37
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,一、その翌日,,0,37
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,一、その翌日,,0,37
。,記号,句点,*,*,*,*,。,。,。,,一、その翌日,,0,37
ハッと,副詞,一般,*,*,*,*,ハッと,ハット,ハット,,一、その翌日,,0,38
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,一、その翌日,,0,38
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一、その翌日,,0,38
立ちすくん,動詞,自立,*,*,五段・マ行,連用タ接続,立ちすくむ,タチスクン,タチスクン,,一、その翌日,,0,38
で,助詞,接続助詞,*,*,*,*,で,デ,デ,,一、その翌日,,0,38
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,一、その翌日,,0,38
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,一、その翌日,,0,38
、,記号,読点,*,*,*,*,、,、,、,,一、その翌日,,0,38
ガラガラ,名詞,形容動詞語幹,*,*,*,*,ガラガラ,ガラガラ,ガラガラ,,一、その翌日,,0,38
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,一、その翌日,,0,38
ひどい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひどい,ヒドイ,ヒドイ,,一、その翌日,,0,38
