表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
、,記号,読点,*,*,*,*,、,、,、,,地底の森,,20,117
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,,地底の森,,20,117
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,地底の森,,20,117
大きい,形容詞,自立,*,*,形容詞・イ段,基本形,大きい,オオキイ,オーキイ,,地底の森,,20,117
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,,地底の森,,20,117
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,地底の森,,20,117
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,地底の森,,20,117
。,記号,句点,*,*,*,*,。,。,。,,地底の森,,20,117
」,記号,括弧閉,*,*,*,*,」,」,」,,地底の森,,20,118
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,地底の森,,20,118
、,記号,読点,*,*,*,*,、,、,、,,地底の森,,20,118
一つ目小僧,名詞,固有名詞,人名,一般,*,*,一つ目小僧,ヒトツメコゾウ,ヒトツメコゾー,,地底の森,,20,118
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,地底の森,,20,118
仮面,名詞,一般,*,*,*,*,仮面,カメン,カメン,,地底の森,,20,118
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,地底の森,,20,118
かぶっ,動詞,自立,*,*,五段・ラ行,連用タ接続,かぶる,カブッ,カブッ,,地底の森,,20,118
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,地底の森,,20,118
ポケット,名詞,一般,*,*,*,*,ポケット,ポケット,ポケット,,地底の森,,20,118
小僧,名詞,一般,*,*,*,*,小僧,コゾウ,コゾー,,地底の森,,20,118
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,地底の森,,20,118
、,記号,読点,*,*,*,*,、,、,、,,地底の森,,20,118
にらみつけ,動詞,自立,*,*,一段,連用形,にらみつける,ニラミツケ,ニラミツケ,,地底の森,,20,118
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,地底の森,,20,118
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,地底の森,,20,118
。,記号,句点,*,*,*,*,。,。,。,,地底の森,,20,118
「,記号,括弧開,*,*,*,*,「,「,「,,地底の森,,20,119
ウフフフフ,名詞,固有名詞,組織,*,*,*,*,*,*,,地底の森,,20,119
、,記号,読点,*,*,*,*,、,、,、,,地底の森,,20,119
とうとう,副詞,一般,*,*,*,*,とうとう,トウトウ,トートー,,地底の森,,20,119
、,記号,読点,*,*,*,*,、,、,、,,地底の森,,20,119
きが,名詞,サ変接続,*,*,*,*,きが,キガ,キガ,,地底の森,,20,119
つい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,,地底の森,,20,119
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,地底の森,,20,119
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,地底の森,,20,119
かい,助詞,終助詞,*,*,*,*,かい,カイ,カイ,,地底の森,,20,119
。,記号,句点,*,*,*,*,。,。,。,,地底の森,,20,119
」,記号,括弧閉,*,*,*,*,」,」,」,,地底の森,,20,120
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,,地底の森,,20,120
君,名詞,接尾,人名,*,*,*,君,クン,クン,,地底の森,,20,120
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,地底の森,,20,120
、,記号,読点,*,*,*,*,、,、,、,,地底の森,,20,120
さも,副詞,一般,*,*,*,*,さも,サモ,サモ,,地底の森,,20,120
おかし,形容詞,自立,*,*,形容詞・イ段,ガル接続,おかしい,オカシ,オカシ,,地底の森,,20,120
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー,,地底の森,,20,120
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,地底の森,,20,120
笑い,動詞,自立,*,*,五段・ワ行促音便,連用形,笑う,ワライ,ワライ,,地底の森,,20,120
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,地底の森,,20,120
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,地底の森,,20,120
