表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
、,記号,読点,*,*,*,*,、,、,、,,,,0,46
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,,,0,46
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,46
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,46
やつれ,動詞,自立,*,*,一段,連用形,やつれる,ヤツレ,ヤツレ,,,,0,46
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,46
顔,名詞,一般,*,*,*,*,顔,カオ,カオ,,,,0,46
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,46
浮べ,動詞,自立,*,*,一段,連用形,浮べる,ウカベ,ウカベ,,,,0,46
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,46
。,記号,句点,*,*,*,*,。,。,。,,,,0,46
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,47
外,名詞,一般,*,*,*,*,外,ソト,ソト,,,,0,47
、,記号,読点,*,*,*,*,、,、,、,,,,0,47
食器,名詞,一般,*,*,*,*,食器,ショッキ,ショッキ,,,,0,47
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,47
面,名詞,一般,*,*,*,*,面,メン,メン,,,,0,47
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,47
とか,助詞,並立助詞,*,*,*,*,とか,トカ,トカ,,,,0,47
室内,名詞,一般,*,*,*,*,室内,シツナイ,シツナイ,,,,0,47
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,47
光っ,動詞,自立,*,*,五段・ラ行,連用タ接続,光る,ヒカッ,ヒカッ,,,,0,47
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,47
金具,名詞,一般,*,*,*,*,金具,カナグ,カナグ,,,,0,47
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,47
表面,名詞,一般,*,*,*,*,表面,ヒョウメン,ヒョーメン,,,,0,47
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,47
とか,助詞,並立助詞,*,*,*,*,とか,トカ,トカ,,,,0,47
、,記号,読点,*,*,*,*,、,、,、,,,,0,47
いやしくも,副詞,一般,*,*,*,*,いやしくも,イヤシクモ,イヤシクモ,,,,0,47
物,名詞,一般,*,*,*,*,物,モノ,モノ,,,,0,47
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,47
影,名詞,一般,*,*,*,*,影,カゲ,カゲ,,,,0,47
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,,,0,47
映る,動詞,自立,*,*,五段・ラ行,基本形,映る,ウツル,ウツル,,,,0,47
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,,,,0,47
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,47
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,47
、,記号,読点,*,*,*,*,、,、,、,,,,0,47
きっと,副詞,一般,*,*,*,*,きっと,キット,キット,,,,0,47
或は,接続詞,*,*,*,*,*,或は,アルイハ,アルイワ,,,,0,47
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,,,,0,47
、,記号,読点,*,*,*,*,、,、,、,,,,0,47
或は,接続詞,*,*,*,*,*,或は,アルイハ,アルイワ,,,,0,47
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク,,,,0,47
、,記号,読点,*,*,*,*,、,、,、,,,,0,47
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,,,0,47
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ,,,,0,47
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,47
現,接頭詞,名詞接続,*,*,*,*,現,ゲン,ゲン,,,,0,47
わし,名詞,一般,*,*,*,*,わし,ワシ,ワシ,,,,0,47
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,,,0,47
。,記号,句点,*,*,*,*,。,。,。,,,,0,47
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,,,,0,48
、,記号,読点,*,*,*,*,、,、,、,,,,0,48
窓,名詞,一般,*,*,*,*,窓,マド,マド,,,,0,48
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,48
差,名詞,一般,*,*,*,*,差,サ,サ,,,,0,48
込む,動詞,自立,*,*,五段・マ行,基本形,込む,コム,コム,,,,0,48
僅か,副詞,助詞類接続,*,*,*,*,僅か,ワズカ,ワズカ,,,,0,48
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,48
日光,名詞,固有名詞,地域,一般,*,*,日光,ニッコウ,ニッコー,,,,0,48
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ,,,,0,48
、,記号,読点,*,*,*,*,、,、,、,,,,0,48
照,名詞,固有名詞,人名,名,*,*,照,アキラ,アキラ,,,,0,48
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,48
出さ,動詞,非自立,*,*,五段・サ行,未然形,出す,ダサ,ダサ,,,,0,48
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,,,0,48
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,48
私自身,名詞,固有名詞,一般,*,*,*,私自身,ワタシジシン,ワタシジシン,,,,0,48
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,48
影,名詞,一般,*,*,*,*,影,カゲ,カゲ,,,,0,48
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,48
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,,,,0,48
、,記号,読点,*,*,*,*,、,、,、,,,,0,48
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,48
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,48
おびやかさ,動詞,自立,*,*,五段・サ行,未然形,おびやかす,オビヤカサ,オビヤカサ,,,,0,48
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,,,0,48
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,48
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,48
。,記号,句点,*,*,*,*,。,。,。,,,,0,48
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,,,0,49
、,記号,読点,*,*,*,*,、,、,、,,,,0,49
おしまい,名詞,一般,*,*,*,*,おしまい,オシマイ,オシマイ,,,,0,49
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,49
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,49
、,記号,読点,*,*,*,*,、,、,、,,,,0,49
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,,,,0,49
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,,,,0,49
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,49
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,,,,0,49
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,,,0,49
。,記号,句点,*,*,*,*,。,。,。,,,,0,49
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,50
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,50
私自身,名詞,固有名詞,一般,*,*,*,私自身,ワタシジシン,ワタシジシン,,,,0,50
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,50
肉体,名詞,一般,*,*,*,*,肉体,ニクタイ,ニクタイ,,,,0,50
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,50
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,,,,0,50
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,50
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,50
恐れる,動詞,自立,*,*,一段,基本形,恐れる,オソレル,オソレル,,,,0,50
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,,,,0,50
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,50
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,,,0,50
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,50
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,50
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,50
。,記号,句点,*,*,*,*,。,。,。,,,,0,50
死ん,動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,,,,0,51
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,,,,0,51
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,,,,0,51
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,,,0,51
寸分,名詞,副詞可能,*,*,*,*,寸分,スンブン,スンブン,,,,0,51
違わ,動詞,自立,*,*,五段・ワ行促音便,未然形,違う,チガワ,チガワ,,,,0,51
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,,,0,51
、,記号,読点,*,*,*,*,、,、,、,,,,0,51
一筋,名詞,一般,*,*,*,*,一筋,ヒトスジ,ヒトスジ,,,,0,51
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,51
皺,名詞,一般,*,*,*,*,皺,シワ,シワ,,,,0,51
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,51
より,動詞,自立,*,*,五段・ラ行,連用形,よる,ヨリ,ヨリ,,,,0,51
方,名詞,接尾,特殊,*,*,*,方,カタ,カタ,,,,0,51
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,,,,0,51
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ,,,,0,51
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,,,,0,51
、,記号,読点,*,*,*,*,、,、,、,,,,0,51
この,連体詞,*,*,*,*,*,この,コノ,コノ,,,,0,51
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,51
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,51
肉体,名詞,一般,*,*,*,*,肉体,ニクタイ,ニクタイ,,,,0,51
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,51
恐ろしく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,恐ろしい,オソロシク,オソロシク,,,,0,51
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,,,,0,51
始め,動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,,,,0,51
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,51
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,51
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,51
。,記号,句点,*,*,*,*,。,。,。,,,,0,51
この,連体詞,*,*,*,*,*,この,コノ,コノ,,,,0,52
苦しみ,名詞,一般,*,*,*,*,苦しみ,クルシミ,クルシミ,,,,0,52
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,52
続ける,動詞,自立,*,*,一段,基本形,続ける,ツヅケル,ツズケル,,,,0,52
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,,,,0,52
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ,,,,0,52
、,記号,読点,*,*,*,*,、,、,、,,,,0,52
一層,副詞,助詞類接続,*,*,*,*,一層,イッソウ,イッソー,,,,0,52
死ん,動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,,,,0,52
で,助詞,接続助詞,*,*,*,*,で,デ,デ,,,,0,52
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,,,,0,52
っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ,,,,0,52
た方,名詞,一般,*,*,*,*,他方,タホウ,タホー,,,,0,52
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,52
まし,名詞,形容動詞語幹,*,*,*,*,まし,マシ,マシ,,,,0,52
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,,,0,52
。,記号,句点,*,*,*,*,。,。,。,,,,0,52
死刑,名詞,一般,*,*,*,*,死刑,シケイ,シケイ,,,,0,53
なんて,助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,,,,0,53
ちっとも,副詞,一般,*,*,*,*,ちっとも,チットモ,チットモ,,,,0,53
怖く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,怖い,コワク,コワク,,,,0,53
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,53
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,,,,0,53
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,,,0,53
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,,,0,53
。,記号,句点,*,*,*,*,。,。,。,,,,0,53
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,54
