表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,一,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一,,0,1
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,,一,,0,1
っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ,,一,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一,,0,1
。,記号,句点,*,*,*,*,。,。,。,,一,,0,1
先,名詞,一般,*,*,*,*,先,サキ,サキ,,一,,0,2
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,一,,0,2
短い,形容詞,自立,*,*,形容詞・アウオ段,基本形,短い,ミジカイ,ミジカイ,,一,,0,2
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,,一,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,2
事,名詞,非自立,一般,*,*,*,事,コト,コト,,一,,0,2
、,記号,読点,*,*,*,*,、,、,、,,一,,0,2
可愛い,形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ,,一,,0,2
子供のこと,名詞,固有名詞,一般,*,*,*,子供のこと,コドモノコト,コドモノコト,,一,,0,2
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,一,,0,2
考える,動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル,,一,,0,2
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,一,,0,2
、,記号,読点,*,*,*,*,、,、,、,,一,,0,2
乱暴,名詞,形容動詞語幹,*,*,*,*,乱暴,ランボウ,ランボー,,一,,0,2
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,一,,0,2
真似,名詞,サ変接続,*,*,*,*,真似,マネ,マネ,,一,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,一,,0,2
でき,動詞,自立,*,*,一段,未然形,できる,デキ,デキ,,一,,0,2
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,,一,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一,,0,2
。,記号,句点,*,*,*,*,。,。,。,,一,,0,2
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,一,,0,3
点,名詞,非自立,一般,*,*,*,点,テン,テン,,一,,0,3
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,一,,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,一,,0,3
、,記号,読点,*,*,*,*,、,、,、,,一,,0,3
第三者,名詞,一般,*,*,*,*,第三者,ダイサンシャ,ダイサンシャ,,一,,0,3
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,,一,,0,3
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,,一,,0,3
丈,名詞,一般,*,*,*,*,丈,タケ,タケ,,一,,0,3
け,助詞,終助詞,*,*,*,*,け,ケ,ケ,,一,,0,3
、,記号,読点,*,*,*,*,、,、,、,,一,,0,3
弟,名詞,一般,*,*,*,*,弟,オトウト,オトート,,一,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,3
格,名詞,一般,*,*,*,*,格,カク,カク,,一,,0,3
二,名詞,数,*,*,*,*,二,ニ,ニ,,一,,0,3
郎,名詞,一般,*,*,*,*,郎,ロウ,ロー,,一,,0,3
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,,一,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,3
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,一,,0,3
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,一,,0,3
テキパキ,副詞,一般,*,*,*,*,テキパキ,テキパキ,テキパキ,,一,,0,3
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,一,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一,,0,3
考,名詞,一般,*,*,*,*,考,コウ,コー,,一,,0,3
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,一,,0,3
持っ,動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,,一,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,一,,0,3
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,一,,0,3
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,一,,0,3
。,記号,句点,*,*,*,*,。,。,。,,一,,0,3
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,,一,,0,4
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,一,,0,4
兄,名詞,一般,*,*,*,*,兄,アニ,アニ,,一,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,一,,0,4
弱気,名詞,一般,*,*,*,*,弱気,ヨワキ,ヨワキ,,一,,0,4
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,一,,0,4
歯痒,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,歯痒い,ハガユ,ハガユ,,一,,0,4
がっ,動詞,接尾,*,*,五段・ラ行,連用タ接続,がる,ガッ,ガッ,,一,,0,4
