表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,,さかさまロボット,,1,37
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,さかさまロボット,,1,37
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,さかさまロボット,,1,37
言っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,,さかさまロボット,,1,37
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,37
笑い,動詞,自立,*,*,五段・ワ行促音便,連用形,笑う,ワライ,ワライ,,さかさまロボット,,1,37
だし,動詞,非自立,*,*,五段・サ行,連用形,だす,ダシ,ダシ,,さかさまロボット,,1,37
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,さかさまロボット,,1,37
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,さかさまロボット,,1,37
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,37
中,名詞,一般,*,*,*,*,中,ナカ,ナカ,,さかさまロボット,,1,38
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,さかさまロボット,,1,38
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン,,さかさまロボット,,1,38
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,さかさまロボット,,1,38
はいっ,動詞,自立,*,*,五段・ラ行,連用タ接続,はいる,ハイッ,ハイッ,,さかさまロボット,,1,38
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,38
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,さかさまロボット,,1,38
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,さかさまロボット,,1,38
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,,さかさまロボット,,1,38
しれ,動詞,自立,*,*,一段,連用形,しれる,シレ,シレ,,さかさまロボット,,1,38
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,,さかさまロボット,,1,38
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,,さかさまロボット,,1,38
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,38
有田,名詞,固有名詞,人名,姓,*,*,有田,アリタ,アリタ,,さかさまロボット,,1,39
君,名詞,接尾,人名,*,*,*,君,クン,クン,,さかさまロボット,,1,39
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,さかさまロボット,,1,39
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,39
びっくり,名詞,サ変接続,*,*,*,*,びっくり,ビックリ,ビックリ,,さかさまロボット,,1,39
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,さかさまロボット,,1,39
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,39
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,39
いきなり,副詞,助詞類接続,*,*,*,*,いきなり,イキナリ,イキナリ,,さかさまロボット,,1,39
逃げだし,動詞,自立,*,*,五段・サ行,連用形,逃げだす,ニゲダシ,ニゲダシ,,さかさまロボット,,1,39
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,さかさまロボット,,1,39
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,さかさまロボット,,1,39
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,,さかさまロボット,,1,39
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,39
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,さかさまロボット,,1,39
―,記号,一般,*,*,*,*,―,―,―,,さかさまロボット,,1,39
六,名詞,数,*,*,*,*,六,ロク,ロク,,さかさまロボット,,1,39
歩,名詞,接尾,助数詞,*,*,*,歩,ホ,ホ,,さかさまロボット,,1,39
走っ,動詞,自立,*,*,五段・ラ行,連用タ接続,走る,ハシッ,ハシッ,,さかさまロボット,,1,39
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,さかさまロボット,,1,39
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,さかさまロボット,,1,39
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,さかさまロボット,,1,39
おもう,動詞,自立,*,*,五段・ワ行促音便,基本形,おもう,オモウ,オモウ,,さかさまロボット,,1,39
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,さかさまロボット,,1,39
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,39
動け,動詞,自立,*,*,一段,未然形,動ける,ウゴケ,ウゴケ,,さかさまロボット,,1,39
なく,助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,,さかさまロボット,,1,39
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,さかさまロボット,,1,39
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,39
しまい,動詞,非自立,*,*,五段・ワ行促音便,連用形,しまう,シマイ,シマイ,,さかさまロボット,,1,39
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,さかさまロボット,,1,39
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,さかさまロボット,,1,39
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,39
なにか,副詞,助詞類接続,*,*,*,*,なにか,ナニカ,ナニカ,,さかさまロボット,,1,40
目,名詞,一般,*,*,*,*,目,メ,メ,,さかさまロボット,,1,40
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,さかさまロボット,,1,40
見え,動詞,自立,*,*,一段,未然形,見える,ミエ,ミエ,,さかさまロボット,,1,40
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,さかさまロボット,,1,40
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,さかさまロボット,,1,40
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,さかさまロボット,,1,40
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,40
ひっぱら,動詞,自立,*,*,五段・ラ行,未然形,ひっぱる,ヒッパラ,ヒッパラ,,さかさまロボット,,1,40
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,さかさまロボット,,1,40
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,40
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,さかさまロボット,,1,40
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,,さかさまロボット,,1,40
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,さかさまロボット,,1,40
感じ,名詞,一般,*,*,*,*,感じ,カンジ,カンジ,,さかさまロボット,,1,40
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,さかさまロボット,,1,40
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,40
逃げよ,動詞,自立,*,*,一段,未然ウ接続,逃げる,ニゲヨ,ニゲヨ,,さかさまロボット,,1,40
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,,さかさまロボット,,1,40
と,助詞,格助詞,引用,*,*,*,と,ト,ト,,さかさまロボット,,1,40
すれ,動詞,自立,*,*,サ変・スル,仮定形,する,スレ,スレ,,さかさまロボット,,1,40
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,,さかさまロボット,,1,40
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,,さかさまロボット,,1,40
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド,,さかさまロボット,,1,40
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,40
ぎゃくに,接続詞,*,*,*,*,*,ぎゃくに,ギャクニ,ギャクニ,,さかさまロボット,,1,40
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,40
ロボット,名詞,一般,*,*,*,*,ロボット,ロボット,ロボット,,さかさまロボット,,1,40
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,さかさまロボット,,1,40
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,,さかさまロボット,,1,40
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,さかさまロボット,,1,40
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,40
ひっぱら,動詞,自立,*,*,五段・ラ行,未然形,ひっぱる,ヒッパラ,ヒッパラ,,さかさまロボット,,1,40
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,,さかさまロボット,,1,40
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,40
いく,動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,,さかさまロボット,,1,40
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,さかさまロボット,,1,40
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,さかさまロボット,,1,40
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,40
「,記号,括弧開,*,*,*,*,「,「,「,,さかさまロボット,,1,41
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,,さかさまロボット,,1,41
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,さかさまロボット,,1,41
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,41
おれ,名詞,代名詞,一般,*,*,*,おれ,オレ,オレ,,さかさまロボット,,1,42
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,さかさまロボット,,1,42
目,名詞,一般,*,*,*,*,目,メ,メ,,さかさまロボット,,1,42
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,さかさまロボット,,1,42
見え,動詞,自立,*,*,一段,未然形,見える,ミエ,ミエ,,さかさまロボット,,1,42
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,,さかさまロボット,,1,42
ひも,名詞,一般,*,*,*,*,ひも,ヒモ,ヒモ,,さかさまロボット,,1,42
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,さかさまロボット,,1,42
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,42
きみ,名詞,代名詞,一般,*,*,*,きみ,キミ,キミ,,さかさまロボット,,1,42
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,さかさまロボット,,1,42
ひっぱっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ひっぱる,ヒッパッ,ヒッパッ,,さかさまロボット,,1,42
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,42
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,,さかさまロボット,,1,42
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,さかさまロボット,,1,42
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,さかさまロボット,,1,42
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,42
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,,さかさまロボット,,1,43
ひも,名詞,一般,*,*,*,*,ひも,ヒモ,ヒモ,,さかさまロボット,,1,43
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,さかさまロボット,,1,43
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,43
きみ,名詞,代名詞,一般,*,*,*,きみ,キミ,キミ,,さかさまロボット,,1,43
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,さかさまロボット,,1,43
しばっ,動詞,自立,*,*,五段・ラ行,連用タ接続,しばる,シバッ,シバッ,,さかさまロボット,,1,43
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,さかさまロボット,,1,43
しまう,動詞,非自立,*,*,五段・ワ行促音便,基本形,しまう,シマウ,シマウ,,さかさまロボット,,1,43
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,さかさまロボット,,1,43
だって,助詞,副助詞,*,*,*,*,だって,ダッテ,ダッテ,,さかさまロボット,,1,43
できる,動詞,自立,*,*,一段,基本形,できる,デキル,デキル,,さかさまロボット,,1,43
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,,さかさまロボット,,1,43
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,さかさまロボット,,1,43
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,,さかさまロボット,,1,43
。,記号,句点,*,*,*,*,。,。,。,,さかさまロボット,,1,43
」,記号,括弧閉,*,*,*,*,」,」,」,,さかさまロボット,,1,44
いかにも,副詞,一般,*,*,*,*,いかにも,イカニモ,イカニモ,,さかさまロボット,,1,44
、,記号,読点,*,*,*,*,、,、,、,,さかさまロボット,,1,44
目,名詞,一般,*,*,*,*,目,メ,メ,,さかさまロボット,,1,44
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,さかさまロボット,,1,44
見え,動詞,自立,*,*,一段,未然形,見える,ミエ,ミエ,,さかさまロボット,,1,44
